Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Total Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Bunga,Pembayaran Bunga Liabilitas Sewa,Pembayaran Pajak Penghasilan,Penerimaan (Pembayaran) Kas Lainnya,Penerimaan Restitusi Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pengurangan (Penambahan) Investasi Sementara,Penempatan Investasi Sementara,Penerimaan Hasil Investasi Sementara,Investasi Tersedia Untuk Dijual,Penambahan Investasi Tersedia Untuk Dijual,Penempatan Investasi Pada Nilai Wajar,Realisasi Kerugian Investasi Pada Nilai Wajar,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Investasi,Pelepasan Investasi Saham Dan Pengalihan Hak Aset,Peningkatan Modal Saham Yang Diperoleh Kembali,Penambahan (Pengurangan) Investasi Saham,Perolehan Investasi Saham,Penerimaan Penjualan Investasi Saham,Penambahan Investasi Jangka Panjang Lainnya,Perolehan Investasi Mezanine,Uang Muka Investasi Pada Entitas Asosiasi,Penerimaan Hasil Investasi Bersama,Bagian Laba Ventura Bersama,Perolehan Investasi Pada Ventura Bersama,Penerimaan Dari Pelepasan Kepemilikan Pada Entitas Ventura Bersama,Pelepasan Investasi Pada Entitas Anak,Penambahan Uang Muka Investasi Pada Entitas Asosiasi,Perolehan Investasi Pada Entitas Asosiasi,Penambahan Liabilitas Sewa Pihak Ketiga,Uang Muka Untuk Perolehan Aset Tetap,Perolehan Aset Tetap,Penambahan Properti Investasi,Hasil Penjualan Aset Tetap Dan Properti Investasi,Hasil Penjualan Aset Tetap,Hasil Penjualan Properti Investasi,Penerimaan Dividen Kas,Penerimaan Bunga,Klaim Atas Tagihan Pajak Pertambahan Nilai,Pengurangan (Penambahan) Piutang Karyawan,Piutang Kepada Pihak Yang Berelasi,Penambahan Piutang Kepada Pihak Berelasi,Penambahan Uang Muka Lain-Lain,Kenaikan (Penurunan) Aktiva Lain-Lain,Akuisis Anak Perusahaan,Pengurangan Uang Jaminan,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan (Pembayaran) Utang Bank Jangka Pendek,Penambahan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Total Penambahan (Pembayaran) Utang Bank Jangka Pendek,Penambahan (Pembayaran) Utang Bank Jangka Panjang,Penambahan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Total Penambahan (Pembayaran) Utang Bank Jangka Panjang,Penambahan Utang Bank,Pembayaran Utang Bank,Pembayaran Dividen,Penambahan Utang Jangka Panjang Lain-Lain,Pembayaran Dividen Kas Kepada Kepentingan Non Pengendali,Pembayaran Pokok Liabilitas Sewa,Penambahan (Pembayaran) Utang Lain-Lain Jangka Pendek,Peningkatan (Pembayaran) Utang Lain-Lain Pihak Ketiga,Penambahan Utang Lain-Lain Pihak Ketiga,Pembayaran Utang Lain-Lain Pihak Ketiga,Total Peningkatan (Pembayaran) Utang Lain-Lain Pihak Ketiga,Penambahan Utang Obligasi,Penambahan (Pembayaran) Utang Sewa Pembiayaan,Penambahan (Pembayaran) Wesel Bayar,Pelunasan Wesel Bayar,Pembayaran Dari Pihak-Pihak Yang Mempunya Hubungan Istimewa,Penerbitan Saham Baru Entitas Anak Kepada Pihak Ketiga,Pelepasan Investasi Pada Entitas Anak,Pembayaran Utang Obligasi,Pembayaran Biaya Pinjaman,Peningkatan Saham Treasuri,Penerimaan (Pengeluaran) Kas Lainnya,Hasil Penawaran Umum Terbatas I,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Pendanaan,Penempatan Sinking Fund,Penambahan Modal Disetor Dan Agio Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Saldo Kas Dan Setara Kas Anak Perusahaan Yang Baru Dikonsolidasi,Perubahan Kepemilikan Entitas Anak,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,-43989347292.000000,1587377154495.000000,-1504454449859.000000,,,-1504454449859.000000,-43251410325.000000,,-31531910803.000000,-52128730800.000000,,-43989347292.000000,-64523773054.000000,11013825572.000000,,,,,,,,,,,,18125000000.000000,,,,,,,,,,,,-1696562117.000000,-80173585570.000000,,1907371278.000000,,,487038486.000000,7916526276.000000,,-3721615240.000000,8887576519.000000,,,,-27269348258.000000,,,-64523773054.000000,123900960733.000000,,32330167375.000000,,32330167375.000000,,6933345143.000000,-21904654859.000000,-14971309716.000000,,,,,,,12759816256.000000,,,-2048385252.000000,-2048385252.000000,,,-54228497503.000000,,,,,,,,,150059169573.000000,,,,123900960733.000000,15387840387.000000,6131896246.000000,,60919395315.000000,135948051846.000000,218387183794.000000
12M 2009,-67756385148.000000,1565383049565.000000,-1548467363106.000000,,,-1548467363106.000000,-38899024717.000000,,-55615442182.000000,9842395292.000000,,-67756385148.000000,-78865818699.000000,-4368049047.000000,,,,,,,,,,1343644422.000000,,,,,,,,,,,,,,-166830225.000000,-72270256745.000000,,575326033.000000,,,668808348.000000,5107241899.000000,,2016741291.000000,-11772444675.000000,,,,,,,-78865818699.000000,123989123240.000000,,31928254676.000000,,31928254676.000000,,231579273382.000000,-62832164527.000000,168747108855.000000,,,,,,,-12452106400.000000,,,,,,-231979116.000000,-64002154775.000000,,,,,,,,,,,,,123989123240.000000,-22633080607.000000,,,13941637989.000000,218387183794.000000,209695741176.000000
12M 2010,93707935480.000000,1627523753724.000000,-1418739692503.000000,,,-1418739692503.000000,-47740701753.000000,,-74248927022.000000,5886088169.000000,1027414865.000000,93707935480.000000,-58018612661.000000,8000000000.000000,,,,,,,,,,,,,,,,,,,,19029718899.000000,,,,,-106044416940.000000,,4867549957.000000,,,1404005447.000000,4589366840.000000,,-6045019928.000000,16180183064.000000,,,,,,,-58018612661.000000,-6141391221.000000,,328482692.000000,-21415179526.000000,-21086696834.000000,,257200000000.000000,-212757014836.000000,44442985164.000000,,,,,,,1686980400.000000,,,,,,-15647551.000000,3768930000.000000,-34937942400.000000,,,,,,,,,,,,-6141391221.000000,29547931598.000000,,,5685512526.000000,209695741176.000000,244929185300.000000
12M 2011,591509968216.000000,2934187301097.000000,-2229028336269.000000,,,-2229028336269.000000,-54214401571.000000,,-115690255465.000000,56255660424.000000,,591509968216.000000,-102548543555.000000,3620000000.000000,,,,,,,,,,,,,,,,,,,,,,,,-55011148446.000000,-86919943750.000000,,21253327756.000000,,,1161197366.000000,13602123519.000000,,,-254100000.000000,,,,,,,-102548543555.000000,-145985896585.000000,,,-19543184897.000000,-19543184897.000000,,164467463452.000000,-208741104947.000000,-44273641495.000000,,,-21173622480.000000,,,,-61082594383.000000,,,,,,87146670.000000,,,,,,,,,,,,,,-145985896585.000000,342975528076.000000,,,-3829926205.000000,244929185300.000000,584074787171.000000
12M 2012,1236480939297.000000,4218479501196.000000,,-2538692447645.000000,-164792948474.000000,-2703485396119.000000,-55604086740.000000,,-135560563737.000000,-87348515303.000000,,1236480939297.000000,-804208814855.000000,-62500000.000000,,,,,,,,,,-327487159300.000000,,,,,,,,-9399813835.000000,,4754475000.000000,-194113653825.000000,,,-70291241065.000000,-192190297971.000000,-75675600248.000000,,21907844800.000000,17839201051.000000,1234372443.000000,19275558095.000000,,,,,,,,,,-804208814855.000000,852682482553.000000,,,,,,,,,461890000000.000000,-304221290037.000000,-30584121360.000000,48075000000.000000,,,-22477106050.000000,,,,,700000000000.000000,,,,,,,,,,,,,,,852682482553.000000,1284954606995.000000,,,21257303670.000000,584074787171.000000,1890286697836.000000
12M 2013,441652166571.000000,3847249920366.000000,,-2842723469531.000000,-255786711086.000000,-3098510180617.000000,-132724699139.000000,,-150032352048.000000,-24330521991.000000,,441652166571.000000,-436755761473.000000,-29928920364.000000,,,,,,,,,,,,,,,,,,-120000000000.000000,,,-2052346175.000000,2814505439.000000,,,-341286763429.000000,-55676845151.000000,,26586072003.000000,11007206238.000000,1076526510.000000,70704803456.000000,,,,,,,,,,-436755761473.000000,-251491123423.000000,,,,,,44172419014.000000,-98469598203.000000,-54297179189.000000,,,-141157483200.000000,,,,-29911360123.000000,,,,,,,,,,,,,,-26125100911.000000,,,,,,-251491123423.000000,-246594718325.000000,,,48725215223.000000,1890286697836.000000,1692417194734.000000
12M 2014,84700282093.000000,4615217939270.000000,,-4032317581220.000000,-198540135914.000000,-4230857717134.000000,-130315584787.000000,,-175280037383.000000,5935682127.000000,,84700282093.000000,-429306559389.000000,27851420364.000000,,,,,,,,,,,,,-265510675542.000000,,,,,,,54240002234.000000,,,,-6768082381.000000,-286652685120.000000,-30152399529.000000,,1976341524.000000,9333557772.000000,133408171.000000,66242553118.000000,,,,,,,,,,-429306559389.000000,-178935574614.000000,,,,,,80131045700.000000,-79777961330.000000,353084370.000000,,,-140092423200.000000,,,,-39196235784.000000,,,,,,,,,,,,,,,,,,,,-178935574614.000000,-523541851910.000000,,,3825773775.000000,1692417194733.000000,1172701116598.000000
12M 2015,180807454825.000000,4620088116964.000000,,-3814703051215.000000,-217860609310.000000,-4032563660525.000000,-152960863131.000000,,-170900037330.000000,-82856101153.000000,,180807454825.000000,-481821535539.000000,-22852933820.000000,,,,,,,,,,,-3344032408.000000,,-254105422458.000000,,,,128500000000.000000,-320879199261.000000,,,,98214975000.000000,,11747679818.000000,-307842351544.000000,-31277054975.000000,,3387205802.000000,194707250194.000000,,38930631113.000000,,,-17008283000.000000,,,,,,,-481821535539.000000,12192293494.000000,,200000000000.000000,,200000000000.000000,,142924211615.000000,-96983359994.000000,45940851621.000000,,,-84055453920.000000,,,,,,306895793.000000,-150000000000.000000,-149693104207.000000,,,,,,,,,,,,,,,,12192293494.000000,-288821787220.000000,,-4748036293.000000,44500983389.000000,1172701116598.000000,923632276474.000000
12M 2016,-280085173352.000000,3388587893510.000000,,-3113763916858.000000,-243576003164.000000,-3357339920022.000000,-184585422556.000000,,-93031012939.000000,-33716711345.000000,,-280085173352.000000,-162162544065.000000,2283729276.000000,,,,,,,,,,,11400000.000000,,-5414650311.000000,,,,9225641000.000000,,,,,,,-17496785481.000000,-174014741219.000000,-19493794193.000000,,13085282001.000000,,,39862638050.000000,,,-10211263188.000000,,,,,,,-162162544065.000000,1046401928896.000000,,,-200000000000.000000,-200000000000.000000,,562422845187.000000,-171357249109.000000,391065596078.000000,,,-45343247642.000000,,,,,,679580460.000000,,679580460.000000,900000000000.000000,,,,,,,,,,,,,,,1046401928896.000000,604154211479.000000,,,-7809772420.000000,923632276474.000000,1519976715533.000000
12M 2017,-265358621579.000000,3486485993663.000000,,-3133479995068.000000,,-3133479995068.000000,-243921513249.000000,,,-374443106925.000000,,-265358621579.000000,170455866173.000000,-9718362286.000000,,,,,,,,,,,1326866791.000000,,,,,,42700000000.000000,,406172462058.000000,,,,,8433939162.000000,-199723317270.000000,-157254477957.000000,,2181699129.000000,,,55692510358.000000,,,20644546188.000000,,,,,,,170455866173.000000,-280383751019.000000,,,,,,569124554981.000000,,569124554981.000000,,-210586618514.000000,-79125917161.000000,,,,,,,-552785374.000000,-552785374.000000,,,,,,,,-550000000000.000000,,,-9242984951.000000,,,,,-280383751019.000000,-375286506425.000000,,,676764051.000000,1519976715533.000000,1145366973159.000000
