Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Utang Pihak Berelasi,Piutang Pihak Berelasi,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Tanaman Perkebunan,Tanaman Telah Menghasilkan,Tanaman Belum Menghasilkan,Total Tanaman Perkebunan,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Pajak,Beban Akrual,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Liabilitas Derivatif,Utang Obligasi,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pihak Berelasi,Utang Obligasi,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2012,,,416254025000.000000,,15347528000.000000,15347528000.000000,,15347528000.000000,8060722000.000000,8060722000.000000,,8060722000.000000,,,99053451000.000000,6447492000.000000,545163218000.000000,,738454665000.000000,703518979000.000000,34935686000.000000,738454665000.000000,,,,,651904542000.000000,,,178088687000.000000,1568447894000.000000,2113611112000.000000,,,557641529000.000000,66000000000.000000,,1200000.000000,24749558000.000000,24750758000.000000,123873436000.000000,35588294000.000000,,3691517000.000000,45284221000.000000,48975738000.000000,,,,6470735000.000000,14209312000.000000,174200000000.000000,194880047000.000000,63573256000.000000,557641529000.000000,1089928439000.000000,,7584989000.000000,9496264000.000000,1038500000000.000000,1055581253000.000000,,,9455531000.000000,24891655000.000000,1089928439000.000000,1647569968000.000000,,412500000000.000000,16181055000.000000,6618935000.000000,,6618935000.000000,6618935000.000000,30741154000.000000,,466041144000.000000,2113611112000.000000,4125000000.000000
12M 2013,,,929468765000.000000,365975284000.000000,114920443000.000000,18867922000.000000,96052521000.000000,114920443000.000000,84579226000.000000,13115168000.000000,71464058000.000000,84579226000.000000,,390615804000.000000,45808602000.000000,26177779000.000000,1957545903000.000000,,712198630000.000000,682778960000.000000,29419670000.000000,712198630000.000000,,,,,593891132000.000000,,1531602000.000000,436750224000.000000,1744371588000.000000,3701917491000.000000,,,697128799000.000000,66000000000.000000,,8271390000.000000,40180441000.000000,48451831000.000000,75384063000.000000,20506268000.000000,,3671908000.000000,35014288000.000000,38686196000.000000,,,,3305009000.000000,9294680000.000000,392500000000.000000,405099689000.000000,43000752000.000000,697128799000.000000,688518407000.000000,,2131158000.000000,2139718000.000000,646000000000.000000,650270876000.000000,,,7296892000.000000,30950639000.000000,688518407000.000000,1385647206000.000000,,952500000000.000000,834741170000.000000,443442878000.000000,6618935000.000000,436823943000.000000,443442878000.000000,43635997000.000000,41950240000.000000,2316270285000.000000,3701917491000.000000,9525000000.000000
12M 2014,,,157296809000.000000,1359642000000.000000,58826318000.000000,33285214000.000000,25541104000.000000,58826318000.000000,101846609000.000000,11095576000.000000,90751033000.000000,101846609000.000000,,519237657000.000000,67667356000.000000,36076970000.000000,2300593719000.000000,,677733231000.000000,646925796000.000000,30807435000.000000,677733231000.000000,,,,,596196974000.000000,2917632000.000000,11864907000.000000,443578950000.000000,1732291694000.000000,4032885413000.000000,,,509464734000.000000,36000000000.000000,,379350000.000000,40101254000.000000,40480604000.000000,67187536000.000000,9255753000.000000,,4094280000.000000,38377318000.000000,42471598000.000000,,,,1360486000.000000,1511950000.000000,196000000000.000000,198872436000.000000,115196807000.000000,509464734000.000000,518821166000.000000,,1519552000.000000,593426000.000000,450000000000.000000,452112978000.000000,,,4375502000.000000,62332686000.000000,518821166000.000000,1028285900000.000000,,952500000000.000000,834741170000.000000,1113039134000.000000,19252315000.000000,1093786819000.000000,1113039134000.000000,62368969000.000000,41950240000.000000,3004599513000.000000,4032885413000.000000,9525000000.000000
12M 2015,,,521782952000.000000,,273238609000.000000,273238609000.000000,,273238609000.000000,549450259000.000000,224766826000.000000,324683433000.000000,549450259000.000000,,188568177000.000000,164188779000.000000,35739001000.000000,1732967777000.000000,,2418502322000.000000,1719672717000.000000,698829605000.000000,2418502322000.000000,,,,,2298867917000.000000,96994691000.000000,60309947000.000000,366208218000.000000,5240883095000.000000,6973850872000.000000,,,1302632857000.000000,16554000000.000000,,,47517439000.000000,47517439000.000000,14290824000.000000,22205104000.000000,,378316579000.000000,133011304000.000000,511327883000.000000,,,,3687548000.000000,1555715000.000000,621970379000.000000,627213642000.000000,63523965000.000000,1302632857000.000000,2637166170000.000000,,2511078000.000000,,2536041348000.000000,2538552426000.000000,,,2715688000.000000,95898056000.000000,2637166170000.000000,3939799027000.000000,,952500000000.000000,540919171000.000000,1459853495000.000000,143819390000.000000,1316034105000.000000,1459853495000.000000,,80779179000.000000,3034051845000.000000,6973850872000.000000,9525000000.000000
12M 2016,,,162460544000.000000,,238779892000.000000,238779892000.000000,,238779892000.000000,262642540000.000000,2487558000.000000,260154982000.000000,262642540000.000000,960617582000.000000,,121834023000.000000,50507612000.000000,1796842193000.000000,,2516929767000.000000,1810868478000.000000,706061289000.000000,2516929767000.000000,626706384000.000000,,626706384000.000000,626706384000.000000,1749108382000.000000,3545016000.000000,23187482000.000000,446650886000.000000,5366127917000.000000,7162970110000.000000,,,1314577874000.000000,,,452059000.000000,56771749000.000000,57223808000.000000,75475800000.000000,13636800000.000000,,127311610000.000000,120639454000.000000,247951064000.000000,,,,2202971000.000000,167556000.000000,812229833000.000000,814600360000.000000,105690042000.000000,1314577874000.000000,2394594964000.000000,,256796000.000000,265297000.000000,2219635890000.000000,2220157983000.000000,,,65149973000.000000,109287008000.000000,2394594964000.000000,3709172838000.000000,,952500000000.000000,540919171000.000000,1865977208000.000000,256001860000.000000,1609975348000.000000,1865977208000.000000,,94400893000.000000,3453797272000.000000,7162970110000.000000,9525000000.000000
12M 2017,,,2200759180000.000000,,26985872000.000000,26985872000.000000,,26985872000.000000,2044837084000.000000,4923526000.000000,2039913558000.000000,2044837084000.000000,,,222031419000.000000,229963848000.000000,4724577403000.000000,,2462203545000.000000,2178633031000.000000,283570514000.000000,2462203545000.000000,231586060000.000000,,231586060000.000000,231586060000.000000,1937014303000.000000,3407552000.000000,37529910000.000000,227353841000.000000,4899095211000.000000,9623672614000.000000,,,1122416497000.000000,,,4650799000.000000,33474243000.000000,38125042000.000000,96411473000.000000,60590350000.000000,,138215762000.000000,219288343000.000000,357504105000.000000,,,,218886000.000000,167556000.000000,452520710000.000000,452907152000.000000,116878375000.000000,1122416497000.000000,4448208677000.000000,,111704000.000000,,4221477555000.000000,4221589259000.000000,,,58348706000.000000,168270712000.000000,4448208677000.000000,5570625174000.000000,,952500000000.000000,540919171000.000000,2456769895000.000000,374333615000.000000,2082436280000.000000,2456769895000.000000,17667302000.000000,85191072000.000000,4053047440000.000000,9623672614000.000000,9525000000.000000
12M 2018,,,2304638750000.000000,20000000000.000000,189909755000.000000,52670229000.000000,137239526000.000000,189909755000.000000,5234785000.000000,5234785000.000000,,5234785000.000000,2156157294000.000000,,253269069000.000000,1173545586000.000000,6102755239000.000000,,,,,,,,,,4579445684000.000000,7778577000.000000,9129392000.000000,597003406000.000000,5193357059000.000000,11296112298000.000000,,,1156484796000.000000,,,24982630000.000000,13114166000.000000,38096796000.000000,62818767000.000000,269777164000.000000,,179157377000.000000,384738437000.000000,563895814000.000000,59065943000.000000,,,,111704000.000000,104091001000.000000,104202705000.000000,58627607000.000000,1156484796000.000000,6070445160000.000000,,,,1623514102000.000000,1623514102000.000000,,4228779123000.000000,58622890000.000000,159529045000.000000,6070445160000.000000,7226929956000.000000,,952500000000.000000,540919171000.000000,2435669532000.000000,531751065000.000000,1903918467000.000000,2435669532000.000000,18555072000.000000,121538567000.000000,4069182342000.000000,11296112298000.000000,9525000000.000000
12M 2019,,,2202460781000.000000,,148936718000.000000,10900578000.000000,138036140000.000000,148936718000.000000,108642979000.000000,26034177000.000000,82608802000.000000,108642979000.000000,20851518000.000000,,255061319000.000000,550573039000.000000,3286526354000.000000,,,,,,2507745518000.000000,2507745518000.000000,,2507745518000.000000,4642393712000.000000,7161764000.000000,33553032000.000000,1367824277000.000000,8558678303000.000000,11845204657000.000000,,,1308913204000.000000,,,20822406000.000000,69195326000.000000,90017732000.000000,54246270000.000000,257735503000.000000,,62473182000.000000,597340642000.000000,659813824000.000000,20244931000.000000,,,,,143659128000.000000,143659128000.000000,83195816000.000000,1308913204000.000000,6467724181000.000000,,,,2138384692000.000000,2138384692000.000000,,4083152215000.000000,72011455000.000000,174175819000.000000,6467724181000.000000,7776637385000.000000,,952500000000.000000,540919171000.000000,2421488684000.000000,548991755000.000000,1872496929000.000000,2421488684000.000000,19010840000.000000,134648577000.000000,4068567272000.000000,11845204657000.000000,9525000000.000000
12M 2020,,,1907844191000.000000,,473389135000.000000,5874160000.000000,467514975000.000000,473389135000.000000,138068646000.000000,2799564000.000000,135269082000.000000,138068646000.000000,31450000000.000000,,314888575000.000000,550004119000.000000,3415644666000.000000,,,,,,,,,,4531121927000.000000,9054784000.000000,49140320000.000000,4770968362000.000000,9360285393000.000000,12775930059000.000000,,,1438666723000.000000,,,9771632000.000000,115280943000.000000,125052575000.000000,143258628000.000000,242548253000.000000,,80010966000.000000,542490384000.000000,622501350000.000000,,,,,,184581437000.000000,184581437000.000000,120724480000.000000,1438666723000.000000,6466476916000.000000,,,,1989173885000.000000,1989173885000.000000,,4169505994000.000000,75382373000.000000,232414664000.000000,6466476916000.000000,7905143639000.000000,,952500000000.000000,540919171000.000000,2999418119000.000000,548991755000.000000,2450426364000.000000,2999418119000.000000,23242399000.000000,354706731000.000000,4870786420000.000000,12775930059000.000000,9525000000.000000
12M 2021,,,1833309895000.000000,,453482496000.000000,5519935000.000000,447962561000.000000,453482496000.000000,214564240000.000000,5524391000.000000,209039849000.000000,214564240000.000000,,,352610739000.000000,646580415000.000000,3500547785000.000000,,,,,,87030280000.000000,87030280000.000000,,87030280000.000000,4400724564000.000000,11325090000.000000,88475362000.000000,5762506995000.000000,10350062291000.000000,13850610076000.000000,,,1463937572000.000000,,,53275837000.000000,143001447000.000000,196277284000.000000,219074938000.000000,187558953000.000000,,11535232000.000000,445292457000.000000,456827689000.000000,,,,,,256645508000.000000,256645508000.000000,147553200000.000000,1463937572000.000000,6279164739000.000000,,,665000000.000000,1755124212000.000000,1755789212000.000000,,4247062364000.000000,79471800000.000000,196841363000.000000,6279164739000.000000,7743102311000.000000,,952500000000.000000,540919171000.000000,4224505037000.000000,665162743000.000000,3559342294000.000000,4224505037000.000000,32517120000.000000,357066437000.000000,6107507765000.000000,13850610076000.000000,9525000000.000000
