Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Penghasilan Bunga Yang Diterima,Pembayaran Pajak Penghasilan Badan,Penerimaan Dari Restitusi Pajak,Penerimaan Dari Restitusi Pajak Penghasilan Badan,Penerimaan Dari Restitusi Pajak Pertambahan Nilai,Total Penerimaan Dari Restitusi Pajak,Beban Keuangan Yang Dibayar,"Penerimaan Lainnya, Neto",Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Uang Muka Untuk Perolehan Aset Tetap,Penambahan Aset Dalam Penyelesaian,Penambahan Tanaman Perkebunan Belum Menghasilkan,Perolehan Aset Tetap,Perolehan Perangkat Lunak,Penambahan Perkebunan Plasma,Penempatan Uang Muka Setoran,Penerimaan Dari Pelepasan Aset Tetap,Investasi Saham,Pembayaran Piutang Lain-Lain Pihak Ketiga Tidak Lancar,Penambahan Aset Tidak Berwujud,Akuisisi Anak Perusahaan,Pelunasan Piutang Atas Penjualan Entitas Anak,Pengembalian Uang Muka Setoran Modal,Penempatan Deposito Berjangka,Pencairan Deposito Berjangka,Pembayaran Untuk Uang Jaminan Aset Derivatif,Penerimaan Dana Dari Pembiayaan Plasma Oleh Bank,Pengembalian Dana Atas Ganti Rugi Kebakaran Lahan,Penerimaan Dari Pengembalian Pinjaman Dari Pihak Berelasi,Pemberian Pinjaman Kepada Pihak-Pihak Berelasi,Penerimaan Dana Dari Pihak Berelasi,Penempatan Kontrak Berjangka Komoditas,Penurunan (Kenaikan) Kas Yang Dibatasi Penggunaannya,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,(Pemberian Kepada)/Penerimaan Dari Pihak-Pihak Berelasi,Pemberian Pinjaman Kepada Pihak Berelasi,Pembayaran Pinjaman Kepada Pihak Berelasi,Total (Pemberian Kepada)/Penerimaan Dari Pihak-Pihak Berelasi,Penerimaan Setoran Modal,Penerimaan /Pembayaran Utang Bank,Penerimaan Utang Bank,Pembayaran Utang Bank,Total Penerimaan /Pembayaran Utang Bank,Pembayaran Komisi Dibayar Dimuka Untuk Utang Bank,Pembayaran Liabilitas Sewa,Pembayaran Liabilitas Sewa Pembiayaan,Pembayaran Liabilitas Pembiayaan Konsumen,Pembayaran Kembali Utang Obligasi,Penerimaan Dana Obligasi,Pembayaran Dividen Pemilik Entitas Induk,Pembayaran Dividen Kepentingan Nonpengendali,Peningkatan Penyertaan Entitas Anak Dari Pihak Nonpengendali,Pembayaran Pinjaman Lainnya,Pembayaran Upfront Fee,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2012,508661175000.000000,2078805951000.000000,-1026646940000.000000,-118296330000.000000,5061724000.000000,-296213360000.000000,,,,,-143521277000.000000,9471407000.000000,508661175000.000000,-108847769000.000000,-172429428000.000000,-151977703000.000000,-18518285000.000000,-66922353000.000000,,,,,,,,,,,,,,,,301000000000.000000,,,,,,-108847769000.000000,-124130548000.000000,540274121000.000000,,,540274121000.000000,400000000000.000000,,100200000000.000000,-121500000000.000000,-21300000000.000000,,,-18977914000.000000,-9946755000.000000,,,-718390000000.000000,-295790000000.000000,,,,,-124130548000.000000,,275682858000.000000,137756167000.000000,,413439025000.000000
12M 2013,593850439000.000000,2040352277000.000000,-972694391000.000000,-138030736000.000000,20525322000.000000,-258074618000.000000,,,,,-123991381000.000000,25763966000.000000,593850439000.000000,-643528840000.000000,-128314384000.000000,-40446502000.000000,-17302208000.000000,-10245223000.000000,,,-47999999000.000000,,,,,,,,-8604720000.000000,,,,,,-390615804000.000000,,,,,-643528840000.000000,967263706000.000000,-47578874000.000000,,,-47578874000.000000,1358560115000.000000,,,-174200000000.000000,-174200000000.000000,,,-14698828000.000000,-14818707000.000000,,,-140000000000.000000,,,,,,967263706000.000000,,917585305000.000000,416254025000.000000,,1333839330000.000000
12M 2014,917739609000.000000,2507307596000.000000,-1069431365000.000000,-293218251000.000000,108050503000.000000,-269234927000.000000,,,,,-84729046000.000000,18995099000.000000,917739609000.000000,15803986000.000000,-2752782000.000000,-48669182000.000000,-9000216000.000000,-34811887000.000000,,-37159888000.000000,,,,,2917632000.000000,77670594000.000000,,,,196231568000.000000,,,,427874184000.000000,-556496037000.000000,,,,,15803986000.000000,-461827448000.000000,24370601000.000000,,,24370601000.000000,,,,-422500000000.000000,-422500000000.000000,,,-9329022000.000000,-4868319000.000000,,,-49500708000.000000,,,,,,-461827448000.000000,,471716147000.000000,929468765000.000000,,1401184912000.000000
12M 2015,61188070000.000000,2319477560000.000000,-1645236644000.000000,-284652219000.000000,90601669000.000000,-252128462000.000000,,,,,-166873834000.000000,,61188070000.000000,-842819905000.000000,,,-283433633000.000000,-800038807000.000000,-4702517000.000000,,-4673893000.000000,,-15000000000.000000,,,-65640535000.000000,,,,,,,,330669480000.000000,,,,,,-842819905000.000000,-130689750000.000000,-1202716435000.000000,,,-1202716435000.000000,,,,1328985857000.000000,1328985857000.000000,,,-2613552000.000000,-14256303000.000000,,,-215741250000.000000,-24348067000.000000,,,,,-130689750000.000000,,-912321585000.000000,473334712000.000000,,-438986873000.000000
12M 2016,659083189000.000000,2803632205000.000000,-1421198490000.000000,-351212352000.000000,48251375000.000000,-183688919000.000000,,,,,-236700630000.000000,,659083189000.000000,-26968817000.000000,,,-235080357000.000000,-108557949000.000000,,-49036475000.000000,,,,-23583772000.000000,-397000000.000000,,288901671000.000000,34950065000.000000,,,,,65835000000.000000,,,,,,,-26968817000.000000,-991436780000.000000,-742667974000.000000,,,-742667974000.000000,,,2075211574000.000000,-2150844961000.000000,-75633387000.000000,,,-1122862000.000000,-3738859000.000000,,,-168273698000.000000,,,,,,-991436780000.000000,,-359322408000.000000,521782952000.000000,,162460544000.000000
12M 2017,907461958000.000000,3499626434000.000000,-1658408019000.000000,-431061927000.000000,60976464000.000000,-299255062000.000000,78786956000.000000,,,78786956000.000000,-343202888000.000000,,907461958000.000000,-342259542000.000000,-10293131000.000000,,-80270155000.000000,-308506780000.000000,,-30781678000.000000,,,,626706383000.000000,,,,,,,93481200000.000000,,,,-632595381000.000000,,,,,-342259542000.000000,1473096220000.000000,10904152000.000000,,,10904152000.000000,,,2776271702000.000000,-1134139160000.000000,1642132542000.000000,,,-265297000.000000,-2129177000.000000,,,-177546000000.000000,,,,,,1473096220000.000000,,2038298636000.000000,162460544000.000000,,2200759180000.000000
12M 2018,324498844000.000000,4315130462000.000000,-2914438161000.000000,-365705842000.000000,19384698000.000000,-412427460000.000000,,,,,-317444853000.000000,,324498844000.000000,-951824671000.000000,,,-60243671000.000000,-188578501000.000000,,-59142558000.000000,,,,,,,,,-20000000000.000000,,-116025000000.000000,,,,-507834941000.000000,,,,,-951824671000.000000,731205397000.000000,40941615000.000000,,,40941615000.000000,,,932322961000.000000,-3878716123000.000000,-2946393162000.000000,,,-218886000.000000,-167556000.000000,,3873169560000.000000,-236126174000.000000,,,,,,731205397000.000000,,103879570000.000000,2200759180000.000000,,2304638750000.000000
12M 2019,10739851000.000000,3526341246000.000000,-2147003679000.000000,-617930657000.000000,15691647000.000000,-295782473000.000000,11599232000.000000,,,11599232000.000000,-482175465000.000000,,10739851000.000000,-652333697000.000000,,,-23901128000.000000,-340170804000.000000,,-98283722000.000000,,,,,-814500000.000000,,,,,13992425000.000000,,184352009000.000000,,,-387507977000.000000,,,,,-652333697000.000000,470064917000.000000,-116684195000.000000,,,-116684195000.000000,,,683702846000.000000,-70980995000.000000,612721851000.000000,,,,-111704000.000000,,,-25861035000.000000,,,,,,470064917000.000000,,-171528929000.000000,2304638750000.000000,69350960000.000000,2202460781000.000000
12M 2020,586013180000.000000,4001236855000.000000,-2277435525000.000000,-677800442000.000000,14352032000.000000,-241987946000.000000,246699806000.000000,,,246699806000.000000,-479051600000.000000,,586013180000.000000,-778678902000.000000,,,-7957046000.000000,-98778295000.000000,,-107748957000.000000,,,,,-3456692000.000000,,,,,,,9769991000.000000,,,-570507903000.000000,,,,,-778678902000.000000,-107942809000.000000,17537784000.000000,,,17537784000.000000,,,19386268000.000000,-143659151000.000000,-124272883000.000000,,,-1207710000.000000,,,,,,,,,,-107942809000.000000,,-300608531000.000000,2202460781000.000000,5991941000.000000,1907844191000.000000
12M 2021,1114556872000.000000,5663175004000.000000,-3107762708000.000000,-821098432000.000000,8279761000.000000,-289996167000.000000,110871285000.000000,,,110871285000.000000,-448911871000.000000,,1114556872000.000000,-794614087000.000000,,,-6834660000.000000,-172142609000.000000,,-79956529000.000000,,,,,-6806659000.000000,,,,,,,,,,-528873630000.000000,,,,,-794614087000.000000,-396131828000.000000,31450000000.000000,,,31450000000.000000,,,17883553000.000000,-153701624000.000000,-135818071000.000000,,-603855000.000000,-732432000.000000,,,,-290427470000.000000,,,,,,-396131828000.000000,,-76189043000.000000,1907844191000.000000,1654747000.000000,1833309895000.000000
