Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2012,4.12 B,81.83,0.00,0.00,,15.97%,77.54%,112.59%,6.16
12M 2013,9.53 B,60.56,13.54,3.98,,15.58%,25.38%,41.15%,7.56
12M 2014,9.53 B,75.50,22.05,7.27,,17.83%,24.44%,28.59%,11.13
12M 2015,9.53 B,58.89,33.11,7.83,,8.04%,18.49%,19.26%,4.30
12M 2016,9.53 B,62.12,22.54,4.90,,8.26%,17.13%,17.16%,5.42
12M 2017,9.53 B,82.63,18.15,4.41,,8.18%,19.50%,16.54%,3.47
12M 2018,9.53 B,9.05,138.12,3.21,885.11 B,0.76%,2.13%,6.63%,1.27
12M 2019,9.53 B,1.23,686.99,2.46,744.08 B,0.10%,0.29%,4.32%,0.87
12M 2020,9.53 B,60.54,20.65,2.97,"1,508.16 B",4.51%,11.90%,11.03%,2.13
12M 2021,9.53 B,159.11,6.06,1.77,"2,081.88 B",10.94%,24.95%,14.91%,3.27
12M 2022,9.53 B,192.90,7.62,1.25,"3,188.67 B",13.15%,28.68%,22.28%,
12M 2023,9.53 B,53.78,19.43,0.93,"1,598.21 B",4.34%,29.26%,13.12%,
12M 2024,9.53 B,86.04,15.11,1.18,"2,200.71 B",6.97%,31.18%,25.10%,
