Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,2.73,,2.15,,1.22,,0.59,13.52,13.52,1.09
12M 2009,181.42,223.02,69.68,334.76,2.01,1.99,1.64,1.75,1.01,1.03,0.48,0.5,4.83,4.83,1.23
12M 2010,180.08,213.0,49.21,343.87,2.03,2.06,1.71,1.81,1.11,1.13,0.51,0.52,1.85,1.85,2.01
12M 2011,133.31,291.55,55.89,368.97,2.74,2.89,1.25,1.33,1.05,1.08,0.47,0.49,1.9,1.9,1.83
12M 2012,37.33,257.37,54.09,240.61,9.78,9.22,1.42,1.62,1.47,1.44,0.67,0.7,3.09,3.09,1.72
12M 2013,33.24,243.45,67.39,209.3,10.98,9.27,1.5,1.54,1.5,1.54,0.71,0.72,5.78,5.78,1.31
12M 2014,40.41,245.39,78.77,207.03,9.03,8.76,1.49,1.59,1.37,1.38,0.66,0.68,7.84,7.84,1.2
12M 2015,35.55,243.13,75.3,203.38,10.27,12.47,1.5,1.55,1.41,1.46,0.68,0.71,11.09,11.09,1.14
12M 2016,41.8,261.09,80.08,222.81,8.73,11.32,1.4,1.61,1.32,1.35,0.63,0.69,5.89,5.89,1.27
12M 2017,34.6,317.28,105.93,245.95,10.55,12.13,1.15,1.21,1.12,1.16,0.54,0.56,2.66,2.66,1.71
12M 2018,13.96,260.34,88.11,186.19,26.14,15.0,1.4,1.44,1.46,1.52,0.7,0.71,2.53,2.53,2.23
12M 2019,15.6,279.91,102.2,193.31,23.4,21.75,1.3,1.41,1.37,1.4,0.66,0.69,3.64,3.64,1.59
12M 2020,23.25,407.27,163.81,266.71,15.7,21.81,0.9,0.92,0.91,0.93,0.44,0.46,2.71,2.71,1.49
12M 2021,18.53,392.21,117.79,292.95,19.7,39.45,0.93,0.95,1.01,1.06,0.48,0.5,1.57,1.57,2.29
12M 2022,7.47,340.37,85.67,262.17,48.88,114.86,1.07,1.26,1.24,1.25,0.57,0.63,3.73,3.73,1.43
12M 2023,1.99,372.62,79.21,295.4,183.61,169.39,0.98,1.1,1.11,1.13,0.52,0.55,3.07,3.07,1.48
12M 2024,5.37,329.85,39.89,295.33,67.93,66.82,1.11,1.19,1.22,1.24,0.57,0.6,3.75,3.75,1.43
