Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,1.23,0.43,0.31,1.72,0.0,0.0,0.3,0.18,0.72
12M 2009,1.69,0.67,0.08,1.36,0.0,0.0,0.06,0.06,0.36
12M 2010,1.71,0.85,0.17,1.45,0.0,0.0,0.15,0.11,0.45
12M 2011,1.03,0.5,0.57,1.91,0.0,0.0,0.55,0.3,0.91
12M 2012,1.0,0.57,0.7,2.21,0.0,0.0,0.69,0.32,1.19
12M 2013,1.14,0.67,0.73,2.17,0.0,0.0,0.71,0.34,1.14
12M 2014,1.48,0.91,0.72,2.12,0.0,0.0,0.71,0.34,1.1
12M 2015,1.58,1.04,0.63,1.95,0.0,0.0,0.62,0.32,0.93
12M 2016,1.65,1.15,0.7,2.02,0.0,0.0,0.68,0.35,1.01
12M 2017,2.64,1.81,0.39,1.71,0.0,0.0,0.34,0.23,0.7
12M 2018,1.85,1.39,0.32,1.61,0.0,0.0,0.28,0.2,0.6
12M 2019,2.85,2.08,0.11,1.36,0.0,0.0,0.06,0.08,0.35
12M 2020,2.41,1.94,0.08,1.31,0.0,0.0,0.02,0.06,0.29
12M 2021,4.16,3.45,0.0,1.2,0.0,0.0,-0.06,0.0,0.19
12M 2022,4.85,4.11,0.0,1.18,0.0,0.0,-0.06,0.0,0.17
12M 2023,6.95,6.16,0.0,1.14,0.0,0.0,-0.06,0.0,0.13
12M 2024,9.51,8.78,0.0,1.11,0.0,0.0,-0.24,0.0,0.1
