Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Investasi Pada Entitas Asosiasi,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Aset Tetap,Aset Minyak Dan Gas Bumi,Aset Eksplorasi Dan Evaluasi,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pihak Berelasi,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,5480848715.000000,,13446513965.000000,12720886066.000000,725627899.000000,13446513965.000000,12071374965.000000,967592248.000000,11103782717.000000,12071374965.000000,3401742669.000000,7955983553.000000,42356463867.000000,,,,,286752038.000000,820516592.000000,,,,267922750.000000,1375191380.000000,43731655247.000000,,,3232952247.000000,,,1965609498.000000,869928452.000000,2835537950.000000,,32316417.000000,,32316417.000000,239696747.000000,,,,,116765138.000000,,116765138.000000,8635995.000000,3232952247.000000,959840666.000000,,,,,,,,,,104746776.000000,,104746776.000000,,855093890.000000,959840666.000000,4192792913.000000,,40453750000.000000,1393926932.000000,-2461078508.000000,,,-2461078508.000000,,152263910.000000,39538862334.000000,43731655247.000000,404537500.000000
12M 2009,,,28960532.000000,,1520238721.000000,,1520238721.000000,1520238721.000000,,,,,,36212229907.000000,37761429160.000000,,,,,,,,,,,,37761429160.000000,,,543898000.000000,,,,43898000.000000,43898000.000000,,500000000.000000,,500000000.000000,,,,,,,,,,543898000.000000,,,,,,,,,,,,,,,,,543898000.000000,,40453750000.000000,1393926932.000000,-4782409682.000000,,,-4782409682.000000,,152263910.000000,37217531160.000000,37761429160.000000,404537500.000000
12M 2010,,,227466128.000000,25388654454.000000,518400000.000000,,518400000.000000,518400000.000000,2309496998.000000,,2309496998.000000,2309496998.000000,,1422570871.000000,29866588451.000000,,,8882117445.000000,,17531250.000000,1992640184.000000,,,,60311712.000000,10952600591.000000,40819189042.000000,,,331574216.000000,,,,,,,,,,20286216.000000,,,,,311288000.000000,,311288000.000000,,331574216.000000,1003991498.000000,,,,,,,,,,544754000.000000,,544754000.000000,389112498.000000,70125000.000000,1003991498.000000,1335565714.000000,,40453750000.000000,1393926932.000000,-2516317514.000000,,,-2516317514.000000,,152263910.000000,39483623328.000000,40819189042.000000,404537500.000000
12M 2011,,,99995348.000000,,,,,,18000000.000000,18000000.000000,,18000000.000000,,26117215621.000000,26235210969.000000,,8334986529.000000,,,1733022078.000000,1498935591.000000,,,,140745712.000000,11707689910.000000,37942900879.000000,,,2309479865.000000,,,,,,,989463901.000000,,989463901.000000,48592227.000000,916242793.000000,,,,355180944.000000,,355180944.000000,,2309479865.000000,2900355006.000000,,,,,,,,,,294319213.000000,,294319213.000000,2459853793.000000,146182000.000000,2900355006.000000,5209834871.000000,,40453750000.000000,1393926932.000000,-9114610924.000000,152263910.000000,-9266874834.000000,-9114610924.000000,,,32733066008.000000,37942900879.000000,404537500.000000
12M 2012,,,160513.000000,,8758814.000000,2239526.000000,6519288.000000,8758814.000000,16258765.000000,,,16258765.000000,906119.000000,23040959.000000,49125170.000000,,,,998.000000,1200978.000000,34519108.000000,,245829059.000000,42817492.000000,4941422.000000,329309057.000000,378434227.000000,,,34068229.000000,15592886.000000,,4987750.000000,,4987750.000000,,447246.000000,,447246.000000,1109151.000000,2032077.000000,,9057579.000000,,36139.000000,805401.000000,9899119.000000,,34068229.000000,76627507.000000,,,2926534.000000,2926534.000000,,60104459.000000,,11435488.000000,,,1543816.000000,12979304.000000,,617210.000000,76627507.000000,110695736.000000,,272983856.000000,-58190.000000,-12347977.000000,17246.000000,-12365223.000000,-12347977.000000,7160802.000000,,267738491.000000,378434227.000000,24676862000.000000
12M 2013,,,103737.000000,,4768558.000000,2439839.000000,2328719.000000,4768558.000000,2444237.000000,,,2444237.000000,51160.000000,22025637.000000,29393329.000000,,,,1520542.000000,15030585.000000,115087.000000,119375738.000000,280013134.000000,76579472.000000,1450301.000000,494084859.000000,523478188.000000,,,72683880.000000,,,4848621.000000,,4848621.000000,,64795501.000000,,64795501.000000,649105.000000,2380444.000000,,,,10209.000000,,10209.000000,,72683880.000000,157874689.000000,,,27320256.000000,27320256.000000,,112563992.000000,,,,,14731707.000000,14731707.000000,,3258734.000000,157874689.000000,230558569.000000,,272988731.000000,-58190.000000,19989321.000000,17246.000000,19972075.000000,19989321.000000,-243.000000,,292919619.000000,523478188.000000,24677348506.000000
12M 2014,,,667517.000000,,3467374.000000,794228.000000,2673146.000000,3467374.000000,6729458.000000,6729458.000000,,6729458.000000,134898.000000,21909350.000000,32908597.000000,,,,401391.000000,19446221.000000,93308.000000,131435039.000000,281146680.000000,76579472.000000,1721268.000000,510823379.000000,543731976.000000,,,101636516.000000,17979665.000000,,7493126.000000,98921.000000,7592047.000000,,70604892.000000,155823.000000,70760715.000000,982658.000000,4321431.000000,,,,,,,,101636516.000000,144533364.000000,,,,,13386714.000000,112563992.000000,,,,,14811781.000000,14811781.000000,,3770877.000000,144533364.000000,246169880.000000,,272989097.000000,-58190.000000,24631027.000000,17246.000000,24613781.000000,24631027.000000,162.000000,,297562096.000000,543731976.000000,24677393183.000000
12M 2015,,,266755.000000,,3431851.000000,,3431851.000000,3431851.000000,2849145.000000,2849145.000000,,2849145.000000,,721677430.000000,728225181.000000,,,,401765.000000,14847102.000000,78387.000000,133763365.000000,282165040.000000,73561472.000000,2209182.000000,507026313.000000,1235251494.000000,,,803524614.000000,12355823.000000,,10480177.000000,195094.000000,10675271.000000,,78262834.000000,,78262834.000000,1035721.000000,2206254.000000,,,,,,,698988711.000000,803524614.000000,171406071.000000,,,,,39859028.000000,112563992.000000,,,,,15944955.000000,15944955.000000,,3038096.000000,171406071.000000,974930685.000000,,274006772.000000,-58190.000000,-13627241.000000,17246.000000,-13644487.000000,-13627241.000000,-532.000000,,260320809.000000,1235251494.000000,24811541414.000000
12M 2016,,,929307.000000,,222057.000000,,222057.000000,222057.000000,3157470.000000,3157470.000000,,3157470.000000,,1854328.000000,6163162.000000,,,,3434819.000000,14759329.000000,50946.000000,133509837.000000,259443159.000000,30743980.000000,2229393.000000,444171463.000000,450334625.000000,,,110179165.000000,10000000.000000,,9048723.000000,,9048723.000000,,86284792.000000,,86284792.000000,1143535.000000,3702115.000000,,,,,,,,110179165.000000,166420385.000000,,,,,45255169.000000,112563993.000000,,,,,5857445.000000,5857445.000000,,2743778.000000,166420385.000000,276599550.000000,,274006772.000000,-58190.000000,-100211280.000000,17246.000000,-100228526.000000,-100211280.000000,-2226.000000,,173735076.000000,450334626.000000,24811541414.000000
12M 2017,,,385411.000000,,850741.000000,,850741.000000,850741.000000,3398029.000000,3398029.000000,,3398029.000000,,1858519.000000,6492700.000000,,,,2353417.000000,14855657.000000,26821.000000,273369961.000000,135329593.000000,30743980.000000,6076341.000000,462755770.000000,469248470.000000,,,126620656.000000,10000000.000000,,8719699.000000,,8719699.000000,,95645264.000000,,95645264.000000,828492.000000,,,,,,,,11427201.000000,126620656.000000,187392259.000000,,,,,70971562.000000,112563993.000000,,,,,738116.000000,738116.000000,,3118588.000000,187392259.000000,314012915.000000,,274006772.000000,-8190.000000,-118759890.000000,17246.000000,-118777136.000000,-118759890.000000,-3136.000000,,155235556.000000,469248471.000000,24811541414.000000
