Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,13.1,12.05,0.01,1.11,0.0,0.0,-0.13,0.01,0.11
12M 2009,69.43,69.43,0.0,1.01,0.0,0.0,-0.0,0.0,0.01
12M 2010,90.08,90.08,0.03,1.03,0.0,0.0,0.03,0.03,0.03
12M 2011,11.36,11.36,0.09,1.16,0.0,0.0,0.09,0.08,0.16
12M 2012,1.44,1.42,0.14,1.45,0.0,0.0,0.14,0.1,0.42
12M 2013,0.4,0.4,0.0,1.79,0.0,0.0,-0.0,0.0,0.79
12M 2014,0.32,0.32,0.06,1.83,0.0,0.0,0.06,0.03,0.83
12M 2015,0.91,0.91,0.05,4.75,0.0,0.0,0.05,0.01,3.75
12M 2016,0.06,0.06,0.06,2.59,0.0,0.0,0.05,0.02,1.59
12M 2017,0.05,0.05,0.06,3.02,0.0,0.0,0.06,0.02,2.02
