Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Beban Keuangan,Laba (Rugi) Selisih Kurs,Keuntungan Atas Penjualan Entitas Anak,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,42911263522.000000,-30932842007.000000,11978421515.000000,-9933517620.000000,,,,-9933517620.000000,2044903895.000000,2219246117.000000,,,,,,,2219246117.000000,4264150012.000000,-2480924569.000000,-1795871600.000000,-685052969.000000,-2480924569.000000,1783225443.000000,,,1783225443.000000,,,,,1783225443.000000,1783225443.000000,,1783225443.000000,,,,
12M 2009,18471586951.000000,-17389433386.000000,1082153565.000000,-3032815531.000000,,,,-3032815531.000000,-1950661966.000000,-83917171.000000,,,,,,,-83917171.000000,-2034579137.000000,-286752037.000000,,-286752037.000000,-286752037.000000,-2321331174.000000,,,-2321331174.000000,,,,,-2321331174.000000,-2321331174.000000,,-2321331174.000000,,,,
12M 2010,480000000.000000,,480000000.000000,-7419886082.000000,,,,-7419886082.000000,-6939886082.000000,-38919937.000000,,9227366937.000000,,,,,-38919937.000000,2248560918.000000,17531250.000000,,17531250.000000,17531250.000000,2266092168.000000,,,2266092168.000000,,,,,2266092168.000000,2266092168.000000,,2266092168.000000,,,,
12M 2011,30484326528.000000,-28561305384.000000,1923021144.000000,-7982058833.000000,-29040540.000000,-7953018293.000000,,-7982058833.000000,-6059037689.000000,-2355790709.000000,2477376.000000,-936256264.000000,-122032522.000000,,,-1299979299.000000,-2355790709.000000,-8414828398.000000,1704158011.000000,,,1704158011.000000,,,,,,,,,-6710670387.000000,-6710670387.000000,,-6710670387.000000,-6710670387.000000,-6710670387.000000,,-6710670387.000000
12M 2012,7556567.000000,-2225371.000000,5331196.000000,-4200511.000000,,-4200511.000000,,-4200511.000000,1130685.000000,1267160.000000,1380203.000000,,-4283340.000000,-5624.000000,,4175921.000000,1267160.000000,2397845.000000,489906.000000,-524250.000000,1014156.000000,489906.000000,,,,,,,,,2887751.000000,1403342.000000,1484409.000000,2887751.000000,2887751.000000,1403342.000000,1484409.000000,2887751.000000
12M 2013,1123032.000000,-1782667.000000,-659635.000000,-6591755.000000,,-6591755.000000,,-6591755.000000,-7251390.000000,38667837.000000,4872.000000,,-4197418.000000,266131.000000,-4502062.000000,47096314.000000,38667837.000000,31416447.000000,2205155.000000,,2205155.000000,2205155.000000,33621602.000000,,-2518920.000000,31102682.000000,,,,31102682.000000,31102682.000000,32337298.000000,-1234616.000000,31102682.000000,31102682.000000,32337298.000000,-1234616.000000,31102682.000000
12M 2014,5364992.000000,-1634292.000000,3730700.000000,7975270.000000,,-5722714.000000,13697984.000000,7975270.000000,11705970.000000,-11479495.000000,,,-11479495.000000,,,,-11479495.000000,226475.000000,4415636.000000,,,4415636.000000,4642111.000000,,,4642111.000000,,,,4642111.000000,4642111.000000,4641706.000000,405.000000,4642111.000000,4642111.000000,4641706.000000,405.000000,4642111.000000
12M 2015,1999004.000000,-1183413.000000,815591.000000,-22214338.000000,,-3891411.000000,-18322927.000000,-22214338.000000,-21398747.000000,-12416336.000000,,,-12416336.000000,,,,-12416336.000000,-33815083.000000,-4526392.000000,,,-4526392.000000,-38341475.000000,,6810695.000000,-38341475.000000,-253908.000000,-253908.000000,-253908.000000,-38658860.000000,-38341475.000000,-38340748.000000,-727.000000,-38341475.000000,-38658860.000000,-38658133.000000,-727.000000,-38658860.000000
12M 2016,266011.000000,-969089.000000,-703078.000000,-76052775.000000,,-2798647.000000,-73254128.000000,-76052775.000000,-76755853.000000,-10072081.000000,,,-10072081.000000,,,,-10072081.000000,-86827934.000000,-5280.000000,,,-5280.000000,-86833214.000000,,,-86833214.000000,329973.000000,329973.000000,329973.000000,-86585734.000000,-86833213.000000,-86831519.000000,-1694.000000,-86833213.000000,-86585733.000000,-86584039.000000,-1694.000000,-86585733.000000
12M 2017,793007.000000,-95672.000000,697335.000000,-1967252.000000,,-1958125.000000,-9127.000000,-1967252.000000,-1269917.000000,-17375932.000000,,,-17375932.000000,,,,-17375932.000000,-18645849.000000,96328.000000,,,96328.000000,-18549521.000000,,,-18549521.000000,,,,-18549521.000000,-18549519.000000,-18548609.000000,-910.000000,-18549519.000000,-18549519.000000,-18548609.000000,-910.000000,-18549519.000000
