Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Manajemen Dan Karyawan,Penerimaan Restitusi Pajak,Penerimaan Bunga,Penerimaan Dari Pajak,Pembayaran Pajak Penghasilan,Pembayaran Pajak Lainnya,Penempatan Setoran Jaminan,Penerimaan Dari Bank Yang Dibatasi Penggunaannya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penambahan Properti Investasi,Pelepasan Properti Investasi,Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Penjualan Aset Tetap,Pembayaran Utang Atas Perolehan Aset Tetap,Pembelian Dan Sewa Atas Lahan,Penambahan Aset Hak Guna,Pembelian Saham Nonpengendali Oleh Entitas Anak,Penempatan Dana Yang Dibatasi Penggunaannya,Pencarian Dana Yang Dibatasi Penggunaannya,Uang Muka Pembelian Saham,Pengembalian Uang Muka Pembelian Saham,"Perolehan Entitas Anak, Setelah Dikurangi Kas Yang Diperoleh",Kas Yang Diperoleh Dari Akuisisi Entitas Anak,Penerimaan Kas Dari Pelepasan Sebagian Kepemilikan Pada Entitas Anak,Pembayaran Akuisisi Bisnis Setelah Dikurangi Oleh Kas Dan Bank,Uang Muka Konstruksi,Pencairan (Penempatan) Investasi Jangka Pendek,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Perolehan Dari Pelaksanaan Waran Seri I,Perolehan Bersih Dari Pelaksanaan Panawaran Umum Terbatas Ii,Pembayaran Biaya Emisi Saham,Perolehan Penawaran Saham Bersih,Penerimaan Atas Restrukturisasi Lindung Nilai,Utang Jangka Pendek,Penerimaan,Pembayaran,Total Utang Jangka Pendek,Utang Jangka Panjang,Penerimaan,Pembayaran,Total Utang Jangka Panjang,Pembayaran Liabilitas Sewa Hak Guna,Pembayaran Beban Keuangan,Penerimaan (Pembayaran) Pinjaman Pemegang Saham,Pencairan Dana Yang Dibatasi Penggunaannya,Pelunasan Obligasi,Penerimaan Bersih Dari Penerbitan Obligasi,Pembayaran Kepada Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2010,154230765322.000000,274814789873.000000,-106139969519.000000,-9408961698.000000,,1788678021.000000,,-6823771355.000000,,,,154230765322.000000,-183191500818.000000,-126619096846.000000,,-3567718307.000000,,,,-35518144482.000000,,,-17486541183.000000,,,,,,,,,,-183191500818.000000,-18134759789.000000,,,,,,,,,,,160000000000.000000,-55666666660.000000,104333333340.000000,,-44990082098.000000,109000000000.000000,,,,-186478011031.000000,-18134759789.000000,-47095495285.000000,64807479919.000000,-1691648886.000000,16020335748.000000
12M 2011,272163311434.000000,363869750788.000000,-71544396700.000000,-19331533604.000000,,10541771090.000000,,-11372280140.000000,,,,272163311434.000000,-443831487871.000000,-99917317846.000000,,-1969343873.000000,,150000000.000000,,-36580735179.000000,,,-18076564925.000000,,,,-83437526048.000000,,,,,-204000000000.000000,-443831487871.000000,533532854300.000000,,,,330524297388.000000,,,,,,,803300000000.000000,-292727995908.000000,510572004092.000000,,-127563447180.000000,-180000000000.000000,,,,,533532854300.000000,361864677863.000000,16020335749.000000,617824370.000000,378502837982.000000
12M 2012,108319897101.000000,347176198773.000000,-202186184760.000000,-31348143689.000000,,9878596027.000000,,-15200569250.000000,,,,108319897101.000000,-555843877793.000000,-496902273495.000000,,-84725529730.000000,,122550000.000000,,-70912831524.000000,,,,11013053902.000000,,,-132934436015.000000,,,,,218495589069.000000,-555843877793.000000,331695851069.000000,,,-3904785200.000000,648000000000.000000,,,,,,,276700000000.000000,-337879063500.000000,-61179063500.000000,,-251220300231.000000,,,,,,331695851069.000000,-115828129623.000000,378502837982.000000,651729924.000000,263326438283.000000
12M 2013,185673106334.000000,603107262102.000000,-320038902169.000000,-51136478350.000000,,12400860600.000000,,-23705472900.000000,-34954162949.000000,,,185673106334.000000,-1753249735102.000000,-1402829955202.000000,,-189853218449.000000,,8062000000.000000,,-168615551451.000000,,-13010000.000000,,,,,,,,,,,-1753249735102.000000,1829541338565.000000,,,,284589830400.000000,,,,,,,2943330346000.000000,-1107200000000.000000,1836130346000.000000,,-336036890041.000000,,44858052206.000000,,,,1829541338565.000000,261964709797.000000,263326438283.000000,-64958991.000000,525226189089.000000
12M 2014,666226736106.000000,1432224677316.000000,-678961802556.000000,-69090049447.000000,,15784361728.000000,,-32361607303.000000,-1368843632.000000,,,666226736106.000000,-6294399834214.000000,-5891478162580.000000,,-156639300895.000000,,1050000000.000000,,-247332370739.000000,,,-60025000000.000000,60025000000.000000,,,,,,,,,-6294399834214.000000,6420293185719.000000,,,,354878400.000000,,,,,,,9944219999990.000000,-3037317355050.000000,6906902644940.000000,,-498368337621.000000,,11404000000.000000,,,,6420293185719.000000,792120087611.000000,525226189089.000000,1541599572.000000,1318887876272.000000
12M 2015,967413000000.000000,1201587000000.000000,-136209000000.000000,-78889000000.000000,,31342000000.000000,16051000000.000000,-43379000000.000000,-23090000000.000000,,,967413000000.000000,-663919000000.000000,-292856000000.000000,,-92685000000.000000,,3000000.000000,,-209993000000.000000,,,,,,-20000000000.000000,,,,,-48388000000.000000,,-663919000000.000000,-1388994000000.000000,172000000.000000,,,1931016000000.000000,,,,,,,4208400000000.000000,-10316264000000.000000,-6107864000000.000000,,-1072118000000.000000,,,,3859800000000.000000,,-1388994000000.000000,-1085500000000.000000,1318888000000.000000,-4063000000.000000,229325000000.000000
12M 2016,1417682000000.000000,1622474000000.000000,-110832000000.000000,-108625000000.000000,,15697000000.000000,29121000000.000000,-30153000000.000000,,,,1417682000000.000000,-577315000000.000000,-308910000000.000000,,-77611000000.000000,,58000000.000000,,-215769000000.000000,,,,,,20000000000.000000,,4843000000.000000,,,74000000.000000,,-577315000000.000000,-887903000000.000000,,,,,,,,,,,4147050000000.000000,-4061068000000.000000,85982000000.000000,,-973885000000.000000,,,,,,-887903000000.000000,-47536000000.000000,229325000000.000000,3207000000.000000,184996000000.000000
12M 2017,2084673000000.000000,2225161000000.000000,-63592000000.000000,-98680000000.000000,,20057000000.000000,62111000000.000000,-60384000000.000000,,,,2084673000000.000000,-712993000000.000000,,,-315596000000.000000,,,,-395687000000.000000,,,,,,,,,,,-1710000000.000000,,-712993000000.000000,-1276389000000.000000,,,,,,,,,,,,-406576000000.000000,-406576000000.000000,,-869813000000.000000,,,,,,-1276389000000.000000,95291000000.000000,184996000000.000000,-138000000.000000,280149000000.000000
12M 2018,1637052000000.000000,1892016000000.000000,-137503000000.000000,-112414000000.000000,,7984000000.000000,19634000000.000000,-32665000000.000000,,,,1637052000000.000000,-374824000000.000000,,,-161295000000.000000,,,,-210370000000.000000,,,,,,,,,,,-3159000000.000000,,-374824000000.000000,-1385283000000.000000,,,,,,,,,,,3979763000000.000000,-508290000000.000000,3471473000000.000000,,-733256000000.000000,,,-4123500000000.000000,,,-1385283000000.000000,-123055000000.000000,280149000000.000000,-10049000000.000000,147045000000.000000
12M 2019,1876969000000.000000,2154474000000.000000,-165813000000.000000,-124381000000.000000,,13058000000.000000,43361000000.000000,-43730000000.000000,,,,1876969000000.000000,-534308000000.000000,,,-299348000000.000000,-6880000000.000000,,,-223391000000.000000,,,,,,,,,,,-4689000000.000000,,-534308000000.000000,-1128748000000.000000,,,,,,,,,,,400000000000.000000,-723188000000.000000,-323188000000.000000,,-805560000000.000000,,,,,,-1128748000000.000000,213913000000.000000,147045000000.000000,576000000.000000,361534000000.000000
