Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2015,0.35,0.35,2.16,3.26,0.0,0.0,2.05,0.66,2.26
12M 2016,1.16,1.16,1.04,2.1,0.0,0.0,1.0,0.5,1.1
12M 2017,0.77,0.77,0.95,1.99,0.0,0.0,0.9,0.48,0.99
12M 2018,0.41,0.41,0.9,1.95,0.0,0.0,0.87,0.46,0.95
12M 2019,0.19,0.19,0.89,2.13,0.0,0.0,0.86,0.42,1.13
12M 2020,1.49,1.49,0.84,2.04,0.0,0.0,0.77,0.41,1.04
12M 2021,1.99,1.99,0.85,1.97,0.0,0.0,0.81,0.43,0.97
12M 2022,1.57,1.57,0.95,2.04,0.0,0.0,0.88,0.47,1.04
12M 2023,1.21,1.21,0.95,2.17,0.0,0.0,0.86,0.44,1.17
12M 2024,5.01,5.01,0.78,1.86,0.0,0.0,0.57,0.42,0.86
