Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Total Piutang Lain-Lain,Aset Real Estat,Tanah Untuk Dikembangkan,Others,Total Aset Lancar,Aset Tidak Lancar,Goodwill,Tanah Untuk Dikembangkan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Pajak,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2013,,,28033461278.000000,,16489041603.000000,16489041603.000000,16489041603.000000,125373102.000000,125373102.000000,125373102.000000,42879615705.000000,,5033570962.000000,92561062650.000000,,6325288567.000000,864950666398.000000,3837626284.000000,1366214140.000000,876479795389.000000,969040858039.000000,,,331662317071.000000,214808497362.000000,,6448480460.000000,6448480460.000000,5053882490.000000,,1811714062.000000,102986708757.000000,104798422819.000000,553033940.000000,,331662317071.000000,10379273318.000000,9024403011.000000,1354870307.000000,10379273318.000000,342041590389.000000,,601000000000.000000,,11002656142.000000,,11002656142.000000,11002656142.000000,14996611508.000000,,626999267650.000000,969040858039.000000,6010000000.000000
12M 2014,,,202748400764.000000,,11805570298.000000,11805570298.000000,11805570298.000000,259557854.000000,259557854.000000,259557854.000000,27504624689.000000,,5016663247.000000,247334816852.000000,,6325288567.000000,895606212241.000000,3212048213.000000,164596530264.000000,1069740079285.000000,1317074896137.000000,,,254492036543.000000,206699456782.000000,,2663373365.000000,2663373365.000000,2732981378.000000,,5141517007.000000,36727406825.000000,41868923832.000000,527301186.000000,,254492036543.000000,22756495271.000000,3841847750.000000,18914647521.000000,22756495271.000000,277248531814.000000,,1001000000000.000000,11100000000.000000,13005156233.000000,,13005156233.000000,13005156233.000000,14721208090.000000,,1039826364323.000000,1317074896137.000000,10010000000.000000
12M 2015,,,122308692300.000000,,18624619785.000000,18624619785.000000,18624619785.000000,1629285904.000000,1629285904.000000,1629285904.000000,68518400321.000000,,3471733272.000000,214552731582.000000,,6325288567.000000,828130611208.000000,4764513754.000000,240599819948.000000,1079820233477.000000,1294372965059.000000,,,200967489470.000000,177820095862.000000,,3019342269.000000,3019342269.000000,13488751996.000000,,1703554795.000000,,1703554795.000000,1709329389.000000,3226415159.000000,200967489470.000000,47663438624.000000,,47663438624.000000,47663438624.000000,248630928094.000000,,1004492000000.000000,11309520000.000000,18086670056.000000,,18086670056.000000,18086670056.000000,11853846909.000000,,1045742036965.000000,1294372965059.000000,10044920000.000000
12M 2016,,,116576992203.000000,,158687202.000000,158687202.000000,158687202.000000,3096296195.000000,3096296195.000000,3096296195.000000,14467577204.000000,,1308381748.000000,135607934552.000000,,6325288567.000000,693646693163.000000,1704722828.000000,380738537403.000000,1082415241961.000000,1218023176513.000000,,,163405289323.000000,149824562417.000000,,,,9985674978.000000,,1394969093.000000,,1394969093.000000,2200082835.000000,,163405289323.000000,2352697121.000000,,2352697121.000000,2352697121.000000,165757986444.000000,,1006602135000.000000,14635279760.000000,22132596172.000000,1000000000.000000,21132596172.000000,22132596172.000000,8895179137.000000,,1052265190069.000000,1218023176513.000000,10066021350.000000
12M 2017,,,122073513604.000000,,7886416320.000000,7886416320.000000,7886416320.000000,3773744733.000000,3773744733.000000,3773744733.000000,37763490801.000000,,1155974006.000000,172653139464.000000,,6325288567.000000,652496987945.000000,1238868506.000000,401894595343.000000,1061955740361.000000,1234608879825.000000,,,179483840833.000000,159238361925.000000,,,,11245910578.000000,,6851903881.000000,,6851903881.000000,2147664449.000000,,179483840833.000000,1342961612.000000,,1342961612.000000,1342961612.000000,180826802445.000000,,1006964575000.000000,14657026160.000000,22336995208.000000,1500000000.000000,20836995208.000000,22336995208.000000,9823481012.000000,,1053782077380.000000,1234608879825.000000,10069645750.000000
12M 2018,,,10030548554.000000,,,,,12922181836.000000,12922181836.000000,12922181836.000000,11178866423.000000,18048631400.000000,1172523746.000000,53352751959.000000,,4002156147.000000,662503323689.000000,776881431.000000,401644112616.000000,1068926473883.000000,1122279225842.000000,,,68247399754.000000,53533783279.000000,,,,13600868790.000000,,,,,1112747685.000000,,68247399754.000000,1008052479.000000,,1008052479.000000,1008052479.000000,69255452233.000000,,1006964575000.000000,14657026160.000000,22360206125.000000,2000000000.000000,20360206125.000000,22360206125.000000,8384162863.000000,657803461.000000,1053023773609.000000,1122279225842.000000,10069645750.000000
12M 2019,,,10663273477.000000,,,,,12251046536.000000,12251046536.000000,12251046536.000000,11178866423.000000,8948161000.000000,904794334.000000,43946141770.000000,,4002156147.000000,667713914410.000000,423923500.000000,409872210638.000000,1082012204695.000000,1125958346465.000000,,,71151218511.000000,53083783279.000000,,,,16419543555.000000,,,,,1647891677.000000,,71151218511.000000,746547400.000000,,746547400.000000,746547400.000000,71897765911.000000,,1006964575000.000000,14657026160.000000,23004749584.000000,2500000000.000000,20504749584.000000,23004749584.000000,8801886735.000000,632343075.000000,1054060580554.000000,1125958346465.000000,10069645750.000000
12M 2020,,,3000420922.000000,,,,,528461806.000000,528461806.000000,528461806.000000,1480000000.000000,6319639000.000000,200620000.000000,11529141728.000000,,4002156147.000000,659374567023.000000,119395834.000000,411572210638.000000,1075068329642.000000,1086597471370.000000,,,44834819421.000000,,,,,17225997421.000000,,,,,1314822000.000000,26294000000.000000,44834819421.000000,567222028.000000,,567222028.000000,567222028.000000,45402041449.000000,,1006964575000.000000,14657026160.000000,10339236805.000000,3000000000.000000,7339236805.000000,10339236805.000000,8586353786.000000,648238170.000000,1041195429921.000000,1086597471370.000000,10069645750.000000
12M 2021,,,2689642710.000000,17500000000.000000,,,,525647107.000000,525647107.000000,525647107.000000,1480000000.000000,13101807807.000000,,35297097624.000000,,4002156147.000000,633949068815.000000,12031250.000000,411972210638.000000,1049935466850.000000,1085232564474.000000,,,22071976952.000000,,,,,19975232985.000000,,,,,1946743967.000000,150000000.000000,22071976952.000000,471805913.000000,,471805913.000000,471805913.000000,22543782865.000000,,1006964575000.000000,14657026160.000000,30847573904.000000,3000000000.000000,27847573904.000000,30847573904.000000,9508214578.000000,711391967.000000,1062688781609.000000,1085232564474.000000,10069645750.000000
12M 2022,,,3708800000.000000,12500000000.000000,,,,15500000.000000,15500000.000000,15500000.000000,1480000000.000000,11983953807.000000,,29688253807.000000,,4002156147.000000,634501698715.000000,9406250.000000,412047210638.000000,1050560471750.000000,1080248725557.000000,,,20069386892.000000,,,,,18838386892.000000,,,,,931000000.000000,300000000.000000,20069386892.000000,537893159.000000,,537893159.000000,537893159.000000,20607280051.000000,,1006964575000.000000,14657026160.000000,27740902347.000000,3500000000.000000,24240902347.000000,27740902347.000000,9544329222.000000,734612777.000000,1059641445506.000000,1080248725557.000000,10069645750.000000
