Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pengemudi,Penerimaan Kas Dari Pelanggan Langsung,Uang Muka Atas Penjualan Sewa Bus,Pembayaran Kas Kepada :,Pemasok,Direksi Dan Karyawan,Total Pembayaran Kas Kepada :,Penerimaan Restitusi Ppn Bm,Penerimaan Bunga,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Penerimaan Uang Muka Atas Penjualan Aset Tetap,Perolehan Aset Tetap,Investasi Pada Ventura Bersama,Penurunan Pada Piutang Iain-Iain Kepada Pihak Berelasi,Kenaikan Pada Piutang Iain-Iain Kepada Pihak Berelasi,Pembayaran Akuisisi Entitas Anak,Kenaikan Pada Piutang Jangka Panjang,Penurunan Pada Aset Lain-Lain,Pembayaran Dividen,Penerimaan Bunga,Hasil Penjualan Aset Tidak Lancar Yang Dimiliki Untuk Dijual,Penurunan Uang Muka Penjualan,Penarikan Aset Keuangan Lancar - Tersedia Untuk Dijual,Penempatan Aset Keuangan Lancar Lainnya -Tersedia Untuk Dijual,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Obligasi,Pembayaran Utang Bank Jangka Panjang,Penerimaan Dari Lembaga Keuangan Non Bank,Pembayaran Kepada Lembaga Keuangan Non Bank,Utang Lain-Lain,Penerimaan (Pembayaran) Utang Bank Jangka Pendek,Penerbitan Saham Melalui Penawaran Umum Perdana Saham,Kenaikan (Penurunan) Pada Utang Iain-Iain Kepada Pihak Berelasi,Pemegang Saham,Penerbitan Obligasi,Pembayaran Biaya Emisi Atas Penerbitan Obligasi,Kepentingan Non Pengendali Atas Penjualan Anak,Penerimaan Dana Pada Rekening Penampungan,Penerimaan Dari Penerbitan Saham Untuk Kepentingan Non Pengendali Atas Kepemilikan Anak Baru,Piutang Jangka Panjang Pihak Ketiga,Pembayaran Bunga,Pembayaran Deviden,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2011,288433566000.000000,370505422000.000000,10868319000.000000,,,-116175662000.000000,-34446599000.000000,-150622261000.000000,66990154000.000000,1117948000.000000,-10426016000.000000,288433566000.000000,-473903977000.000000,14007820000.000000,,-393962867000.000000,,51208038000.000000,-45125514000.000000,-100031454000.000000,,,,,,,,,-473903977000.000000,172023129000.000000,399927001000.000000,,-191079195000.000000,432000000.000000,-9093633000.000000,,13741660000.000000,,12727827000.000000,,,,,,,,-54632531000.000000,,172023129000.000000,-13447282000.000000,49943958000.000000,,36496676000.000000
12M 2012,311905744000.000000,496987785000.000000,13776839000.000000,,,-185710093000.000000,-61666681000.000000,-247376774000.000000,53280285000.000000,2347199000.000000,-7109590000.000000,311905744000.000000,-751081792000.000000,2672118000.000000,,-501883271000.000000,,111983050000.000000,-115622041000.000000,,,,,,,,,-248231648000.000000,-751081792000.000000,552411571000.000000,417385013000.000000,,-180438364000.000000,,-4494007000.000000,,-1378153000.000000,399498860000.000000,-1093923000.000000,,,,,,,,-77067855000.000000,,552411571000.000000,113235523000.000000,36496676000.000000,,149732199000.000000
12M 2013,271204788000.000000,601674928000.000000,18256772000.000000,,,-299647869000.000000,-89246273000.000000,-388894142000.000000,47667725000.000000,,-7500495000.000000,271204788000.000000,-49561971000.000000,6406912000.000000,,-240597745000.000000,,44561043000.000000,-76537789000.000000,-66198604000.000000,,,,4024461000.000000,,,319299751000.000000,-40520000000.000000,-49561971000.000000,-55846635000.000000,320387513000.000000,,-279542701000.000000,,-2714582000.000000,,20847942000.000000,,-8709659000.000000,,,,,,,,-84659148000.000000,-21456000000.000000,-55846635000.000000,165796182000.000000,149732199000.000000,,315528381000.000000
12M 2014,160980396000.000000,684781542000.000000,40850062000.000000,,,-499201759000.000000,-121759536000.000000,-620961295000.000000,63592080000.000000,,-7281993000.000000,160980396000.000000,-910562376000.000000,5651081000.000000,,-920388712000.000000,,39945935000.000000,,,-55000000000.000000,,,19229320000.000000,,,,,-910562376000.000000,649806492000.000000,89203171000.000000,,-275445228000.000000,163852000.000000,-2697350000.000000,,34379614000.000000,200000.000000,-8896928000.000000,,1000000000000.000000,,,,,,-161153639000.000000,-25747200000.000000,649806492000.000000,-99775488000.000000,315528381000.000000,-4898000.000000,215747995000.000000
12M 2015,471410291000.000000,777308475000.000000,90104779000.000000,,,-287695221000.000000,-139841967000.000000,-427537188000.000000,53328891000.000000,,-21794666000.000000,471410291000.000000,-231187551000.000000,19026375000.000000,,-237200701000.000000,,,-14581546000.000000,-150000000.000000,,,,1718321000.000000,,,,,-231187551000.000000,-319470366000.000000,146776000000.000000,,-293434813000.000000,34374570000.000000,-4044163000.000000,,1032383000.000000,42130000.000000,,,,,,,,,-204216473000.000000,,-319470366000.000000,-79247626000.000000,215747995000.000000,-103000.000000,136500266000.000000
12M 2016,149683591000.000000,441252543000.000000,61784293000.000000,,,-211052840000.000000,-124360758000.000000,-335413598000.000000,517941000.000000,,-18457588000.000000,149683591000.000000,18204384000.000000,49789906000.000000,,-19809213000.000000,,,-19038615000.000000,150000000.000000,,117982000.000000,,6994324000.000000,,,,,18204384000.000000,-288126329000.000000,,,-87852295000.000000,,-11444956000.000000,,-671000000.000000,,,,,,-44182000.000000,,,,-188113896000.000000,,-288126329000.000000,-120238354000.000000,136500266000.000000,-13173000.000000,16248739000.000000
12M 2017,79236452000.000000,306756999000.000000,28976785000.000000,,,-149373038000.000000,-102985878000.000000,-252358916000.000000,,,-4138416000.000000,79236452000.000000,88251429000.000000,105502273000.000000,,-14378233000.000000,,,-8515984000.000000,,,1120743000.000000,,4522630000.000000,,,,,88251429000.000000,-175576987000.000000,,,-94983358000.000000,,-12257250000.000000,,15244341000.000000,,100000000000.000000,,,,,,,,-183580720000.000000,,-175576987000.000000,-8089106000.000000,16248739000.000000,-1675000.000000,8157958000.000000
12M 2018,-1772303000.000000,205490388000.000000,47333212000.000000,,,-171298484000.000000,-84088595000.000000,-255387079000.000000,3533258000.000000,,-2742082000.000000,-1772303000.000000,14421643000.000000,9151596000.000000,,-102790000.000000,,,5479048000.000000,-200000000.000000,,,,93789000.000000,,,,,14421643000.000000,-13273067000.000000,,,-1562968000.000000,,-6706517000.000000,,173069000.000000,,42625000000.000000,,,,,,,,-47801651000.000000,,-13273067000.000000,-623727000.000000,8157958000.000000,-162000.000000,7534069000.000000
12M 2019,28065023000.000000,129251857000.000000,38185121000.000000,,,-82785908000.000000,-57034883000.000000,-139820791000.000000,3864856000.000000,,-3416020000.000000,28065023000.000000,192391228000.000000,57876743000.000000,1714395000.000000,-5100000.000000,-2000000000.000000,,-8202933000.000000,,,,,161315000.000000,142846808000.000000,,,,192391228000.000000,-208347316000.000000,,-21085057000.000000,-147824575000.000000,,,-9600000000.000000,,,,,,,,-29837684000.000000,,,,,-208347316000.000000,12108935000.000000,7534069000.000000,-4333000.000000,19638671000.000000
12M 2020,21776148000.000000,48673357000.000000,9659578000.000000,,,-4528546000.000000,-28054880000.000000,-32583426000.000000,,,-3973361000.000000,21776148000.000000,131726936000.000000,122129483000.000000,2806731000.000000,,,,6579600000.000000,,,,,211122000.000000,,,,,131726936000.000000,-150672573000.000000,,-112812833000.000000,,,,-9400000000.000000,,,,,,,,-28459740000.000000,,,,,-150672573000.000000,2830511000.000000,19638671000.000000,-343000.000000,22468839000.000000
12M 2021,-6507597000.000000,924553000.000000,7202122000.000000,,,-5692985000.000000,-8941287000.000000,-14634272000.000000,,,,-6507597000.000000,58511951000.000000,58823034000.000000,-4312179000.000000,,,,3633396000.000000,,,,,367700000.000000,,,,,58511951000.000000,-58458746000.000000,,-58297394000.000000,,,,,,,,,,,,58252735000.000000,,,-58414087000.000000,,-58458746000.000000,-6454392000.000000,22468839000.000000,,16014447000.000000
12M 2022,-6817223000.000000,9685000.000000,3573243000.000000,,,-5498333000.000000,-4901818000.000000,-10400151000.000000,,,,-6817223000.000000,346158000.000000,196121000.000000,6613000.000000,,,,23200000.000000,,,,,120224000.000000,,,,,346158000.000000,44689000.000000,,,,,,,,,,,,,,44689000.000000,,,,,44689000.000000,-6426376000.000000,16014447000.000000,,9588071000.000000
12M 2023,-2772494000.000000,,4712703000.000000,,,-4011943000.000000,-3473254000.000000,-7485197000.000000,,,,-2772494000.000000,-12341000.000000,145427000.000000,3400000.000000,-222873000.000000,,,5000000.000000,,,,,56705000.000000,,,,,-12341000.000000,,,,,,,,,,,,,,,,,,,,,-2784835000.000000,9588071000.000000,,6803236000.000000
12M 2024,-8266060000.000000,334608000.000000,3691348000.000000,,,-8709274000.000000,-3582742000.000000,-12292016000.000000,,,,-8266060000.000000,6999808000.000000,33249000.000000,,,,,6936493000.000000,,,,,30066000.000000,,,,,6999808000.000000,,,,,,,,,,,,,,,,,,,,,-1266252000.000000,6803236000.000000,,5536984000.000000
