Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,18.21,,8.74,,4.25,,1.42,37.68,37.68,1.1
12M 2009,23.28,39.52,17.69,45.11,15.68,14.42,9.24,7.44,2.87,2.86,1.0,0.99,26.38,26.38,1.12
12M 2010,24.23,57.25,23.5,57.98,15.06,14.39,6.38,4.84,2.73,2.59,0.92,0.86,18.1,18.1,1.11
12M 2011,22.37,70.88,26.9,66.35,16.32,16.64,5.15,4.64,2.93,2.76,0.95,0.9,7.22,7.22,1.38
12M 2012,29.65,74.77,28.92,75.5,12.31,9.59,4.88,3.88,2.42,2.24,0.81,0.74,4.43,4.43,1.59
12M 2013,39.46,95.67,28.66,106.47,9.25,9.79,3.82,3.79,1.82,1.64,0.65,0.61,13.56,13.56,1.12
12M 2014,32.46,63.36,17.18,78.64,11.25,8.94,5.76,4.95,2.45,2.32,0.94,0.89,23.44,23.44,1.1
12M 2015,51.63,92.2,27.28,116.55,7.07,6.32,3.96,3.89,1.47,1.32,0.64,0.59,12.67,12.67,1.16
12M 2016,54.05,139.09,82.4,110.74,6.75,6.25,2.62,2.32,1.32,1.22,0.6,0.55,13.72,13.72,1.1
12M 2017,56.33,128.39,104.12,80.6,6.48,5.31,2.84,3.11,1.54,1.46,0.67,0.64,17.74,17.74,1.11
12M 2018,77.55,127.6,103.67,101.48,4.71,4.25,2.86,2.52,1.37,1.33,0.57,0.53,2.97,2.97,1.88
12M 2019,82.82,126.35,90.03,119.14,4.41,4.43,2.89,3.08,1.32,1.3,0.51,0.5,3.38,3.38,1.63
12M 2020,81.69,99.36,73.23,107.82,4.47,3.84,3.67,3.51,1.67,1.65,0.59,0.55,4.11,4.11,1.49
12M 2021,73.92,69.27,70.25,72.94,4.94,4.8,5.27,4.91,2.43,2.43,0.79,0.76,5.16,5.16,1.5
12M 2022,77.31,102.91,106.8,73.42,4.72,4.81,3.55,3.18,2.45,2.43,0.74,0.73,8.78,8.78,1.2
12M 2023,88.42,146.48,118.36,116.54,4.13,3.93,2.49,2.63,2.11,2.09,0.62,0.61,4.58,4.58,1.38
12M 2024,90.19,126.59,87.93,128.85,4.05,3.84,2.88,3.0,2.26,2.24,0.65,0.62,5.56,5.56,1.3
