Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,101 B,(130 B),(28 B),-141.04
12M 2009,188 B,(77 B),112 B,554.88
12M 2010,157 B,(69 B),88 B,438.94
12M 2011,73 B,(82 B),(9 B),-44.89
12M 2012,250 B,(86 B),164 B,816.09
12M 2013,254 B,(315 B),(61 B),-305.49
12M 2014,124 B,(307 B),(183 B),-910.39
12M 2015,121 B,(139 B),(18 B),-89.64
12M 2016,264 B,(158 B),106 B,526.42
12M 2017,364 B,(169 B),194 B,966.61
12M 2018,193 B,(202 B),(9 B),-43.57
12M 2019,127 B,(127 B),(0 B),-1.50
12M 2020,311 B,(50 B),261 B,1296.58
12M 2021,153 B,(53 B),100 B,495.92
12M 2022,90 B,(59 B),31 B,153.30
12M 2023,224 B,(74 B),150 B,373.00
12M 2024,52 B,(84 B),(32 B),-80.38
