Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2010,2.00 B,23.16,0.00,0.00,,5.37%,10.17%,56.15%,6.19
12M 2011,4.00 B,36.70,0.00,0.00,,12.34%,29.86%,44.67%,6.15
12M 2012,5.37 B,37.94,14.23,0.35,,14.99%,18.38%,35.05%,10.38
12M 2013,5.47 B,53.89,11.50,0.32,,8.53%,21.27%,34.81%,6.28
12M 2014,7.04 B,43.29,21.48,0.45,,6.08%,12.20%,26.72%,3.68
12M 2015,7.12 B,52.01,14.80,0.25,,5.20%,13.16%,18.43%,2.68
12M 2016,7.18 B,65.19,13.12,0.22,,5.70%,14.62%,15.80%,2.62
12M 2017,7.31 B,57.12,17.51,0.26,,4.77%,11.79%,15.11%,2.10
12M 2018,7.31 B,60.69,15.49,0.23,"1,065.25 B",5.32%,11.42%,14.77%,2.54
12M 2019,7.31 B,-761.58,-0.39,0.08,"(6,654.60 B)",-188.32%,338.47%,-225.61%,-17.08
12M 2020,7.31 B,-350.94,-0.34,0.21,(857.27 B),-788.37%,61.89%,38.17%,-4.61
12M 2021,7.31 B,-15.74,-7.69,0.50,(63.68 B),-50.93%,2.71%,3.48%,-1.98
12M 2022,7.31 B,-45.23,-1.11,0.13,(281.15 B),-245.16%,7.18%,42.12%,-8.35
12M 2023,7.31 B,-12.22,-4.09,0.12,(49.19 B),-66.15%,1.90%,2.65%,-1.92
