Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Aset Tetap,Aset Tak Berwujud,Tanah Untuk Dikembangkan,Investasi Jangka Panjang,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Others,Total Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Utang Bank Jangka Panjang,Liabilitas Pajak Tangguhan,Utang Lain Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,27263463502.000000,60815970000.000000,647481803437.000000,,647481803437.000000,647481803437.000000,31050185694.000000,3798907893.000000,27251277801.000000,31050185694.000000,573933155405.000000,38570566508.000000,1379115144546.000000,,1446029932.000000,10143687844.000000,115962650087.000000,6015018858.000000,,,,13066927562.000000,146634314283.000000,1525749458829.000000,,,990510047656.000000,460730807264.000000,,89766220879.000000,336413617932.000000,426179838811.000000,17565664616.000000,,,17565664616.000000,23632514656.000000,,23632514656.000000,54772890730.000000,,,,7628331579.000000,990510047656.000000,145408776197.000000,244654304.000000,,560872022.000000,,144603249871.000000,145408776197.000000,1135918823853.000000,,91849275000.000000,9056550000.000000,280969967812.000000,18369855000.000000,262600112812.000000,280969967812.000000,10978840513.000000,-3023998349.000000,389830634976.000000,1525749458829.000000,918492750.000000
12M 2009,,,43043465962.000000,49737600000.000000,606628292751.000000,,606628292751.000000,606628292751.000000,53672835649.000000,11228615038.000000,42444220611.000000,53672835649.000000,525132806406.000000,39254288779.000000,1317469289547.000000,,702890332.000000,7998493662.000000,119439890104.000000,6342773242.000000,,,,14125417056.000000,148609464396.000000,1466078753943.000000,,,892309939677.000000,405438842977.000000,,79495719899.000000,339033186384.000000,418528906283.000000,7842988891.000000,,,7842988891.000000,4819079305.000000,,4819079305.000000,48667467239.000000,,,,7012654982.000000,892309939677.000000,175409598272.000000,107684373.000000,,1660248689.000000,,173641665210.000000,175409598272.000000,1067719537949.000000,,91849275000.000000,9056550000.000000,293822813802.000000,18369855000.000000,275452958802.000000,293822813802.000000,6654575541.000000,-3023998349.000000,398359215994.000000,1466078753943.000000,918492750.000000
12M 2010,,,90402816909.000000,12200000000.000000,783619766254.000000,,,783619766254.000000,55482227304.000000,6182136901.000000,49300090403.000000,55482227304.000000,586869475127.000000,50407733835.000000,1578982019429.000000,,741558428.000000,6435766429.000000,136032278631.000000,5541556444.000000,,,,14242091096.000000,162993251028.000000,1741975270457.000000,,,1086530490073.000000,467264244928.000000,,113077281599.000000,400460214461.000000,513537496060.000000,11868630552.000000,,,11868630552.000000,18772412444.000000,,18772412444.000000,70561188437.000000,,,,4526517652.000000,1086530490073.000000,188907640218.000000,,,2267467469.000000,,186640172749.000000,188907640218.000000,1275438130291.000000,,91849275000.000000,9056550000.000000,360504815456.000000,18369855000.000000,342134960456.000000,360504815456.000000,8150498059.000000,-3023998349.000000,466537140166.000000,1741975270457.000000,918492750.000000
12M 2011,,,107342024904.000000,12000000000.000000,822242531211.000000,,,822242531211.000000,127819219149.000000,12755672146.000000,115063547003.000000,127819219149.000000,711212879239.000000,34496499647.000000,1815113154150.000000,,1318473243.000000,8629568506.000000,160615158501.000000,4182771858.000000,,,,28629008597.000000,203374980705.000000,2018488134855.000000,,,1272356532418.000000,688047624994.000000,,86172556090.000000,387121825384.000000,473294381474.000000,17200655464.000000,,,17200655464.000000,20180054279.000000,,20180054279.000000,69662621029.000000,,,,3971195178.000000,1272356532418.000000,222592637613.000000,,,3033063836.000000,,219559573777.000000,222592637613.000000,1494949170031.000000,,91849275000.000000,9056550000.000000,416893804125.000000,18369855000.000000,398523949125.000000,416893804125.000000,8763334048.000000,-3023998349.000000,523538964824.000000,2018488134855.000000,918492750.000000
12M 2012,,,94246727147.000000,12300000000.000000,988796951552.000000,,,988796951552.000000,154908233659.000000,4974572348.000000,149933661311.000000,154908233659.000000,845134822538.000000,37659713414.000000,2133046448310.000000,,1449674274.000000,9582423378.000000,178633719694.000000,4395855002.000000,,,,28988250037.000000,223049922385.000000,2356096370695.000000,,,1526638697706.000000,782136517614.000000,,111844960137.000000,498738031134.000000,610582991271.000000,33752097127.000000,,,33752097127.000000,13894995321.000000,,13894995321.000000,59903727723.000000,,,,26368368650.000000,1526638697706.000000,250642660682.000000,,,4008807422.000000,4062500000.000000,242571353260.000000,250642660682.000000,1777281358388.000000,,91849275000.000000,9056550000.000000,470983039065.000000,18369855000.000000,452613184065.000000,470983039065.000000,9950146591.000000,-3023998349.000000,578815012307.000000,2356096370695.000000,918492750.000000
12M 2013,,,68655293829.000000,10300000000.000000,1079434620482.000000,,,1079434620482.000000,278899005165.000000,29618637944.000000,249280367221.000000,278899005165.000000,784448370204.000000,40488918914.000000,2262226208594.000000,,1164219202.000000,10424113399.000000,172824275751.000000,3221582233.000000,,,,22137681087.000000,209771871672.000000,2471998080266.000000,,,1565759623956.000000,794146779143.000000,,154596909244.000000,435556959058.000000,590153868302.000000,85485874410.000000,,,85485874410.000000,30816231943.000000,,30816231943.000000,42163492866.000000,,,,22993377292.000000,1565759623956.000000,265246419612.000000,,,4802778932.000000,3812500000.000000,256631140680.000000,265246419612.000000,1831006043568.000000,,91849275000.000000,9056550000.000000,533692645786.000000,18369855000.000000,515322790786.000000,533692645786.000000,9417564261.000000,-3023998349.000000,640992036698.000000,2471998080266.000000,918492750.000000
12M 2014,,,37042570821.000000,1232479376.000000,1085604913193.000000,,,1085604913193.000000,205947040037.000000,37612468375.000000,168334571662.000000,205947040037.000000,896461769145.000000,50555500515.000000,2276844273087.000000,,519955024.000000,11780329909.000000,154932031455.000000,3467455719.000000,,,,24039913630.000000,194739685737.000000,2471583958824.000000,,,1465759630487.000000,742729657053.000000,,139975726536.000000,446455308549.000000,586431035085.000000,48417787656.000000,,,48417787656.000000,13506323103.000000,,13506323103.000000,49701837090.000000,,,,24972990500.000000,1465759630487.000000,273419570086.000000,,,4416059971.000000,3562500009.000000,265441010106.000000,273419570086.000000,1739179200573.000000,,91849275000.000000,9056550000.000000,625675668842.000000,18369855000.000000,607305813842.000000,625675668842.000000,8847262758.000000,-3023998349.000000,732404758251.000000,2471583958824.000000,918492750.000000
12M 2015,,,27923049210.000000,1112548930.000000,1143652514104.000000,,,1143652514104.000000,253204779640.000000,31109028680.000000,222095750960.000000,253204779640.000000,945862702607.000000,48998994523.000000,2420754589014.000000,,546302208.000000,8544407490.000000,138734196010.000000,27872592334.000000,,,,49849709721.000000,225547207763.000000,2646301796777.000000,,,1515045604565.000000,746620000000.000000,,60390592981.000000,548657286334.000000,609047879315.000000,68913371564.000000,,,68913371564.000000,25180116743.000000,,25180116743.000000,32386633058.000000,,,,32897603885.000000,1515045604565.000000,288342573611.000000,,,4970860606.000000,14753825255.000000,268617887750.000000,288342573611.000000,1803388178176.000000,,91849275000.000000,9056550000.000000,734269263264.000000,18369855000.000000,715899408264.000000,734269263264.000000,10762528686.000000,-3023998349.000000,842913618601.000000,2646301796777.000000,918492750.000000
12M 2016,,,27778407752.000000,1304734716.000000,1245787925559.000000,,,1245787925559.000000,230996069930.000000,20759144112.000000,210236925818.000000,230996069930.000000,895256665109.000000,88327208437.000000,2489451011503.000000,,849106439.000000,9406214030.000000,116907028886.000000,22026621272.000000,,,,47390355974.000000,196579326601.000000,2686030338104.000000,,,1446548510398.000000,534628597572.000000,,109535818391.000000,668282302165.000000,777818120556.000000,61343965386.000000,,,61343965386.000000,18946733011.000000,,18946733011.000000,24305408031.000000,,,,29505685842.000000,1446548510398.000000,295551311055.000000,,,3877217462.000000,12630371231.000000,279043722362.000000,295551311055.000000,1742099821453.000000,,91849275000.000000,9056550000.000000,835690841666.000000,18369855000.000000,817320986666.000000,835690841666.000000,10357848334.000000,-3023998349.000000,943930516651.000000,2686030338104.000000,918492750.000000
12M 2017,,,61916535498.000000,,1276348099959.000000,,,1276348099959.000000,292068661042.000000,7924937747.000000,284143723295.000000,292068661042.000000,1049021676853.000000,57100351470.000000,2736455324822.000000,,1515115795.000000,12600602066.000000,104124558258.000000,15440510433.000000,,,,54826866504.000000,188507653056.000000,2924962977878.000000,,,1533875068654.000000,88716953993.000000,,111485903834.000000,1200497772085.000000,1311983675919.000000,62885046347.000000,,,62885046347.000000,9907208526.000000,,9907208526.000000,30147197431.000000,,,,30234986438.000000,1533875068654.000000,313469986286.000000,,,1674373205.000000,10994760993.000000,300800852088.000000,313469986286.000000,1847345054940.000000,,91849275000.000000,9056550000.000000,970332256088.000000,18369855000.000000,951962401088.000000,970332256088.000000,9403840199.000000,-3023998349.000000,1077617922938.000000,2924962977878.000000,918492750.000000
