Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(42 B),(55 B),(97 B),-105.34
12M 2009,154 B,(33 B),121 B,131.29
12M 2010,21 B,(42 B),(21 B),-22.85
12M 2011,(63 B),(53 B),(115 B),-125.45
12M 2012,56 B,(44 B),11 B,12.15
12M 2013,97 B,(26 B),72 B,77.98
12M 2014,178 B,(14 B),164 B,178.68
12M 2015,195 B,(23 B),172 B,187.30
12M 2016,403 B,(15 B),388 B,422.13
12M 2017,635 B,(12 B),623 B,678.40
12M 2018,38 B,(14 B),23 B,25.53
12M 2019,"1,072 B",(19 B),"1,052 B",1145.78
12M 2020,802 B,(13 B),789 B,858.48
12M 2021,71 B,(16 B),55 B,59.54
12M 2022,654 B,(109 B),546 B,593.98
12M 2023,625 B,(211 B),414 B,450.82
12M 2024,199 B,(56 B),143 B,156.20
