Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2015,1.3,0.66,0.52,2.73,0.0,0.0,0.43,0.19,1.7
12M 2016,1.35,0.77,0.45,2.04,0.0,0.0,0.4,0.22,1.02
12M 2017,1.35,0.72,0.5,2.19,0.0,0.0,0.43,0.23,1.17
12M 2018,1.43,0.75,0.53,2.15,0.0,0.0,0.48,0.25,1.14
12M 2019,1.47,0.79,0.5,2.1,0.0,0.0,0.46,0.24,1.07
12M 2020,1.36,0.74,0.58,2.13,0.0,0.0,0.53,0.27,1.13
12M 2021,1.24,0.63,0.66,2.12,0.0,0.0,0.6,0.31,1.12
12M 2022,1.24,0.65,0.6,2.1,0.0,0.0,0.53,0.29,1.1
12M 2023,1.22,0.52,0.5,2.06,0.0,0.0,0.46,0.24,1.06
12M 2024,1.23,0.61,0.57,2.13,0.0,0.0,0.46,0.27,1.13
