Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,14.41,,2.68,,3.3,,1.17,103.78,103.78,1.02
12M 2009,25.07,190.56,33.85,181.78,14.56,13.12,1.92,2.02,3.3,3.4,1.04,1.06,3.28,3.28,1.76
12M 2010,30.38,194.96,36.88,188.46,12.01,10.93,1.87,2.22,3.42,3.4,1.02,1.09,10.46,10.46,1.18
12M 2011,31.97,237.68,42.1,227.55,11.42,12.55,1.54,1.39,3.3,3.42,0.91,0.86,3.71,3.71,1.45
12M 2012,18.58,236.42,42.12,212.88,19.65,20.27,1.54,1.52,4.04,4.24,0.95,0.95,8.2,8.2,1.19
12M 2013,12.44,163.36,25.01,150.79,29.35,20.08,2.23,2.48,3.54,3.62,1.06,1.08,-92.01,-92.01,0.98
12M 2014,15.57,169.81,35.59,149.79,23.45,15.52,2.15,2.16,3.64,4.55,1.13,1.17,17.51,17.51,1.1
12M 2015,18.07,175.06,44.13,149.0,20.19,25.21,2.08,2.11,4.47,4.43,1.15,1.13,20.89,20.89,1.09
12M 2016,14.64,189.32,48.03,155.93,24.93,26.22,1.93,1.84,3.83,3.78,1.07,1.03,13.59,13.59,1.12
12M 2017,18.93,199.93,46.73,172.13,19.28,16.2,1.83,1.8,3.21,3.29,0.95,0.95,10.44,10.44,1.15
12M 2018,17.21,164.43,48.44,133.2,21.21,18.97,2.22,2.2,4.08,4.1,1.17,1.16,21.27,21.27,1.08
12M 2019,27.9,284.24,105.73,206.41,13.08,13.65,1.28,1.24,2.49,2.54,0.71,0.74,64.2,64.2,1.02
12M 2020,59.1,242.16,99.11,202.15,6.18,521.84,1.51,4.07,0.66,0.68,0.26,0.42,-0.6,-0.6,0.34
12M 2021,7.15,246.65,126.26,127.54,51.04,,1.48,3.18,0.07,0.07,0.05,0.05,-0.11,-0.11,0.27
12M 2022,,427.18,50.4,376.78,,,0.85,0.88,,,,,-0.01,-0.01,0.33
12M 2023,,376.68,1.19,375.49,,,0.97,0.97,,,,,,,83.43
12M 2024,,189.93,0.6,189.33,,,1.92,1.95,,,,,,,163.16
