Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Utang Pajak,Beban Akrual,Utang Bank Jangka Pendek,Bagian Lancar Atas Liabilitas Jangka Panjang,Pinjaman Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Sewa Pembiayaan,Pinjaman Penerusan,Utang Obligasi,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,6889945000000.000000,3509769000000.000000,544974000000.000000,2964795000000.000000,3509769000000.000000,108874000000.000000,511950000000.000000,3601772000000.000000,14622310000000.000000,,70589590000000.000000,3187808000000.000000,,2856542000000.000000,76633940000000.000000,91256250000000.000000,,,26998151000000.000000,,1376146000000.000000,10793238000000.000000,12169384000000.000000,11959000000.000000,739688000000.000000,4093632000000.000000,46000000000.000000,,7054233000000.000000,,7054233000000.000000,2883255000000.000000,26998151000000.000000,20260248000000.000000,2904873000000.000000,,337780000000.000000,3949431000000.000000,,7495144000000.000000,11782355000000.000000,5573020000000.000000,20260248000000.000000,47258399000000.000000,,5040000000000.000000,1073333000000.000000,31499963000000.000000,10557985000000.000000,20941978000000.000000,31499963000000.000000,9683780000000.000000,-3299225000000.000000,43997851000000.000000,91256250000000.000000,20159999279.000000
12M 2009,,,7805460000000.000000,3789684000000.000000,604768000000.000000,3184916000000.000000,3789684000000.000000,128025000000.000000,435244000000.000000,4027611000000.000000,16186024000000.000000,,76053966000000.000000,2428280000000.000000,94953000000.000000,2796383000000.000000,81373582000000.000000,97559606000000.000000,,,26717414000000.000000,,1759468000000.000000,8084199000000.000000,9843667000000.000000,3162000000.000000,1749789000000.000000,4103964000000.000000,43850000000.000000,,7629295000000.000000,,7629295000000.000000,3343687000000.000000,26717414000000.000000,20919098000000.000000,3343201000000.000000,,208088000000.000000,3094110000000.000000,68777000000.000000,11086688000000.000000,14457663000000.000000,3118234000000.000000,20919098000000.000000,47636512000000.000000,,5040000000000.000000,1073333000000.000000,36467205000000.000000,15336746000000.000000,21130459000000.000000,36467205000000.000000,10933347000000.000000,-3590791000000.000000,49923094000000.000000,97559606000000.000000,20159999279.000000
12M 2010,,,9119849000000.000000,4343709000000.000000,780043000000.000000,3563666000000.000000,4343709000000.000000,90140000000.000000,515536000000.000000,4661393000000.000000,18730627000000.000000,,75832408000000.000000,1784525000000.000000,61692000000.000000,3349195000000.000000,81027820000000.000000,99758447000000.000000,,,20472898000000.000000,,1153874000000.000000,6356921000000.000000,7510795000000.000000,20953000000.000000,735690000000.000000,3409260000000.000000,55831000000.000000,,5303636000000.000000,,5303636000000.000000,3436733000000.000000,20472898000000.000000,22870766000000.000000,4073814000000.000000,,408867000000.000000,2741303000000.000000,3249379000000.000000,10256205000000.000000,16655754000000.000000,2141198000000.000000,22870766000000.000000,43343664000000.000000,,5040000000000.000000,1073333000000.000000,41907443000000.000000,15336746000000.000000,26570697000000.000000,41907443000000.000000,11996041000000.000000,-3602034000000.000000,56414783000000.000000,99758447000000.000000,20159999279.000000
12M 2011,,,9634000000000.000000,4915000000000.000000,932000000000.000000,3983000000000.000000,4915000000000.000000,335000000000.000000,758000000000.000000,5616000000000.000000,21258000000000.000000,,74897000000000.000000,1789000000000.000000,67000000000.000000,5043000000000.000000,81796000000000.000000,103054000000000.000000,,,22189000000000.000000,,838000000000.000000,7479000000000.000000,8317000000000.000000,37000000000.000000,1039000000000.000000,4790000000000.000000,100000000000.000000,,4813000000000.000000,,4813000000000.000000,3093000000000.000000,22189000000000.000000,19884000000000.000000,3794000000000.000000,,314000000000.000000,2012000000000.000000,3401000000000.000000,7231000000000.000000,12958000000000.000000,3132000000000.000000,19884000000000.000000,42073000000000.000000,,5040000000000.000000,1073000000000.000000,47054000000000.000000,15337000000000.000000,31717000000000.000000,47054000000000.000000,13471000000000.000000,-5657000000000.000000,60981000000000.000000,103054000000000.000000,20159999279.000000
12M 2012,,,13118000000000.000000,5223000000000.000000,701000000000.000000,4522000000000.000000,5223000000000.000000,186000000000.000000,579000000000.000000,8867000000000.000000,27973000000000.000000,,77047000000000.000000,1443000000000.000000,89000000000.000000,4817000000000.000000,83396000000000.000000,111369000000000.000000,,,24107000000000.000000,,432000000000.000000,6848000000000.000000,7280000000000.000000,176000000000.000000,1844000000000.000000,6163000000000.000000,37000000000.000000,,5621000000000.000000,,5621000000000.000000,2986000000000.000000,24107000000000.000000,20284000000000.000000,3059000000000.000000,,1814000000000.000000,1791000000000.000000,3229000000000.000000,6783000000000.000000,13617000000000.000000,3608000000000.000000,20284000000000.000000,44391000000000.000000,,5040000000000.000000,1073000000000.000000,52777000000000.000000,15337000000000.000000,37440000000000.000000,52777000000000.000000,15437000000000.000000,-7349000000000.000000,66978000000000.000000,111369000000000.000000,20159999279.000000
12M 2013,,,14696000000000.000000,6026000000000.000000,900000000000.000000,5126000000000.000000,6026000000000.000000,395000000000.000000,509000000000.000000,11449000000000.000000,33075000000000.000000,,86761000000000.000000,1508000000000.000000,82000000000.000000,6525000000000.000000,94876000000000.000000,127951000000000.000000,,,28437000000000.000000,,826000000000.000000,10774000000000.000000,11600000000000.000000,388000000000.000000,1698000000000.000000,5264000000000.000000,432000000000.000000,,5093000000000.000000,,5093000000000.000000,3962000000000.000000,28437000000000.000000,22090000000000.000000,3004000000000.000000,,4321000000000.000000,1702000000000.000000,3073000000000.000000,5635000000000.000000,14731000000000.000000,4355000000000.000000,22090000000000.000000,50527000000000.000000,,5040000000000.000000,2323000000000.000000,58628000000000.000000,15337000000000.000000,43291000000000.000000,58628000000000.000000,16882000000000.000000,-5449000000000.000000,77424000000000.000000,127951000000000.000000,100799996400.000000
12M 2014,,,17672000000000.000000,6465000000000.000000,746000000000.000000,5719000000000.000000,6465000000000.000000,383000000000.000000,474000000000.000000,8768000000000.000000,33762000000000.000000,,94809000000000.000000,2463000000000.000000,99000000000.000000,9762000000000.000000,107133000000000.000000,140895000000000.000000,,,31786000000000.000000,,770000000000.000000,11060000000000.000000,11830000000000.000000,114000000000.000000,2376000000000.000000,5211000000000.000000,1810000000000.000000,,5899000000000.000000,,5899000000000.000000,4546000000000.000000,31786000000000.000000,22984000000000.000000,2743000000000.000000,,4218000000000.000000,1408000000000.000000,2239000000000.000000,7878000000000.000000,15743000000000.000000,4498000000000.000000,22984000000000.000000,54770000000000.000000,,5040000000000.000000,2899000000000.000000,63323000000000.000000,15337000000000.000000,47986000000000.000000,63323000000000.000000,18318000000000.000000,-3455000000000.000000,86125000000000.000000,140895000000000.000000,100799996400.000000
12M 2015,,,28117000000000.000000,7517000000000.000000,1104000000000.000000,6413000000000.000000,7517000000000.000000,355000000000.000000,528000000000.000000,11395000000000.000000,47912000000000.000000,,103700000000000.000000,3056000000000.000000,201000000000.000000,11304000000000.000000,118261000000000.000000,166173000000000.000000,,,35413000000000.000000,,2075000000000.000000,11919000000000.000000,13994000000000.000000,290000000000.000000,3273000000000.000000,8247000000000.000000,602000000000.000000,,3842000000000.000000,,3842000000000.000000,5165000000000.000000,35413000000000.000000,37332000000000.000000,2110000000000.000000,,3939000000000.000000,1296000000000.000000,9499000000000.000000,15434000000000.000000,30168000000000.000000,5054000000000.000000,37332000000000.000000,72745000000000.000000,,5040000000000.000000,2935000000000.000000,70457000000000.000000,15337000000000.000000,55120000000000.000000,70457000000000.000000,18292000000000.000000,-3296000000000.000000,93428000000000.000000,166173000000000.000000,100799996400.000000
12M 2016,,,29767000000000.000000,7363000000000.000000,894000000000.000000,6469000000000.000000,7363000000000.000000,537000000000.000000,584000000000.000000,9450000000000.000000,47701000000000.000000,,114498000000000.000000,3089000000000.000000,769000000000.000000,13554000000000.000000,131910000000000.000000,179611000000000.000000,,,39762000000000.000000,,1547000000000.000000,11971000000000.000000,13518000000000.000000,172000000000.000000,2954000000000.000000,11283000000000.000000,911000000000.000000,,4521000000000.000000,,4521000000000.000000,6403000000000.000000,39762000000000.000000,34305000000000.000000,745000000000.000000,26367000000000.000000,,,,,26367000000000.000000,7193000000000.000000,34305000000000.000000,74067000000000.000000,,5040000000000.000000,4931000000000.000000,76615000000000.000000,15337000000000.000000,61278000000000.000000,76615000000000.000000,21160000000000.000000,-2202000000000.000000,105544000000000.000000,179611000000000.000000,100799996400.000000
12M 2017,,,25145000000000.000000,9222000000000.000000,1545000000000.000000,7677000000000.000000,9222000000000.000000,342000000000.000000,631000000000.000000,12221000000000.000000,47561000000000.000000,,130171000000000.000000,3530000000000.000000,2804000000000.000000,14418000000000.000000,150923000000000.000000,198484000000000.000000,,,45376000000000.000000,,896000000000.000000,14678000000000.000000,15574000000000.000000,217000000000.000000,2790000000000.000000,12630000000000.000000,2289000000000.000000,,5209000000000.000000,,5209000000000.000000,6667000000000.000000,45376000000000.000000,40978000000000.000000,933000000000.000000,27974000000000.000000,,,,,27974000000000.000000,12071000000000.000000,40978000000000.000000,86354000000000.000000,,5040000000000.000000,4931000000000.000000,84896000000000.000000,15337000000000.000000,69559000000000.000000,84896000000000.000000,19417000000000.000000,-2154000000000.000000,112130000000000.000000,198484000000000.000000,100799996400.000000
