Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,4.05,1702.09,4.47,1543.96,"7,100 B","11,782 B","18,883 B","11,993 B","(12,376 B)"
12M 2009,4.89,1934.02,5.21,1813.56,"7,673 B","14,458 B","22,131 B","14,325 B","(10,531 B)"
12M 2010,3.61,2203.31,3.76,2114.79,"5,359 B","16,656 B","22,015 B","12,895 B","(1,742 B)"
12M 2011,2.99,2356.65,3.11,2267.91,"4,913 B","12,958 B","17,871 B","8,237 B",(931 B)
12M 2012,3.54,2556.60,3.64,2485.02,"5,658 B","13,617 B","19,275 B","6,157 B","3,866 B"
12M 2013,3.58,600.62,3.67,585.65,"5,525 B","14,731 B","20,256 B","5,560 B","4,638 B"
12M 2014,4.26,672.69,4.42,648.25,"7,709 B","15,743 B","23,452 B","5,780 B","1,976 B"
12M 2015,4.17,745.40,4.34,715.08,"4,444 B","30,168 B","34,612 B","6,495 B","12,499 B"
12M 2016,4.75,837.14,4.93,806.50,"5,432 B","26,367 B","31,799 B","2,032 B","7,939 B"
12M 2017,4.83,919.77,5.02,884.75,"7,498 B","27,974 B","35,472 B","10,327 B","2,185 B"
12M 2018,3.76,998.46,3.96,947.67,"10,339 B","33,748 B","44,087 B","26,648 B","(2,993 B)"
12M 2019,3.95,1005.04,4.22,939.96,"18,215 B","33,869 B","52,084 B","33,842 B","(16,647 B)"
12M 2020,3.20,1034.98,3.43,965.87,"19,284 B","30,561 B","49,845 B","29,256 B","(22,590 B)"
12M 2021,3.29,1227.98,3.51,1152.21,"16,372 B","36,319 B","52,691 B","14,380 B","(7,854 B)"
12M 2022,2.87,1304.82,3.07,1221.01,"17,049 B","27,331 B","44,380 B","12,433 B","(15,331 B)"
12M 2023,2.88,1370.29,3.08,1282.15,"19,926 B","27,773 B","47,699 B","18,692 B","(15,955 B)"
12M 2024,1.89,1434.39,2.02,1339.08,"27,391 B","25,518 B","52,909 B","19,004 B","(13,687 B)"
