Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,0.54,0.52,0.55,2.66,0.0,0.0,0.35,0.21,1.38
12M 2009,0.61,0.59,0.57,2.5,0.0,0.0,0.37,0.23,1.22
12M 2010,0.91,0.89,0.5,2.25,0.0,0.0,0.29,0.22,0.98
12M 2011,0.96,0.92,0.38,2.17,0.0,0.0,0.17,0.17,0.89
12M 2012,1.16,1.14,0.37,2.16,0.0,0.0,0.12,0.17,0.86
12M 2013,1.16,1.15,0.33,2.11,0.0,0.0,0.09,0.16,0.83
12M 2014,1.06,1.05,0.35,2.08,0.0,0.0,0.09,0.17,0.81
12M 2015,1.35,1.34,0.46,2.21,0.0,0.0,0.09,0.21,0.97
12M 2016,1.2,1.18,0.38,2.13,0.0,0.0,0.02,0.18,0.88
12M 2017,1.05,1.03,0.38,2.14,0.0,0.0,0.11,0.18,0.93
12M 2018,0.94,0.92,0.45,2.08,0.0,0.0,0.27,0.21,0.9
12M 2019,0.71,0.7,0.52,2.22,0.0,0.0,0.34,0.24,1.04
12M 2020,0.67,0.66,0.49,2.41,0.0,0.0,0.29,0.2,1.23
12M 2021,0.89,0.88,0.43,2.28,0.0,0.0,0.12,0.19,1.08
12M 2022,0.78,0.77,0.34,2.13,0.0,0.0,0.1,0.16,0.97
12M 2023,0.78,0.76,0.35,2.11,0.0,0.0,0.14,0.17,0.96
12M 2024,0.82,0.81,0.37,2.11,0.0,0.0,0.13,0.18,0.97
