Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pengeluaran Kas Kepada Pemasok Dan Untuk Beban Usaha Lainnya,Pengeluaran Kas Kepada Karyawan Dan Anak Buah Kapal,Penerimaan Dari :,Taksiran Tagihan Pajak,Klaim Asuransi,Total Penerimaan Dari :,Penerimaan Dari Pendapatan Bunga,Penerimaan Pengembalian Pajak,Pembayaran Atas :,Beban Bunga,Beban Bunga Sewa,Pajak,Margin Transaksi Syariah,Total Pembayaran Atas :,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Penerimaan Dari Aset Derivatif,Perolehan Aset Tetap,Akuisisi Entitas Anak Baru,Investasi Pada Obligasi,Uang Muka Pembelian Tanah,Uang Muka Untuk Perolehan Aset Tetap,Perolehan Aset Tetap,Beban Pemugaran Kapal,Perolehan Perangkat Lunak,Total Uang Muka Untuk Perolehan Aset Tetap,Pembayaran Beban Ditangguhkan,Security Deposit,Pembayaran Uang Jaminan,Dividen Dari Ventura Bersama,Investasi Pada Ventura Bersama,Kas Entitas Anak Yang Baru Diakuisisi,Uang Muka Akuisisi Investasi Pada Anak Perusahaan Baru,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Perolehan Pinjaman Dari Transaksi Syariah,Kenaikan (Penurunan) Utang Lain-Lain,Kenaikan (Penurunan) Utang Bank Jangka Pendek,Penambahan Modal Saham,Penerimaan Atas Penjualan Saham Treasuri,Perolehan Pinjaman Dari Lembaga Keuangan,Perolehan Pinjaman Dari Hutang Pembiayaan,Perolehan Hutang Bank Jangka Panjang,Penerimaan Setoran Modal Entitas Anak Baru,Penambahan Piutang Hubungan Istimewa,Pembayaran Dividen,Dividen Kas Entitas Anak,Pembayaran :,Utang Bank Jangka Pendek,Utang Bank Jangka Panjang,Utang Lembaga Keuangan,Utang Sewa Pembiayaan,Liabilitas Sewa,Utang Transaksi Syariah,Utang Pembelian Secara Angsuran,Utang Pembiayaan,Utang Pembiayaan Konsumen,Hutang Derivatif,Total Pembayaran :,Perolehan,Utang Transaksi Syariah,Total Perolehan,Pembelian Saham Treasuri,Penurunan Uang Muka Pembelian Kapal,Penurunan Utang Hubungan Istimewa,Kenaikan Aset Keuangan Tidak Lancar Lainnya,Total Arus Kas Dari Aktivitas Pendanaan,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,295673013722.000000,1181906063937.000000,-814972444072.000000,,,,,,566873546.000000,,,-47241518348.000000,,-15883671539.000000,-8702289802.000000,-71827479689.000000,,295673013722.000000,-219727737487.000000,15899722001.000000,,-96575558185.000000,,,,,-111849210638.000000,-9934788091.000000,,-121783998729.000000,-16517902574.000000,,-750000000.000000,,,,,-219727737487.000000,-32399557181.000000,,,36460435740.000000,,,,,370357558093.000000,,,,,,,-357708216287.000000,,-46099091511.000000,,-18398193817.000000,,,,,-422205501615.000000,,,,,,-17012049399.000000,,-32399557181.000000,,43545719054.000000,14114769670.000000,57660488724.000000
12M 2009,144682582403.000000,966661270176.000000,-718235650364.000000,,,,,,358087536.000000,,,-82590823763.000000,,-10187561460.000000,-11322739722.000000,-104101124945.000000,,144682582403.000000,-461640420368.000000,13089200000.000000,,-428537206540.000000,,,,,-3261022704.000000,-9486158097.000000,,-12747180801.000000,-32945233027.000000,,-500000000.000000,,,,,-461640420368.000000,272742331325.000000,30855000000.000000,31156939600.000000,4038286416.000000,,,,1120000000.000000,335923583927.000000,,,,,,,-75311438416.000000,,-34160038228.000000,,-22943924857.000000,,,-436077117.000000,,-132851478618.000000,,,,,,2500000000.000000,,272742331325.000000,,-44215506640.000000,57660488724.000000,13444982084.000000
12M 2010,83924215413.000000,976933894643.000000,-791765780632.000000,,,,,,3317307427.000000,,,-93865833631.000000,,-6198821237.000000,-4496551157.000000,-104561206025.000000,,83924215413.000000,143150615769.000000,239340137677.000000,,-75009547088.000000,,,,,-4827232849.000000,-10370848410.000000,,-15198081259.000000,-5872557602.000000,,-109335959.000000,,,,,143150615769.000000,-233500499767.000000,37145000000.000000,,,,,,649891200.000000,,,,,,,,-105001564571.000000,,-4846696608.000000,,-44568493469.000000,,,-28210792188.000000,-47816380000.000000,-230443926836.000000,,,,,,-40851464131.000000,,-233500499767.000000,,-6425668585.000000,13444982084.000000,7019313499.000000
12M 2011,146068176755.000000,983548327741.000000,-679960842744.000000,-77657531700.000000,,,6408602132.000000,6408602132.000000,101261152.000000,,,-71477660775.000000,,-10243666999.000000,-4650312052.000000,-86371639826.000000,,146068176755.000000,115308374111.000000,130969885654.000000,1515353300.000000,-17176864843.000000,,,,,,,,,,,,,,,,115308374111.000000,-239237953423.000000,,-51266063972.000000,-15317999723.000000,,,,,,,,,,,,-117830114759.000000,,-49882931020.000000,,-3841496377.000000,,,-1099347572.000000,,-172653889728.000000,,,,,,,,-239237953423.000000,4946568330.000000,27085165773.000000,6453256152.000000,33538421925.000000
12M 2012,178426637444.000000,1076330903724.000000,-741531297286.000000,-81820380500.000000,,2999580229.000000,2823946793.000000,5823527022.000000,308777579.000000,,,-61619560402.000000,,-14689022372.000000,-4376310321.000000,-80684893095.000000,,178426637444.000000,-156882505833.000000,97194570006.000000,,-251577075839.000000,,,,,,,,,,,,,,,-2500000000.000000,-156882505833.000000,-16898923453.000000,,123100002003.000000,-10193856394.000000,,,46190000000.000000,,,,,,,,,-108571344263.000000,-6836473021.000000,-49148676297.000000,,-5582127641.000000,,,-706912941.000000,,-170845534163.000000,,,,,,,-5149534899.000000,-16898923453.000000,5149478606.000000,9794686764.000000,33538421925.000000,43333108689.000000
12M 2013,105362339199.000000,1332516604695.000000,-1017410280311.000000,-100461463709.000000,,,4803777171.000000,4803777171.000000,478406585.000000,,,-75386858143.000000,,-25313336098.000000,-13864510991.000000,-114564705232.000000,,105362339199.000000,7135362304.000000,104150751625.000000,,-97015389321.000000,,,,,,,,,,,,,,,,7135362304.000000,-123461869364.000000,,12665338950.000000,31253920828.000000,,,,,47245428299.000000,,,-11992225300.000000,,,,-131408158248.000000,-9500624101.000000,-55972862155.000000,,-11506393964.000000,,,-581788173.000000,,-208969826641.000000,,,,,,,6335494500.000000,-123461869364.000000,20848366049.000000,9884198188.000000,43333108689.000000,53217306877.000000
12M 2014,280199055942.000000,1665799886226.000000,-1178904291361.000000,-100509439733.000000,,,1309541180.000000,1309541180.000000,425097882.000000,,,-76292387912.000000,,-18710443067.000000,-12918907273.000000,-107921738252.000000,,280199055942.000000,-25375231161.000000,14701395515.000000,,-40076626676.000000,,,,,,,,,,,,,,,,-25375231161.000000,-253496556674.000000,,-61153335861.000000,47666806530.000000,,,33011462808.000000,1789644306.000000,,,,,,,,-190888984855.000000,-11842168378.000000,-52322613213.000000,,-18989472340.000000,,,-767895671.000000,,-274811134457.000000,,,,,,,,-253496556674.000000,-11663992001.000000,-10336723894.000000,53217306877.000000,42880582983.000000
12M 2015,426429247543.000000,1627807417138.000000,-992710475452.000000,-110308882220.000000,,,7287103260.000000,7287103260.000000,950260512.000000,,,-59747314901.000000,,-29466197959.000000,-17382662835.000000,-106596175695.000000,,426429247543.000000,-54859779229.000000,6623603098.000000,,-61483382327.000000,,,,,,,,,,,,,,,,-54859779229.000000,-384247210383.000000,,-39100142606.000000,-43495823910.000000,,,,,,,,-20324182893.000000,,,,-255190796519.000000,-32964966398.000000,-37735282616.000000,,-37052761921.000000,,,-877076714.000000,,-363820884168.000000,,82493823194.000000,82493823194.000000,,,,,-384247210383.000000,-5772502758.000000,-18450244827.000000,42880582983.000000,24430338156.000000
12M 2016,392380798612.000000,1710280429466.000000,-1067600743823.000000,-131675127579.000000,,,3787721551.000000,3787721551.000000,906304274.000000,,,-78993449260.000000,,-30994413805.000000,-13329922212.000000,-123317785277.000000,,392380798612.000000,-795784086252.000000,51697791044.000000,,-847481877296.000000,,,,,,,,,,,,,,,,-795784086252.000000,410334228921.000000,,-15318500000.000000,70700000000.000000,,,,,493170700000.000000,,,-47580951000.000000,,,,-118356849019.000000,-44229189992.000000,-27530505640.000000,,-42938973597.000000,,,-660891431.000000,,-233716409679.000000,,143079389600.000000,143079389600.000000,,,,,410334228921.000000,1606366795.000000,8537308076.000000,24430338156.000000,32967646232.000000
12M 2017,129911220397.000000,1927107075571.000000,-1464027027211.000000,-155995373007.000000,,,4089890368.000000,4089890368.000000,491406792.000000,,,-121140721959.000000,,-40921211825.000000,-19692818332.000000,-181754752116.000000,,129911220397.000000,-195556001864.000000,12439728463.000000,,-205445730327.000000,,,,,,,,,,,,,-2550000000.000000,,,-195556001864.000000,50384817440.000000,,30250000000.000000,2945865116.000000,,,,,473855900000.000000,,,-23151498700.000000,,,,-246497514538.000000,-56907825527.000000,-39450307774.000000,,-100570908091.000000,,,-455424156.000000,,-443881980086.000000,,10366531110.000000,10366531110.000000,,,,,50384817440.000000,-938610722.000000,-16198574749.000000,32967646232.000000,16769071483.000000
12M 2018,351598310104.000000,2390445082607.000000,-1720033954246.000000,-162512362048.000000,,,7103817892.000000,7103817892.000000,588787682.000000,,,-112797118748.000000,,-36711883120.000000,-14484059915.000000,-163993061783.000000,,351598310104.000000,-30959005271.000000,28481810991.000000,,-59440816262.000000,,,,,,,,,,,,,,,,-30959005271.000000,-298502187661.000000,,44000000000.000000,405082495.000000,,,48194931150.000000,,,,,,,,,-229831007871.000000,-11220221966.000000,-120137742243.000000,,-29346308865.000000,,,-566920361.000000,,-391102201306.000000,,,,,,,,-298502187661.000000,1471113025.000000,23608230197.000000,16769071483.000000,40377301680.000000
12M 2019,284895000000.000000,2447646000000.000000,-1839220000000.000000,-181769000000.000000,,,7831000000.000000,7831000000.000000,2010000000.000000,,,-102733000000.000000,,-42366000000.000000,-6504000000.000000,-151603000000.000000,,284895000000.000000,-58504000000.000000,82966000000.000000,,-139063000000.000000,,,,,,,,,,,,,,1257000000.000000,-3664000000.000000,-58504000000.000000,-232173000000.000000,,-87787000000.000000,116338000000.000000,,,78287000000.000000,,748657000000.000000,,,,,,,-810729000000.000000,-21719000000.000000,-125787000000.000000,,-128240000000.000000,,,-1193000000.000000,,-1087668000000.000000,,,,,,,,-232173000000.000000,5686000000.000000,-96000000.000000,40377000000.000000,40281000000.000000
12M 2020,565684000000.000000,2689595000000.000000,-1818386000000.000000,-227383000000.000000,,,,,1070000000.000000,128952000000.000000,,-163164000000.000000,,-45000000000.000000,,-208164000000.000000,,565684000000.000000,-515436000000.000000,31484000000.000000,,-546920000000.000000,,,,,,,,,,,,,,,,-515436000000.000000,27747000000.000000,,-30463000000.000000,-154364000000.000000,,,66393000000.000000,,778701000000.000000,375000000.000000,,-20966000000.000000,,,,-351285000000.000000,-36169000000.000000,-172868000000.000000,,,-50298000000.000000,,-1309000000.000000,,-611929000000.000000,,,,,,,,27747000000.000000,2310000000.000000,80305000000.000000,40281000000.000000,120586000000.000000
12M 2021,708628000000.000000,3279217000000.000000,-2106056000000.000000,-271934000000.000000,,,,,656000000.000000,,,-150881000000.000000,,-42374000000.000000,,-193255000000.000000,,708628000000.000000,438513000000.000000,975528000000.000000,,-503196000000.000000,,,,,,,,,,,,,-24500000000.000000,-9319000000.000000,,438513000000.000000,-581064000000.000000,,,-93315000000.000000,,,,41000000000.000000,257734000000.000000,,,-250084000000.000000,,,,-189514000000.000000,-121190000000.000000,-171849000000.000000,,,-48466000000.000000,-3949000000.000000,-1431000000.000000,,-536399000000.000000,,,,,,,,-581064000000.000000,-4276000000.000000,561801000000.000000,120586000000.000000,682387000000.000000
12M 2022,1572221000000.000000,4855513000000.000000,-2735957000000.000000,-330223000000.000000,,,,,7536000000.000000,922000000.000000,,-111059000000.000000,,-114511000000.000000,,-225570000000.000000,,1572221000000.000000,-160191000000.000000,4205000000.000000,,-159396000000.000000,,-5000000000.000000,,,,,,,,,,,,,,-160191000000.000000,-838783000000.000000,,,4183000000.000000,,,,,21816000000.000000,,,-512596000000.000000,,,,-187702000000.000000,,-114011000000.000000,,,-41929000000.000000,-6979000000.000000,-1565000000.000000,,-352186000000.000000,,,,,,,,-838783000000.000000,34565000000.000000,607812000000.000000,682387000000.000000,1290199000000.000000
12M 2023,1127635000000.000000,4305804000000.000000,-2713802000000.000000,-306843000000.000000,,,,,19811000000.000000,,,-93340000000.000000,,-83995000000.000000,,-177335000000.000000,,1127635000000.000000,-443589000000.000000,14767000000.000000,,-444407000000.000000,-10102000000.000000,5108000000.000000,-8955000000.000000,,,,,,,,,,,,,-443589000000.000000,-1096672000000.000000,,,,,2864000000.000000,,,19298000000.000000,,,-753219000000.000000,-2654000000.000000,,-33575000000.000000,-200252000000.000000,,-75111000000.000000,,,-40536000000.000000,-7252000000.000000,-889000000.000000,,-357615000000.000000,,,,-5346000000.000000,,,,-1096672000000.000000,5582000000.000000,-407044000000.000000,1290199000000.000000,883155000000.000000
12M 2024,992278000000.000000,4405286000000.000000,-2891435000000.000000,-331656000000.000000,,,,,14657000000.000000,1329000000.000000,,-84933000000.000000,,-120970000000.000000,,-205903000000.000000,,992278000000.000000,-773456000000.000000,311893000000.000000,,-457908000000.000000,,,-3500000000.000000,,-627616000000.000000,,,-627616000000.000000,,,,3675000000.000000,,,,-773456000000.000000,-445647000000.000000,,,,49005000000.000000,,,,402852000000.000000,,,-454951000000.000000,-53016000000.000000,,-44395000000.000000,-204097000000.000000,,-73326000000.000000,,,-60182000000.000000,-7537000000.000000,,,-389537000000.000000,,,,,,,,-445647000000.000000,14402000000.000000,-212423000000.000000,883155000000.000000,670732000000.000000
