Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.92,96.49,0.92,96.49,14 B,7 B,22 B,18 B,22 B
12M 2009,0.76,98.48,0.76,98.48,23 B,8 B,31 B,27 B,28 B
12M 2010,0.79,105.87,0.79,105.87,25 B,8 B,34 B,14 B,38 B
12M 2011,0.87,120.18,0.87,120.18,11 B,23 B,34 B,26 B,47 B
12M 2012,0.93,161.07,0.93,161.07,18 B,20 B,38 B,(6 B),79 B
12M 2013,0.92,170.22,0.92,170.22,35 B,36 B,71 B,49 B,85 B
12M 2014,0.63,190.90,0.63,190.90,44 B,67 B,111 B,92 B,84 B
12M 2015,0.33,208.80,0.33,208.80,42 B,90 B,132 B,118 B,64 B
12M 2016,0.77,190.09,0.77,190.09,42 B,95 B,138 B,126 B,86 B
12M 2017,1.42,194.70,1.42,194.70,42 B,83 B,125 B,113 B,68 B
12M 2018,0.78,230.22,0.78,230.22,44 B,48 B,92 B,80 B,117 B
12M 2019,0.71,232.83,0.71,232.83,51 B,39 B,90 B,80 B,103 B
12M 2020,0.84,172.15,0.84,172.15,38 B,59 B,97 B,81 B,75 B
12M 2021,0.78,175.96,0.78,175.96,37 B,,86 B,73 B,68 B
12M 2022,0.59,174.51,0.59,174.51,39 B,43 B,82 B,75 B,58 B
12M 2023,0.47,187.76,0.47,187.76,34 B,,75 B,67 B,71 B
12M 2024,0.66,224.81,0.66,224.81,30 B,59 B,88 B,43 B,126 B
