Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,1.49,1.31,0.31,1.92,0.0,0.0,0.26,0.16,0.92
12M 2009,1.64,1.45,0.43,1.93,0.0,0.0,0.37,0.06,0.93
12M 2010,1.73,1.57,0.44,2.01,0.0,0.0,0.18,0.22,1.01
12M 2011,2.01,1.79,0.39,2.02,0.0,0.0,0.3,0.19,1.02
12M 2012,2.65,2.36,0.33,1.82,0.0,0.0,0.18,0.18,0.82
12M 2013,2.61,2.38,0.57,2.0,0.0,0.0,0.4,0.29,1.0
12M 2014,2.08,1.86,0.8,2.33,0.0,0.0,0.66,0.34,1.33
12M 2015,1.88,1.58,0.87,2.29,0.0,0.0,0.78,0.38,1.29
12M 2016,2.21,1.99,1.0,2.48,0.0,0.0,0.91,0.4,1.48
12M 2017,1.54,1.41,0.88,2.83,0.0,0.0,0.8,0.31,1.73
12M 2018,2.44,2.13,0.38,1.73,0.0,0.0,0.33,0.22,0.67
12M 2019,2.25,1.9,0.37,1.68,0.0,0.0,0.33,0.22,0.62
12M 2020,1.83,1.58,0.53,2.03,0.0,0.0,0.44,0.26,1.0
12M 2021,1.67,1.44,0.46,2.0,0.0,0.0,0.39,0.23,0.97
12M 2022,1.49,1.29,0.45,2.06,0.0,0.0,0.41,0.22,1.03
12M 2023,1.49,1.24,0.38,2.12,0.0,0.0,0.34,0.18,1.07
12M 2024,2.07,1.9,0.37,1.89,0.0,0.0,0.18,0.2,0.85
