Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,0.72 B,4.43,20.09,0.36,,2.38%,4.59%,11.92%,
12M 2009,0.72 B,1.99,37.69,0.30,,1.05%,2.02%,2.82%,
12M 2010,0.72 B,7.38,11.38,0.33,,3.46%,6.97%,7.62%,
12M 2011,0.72 B,14.32,7.26,0.32,,5.89%,11.91%,12.15%,
12M 2012,0.72 B,40.89,3.64,0.41,,13.95%,25.38%,26.66%,8.97
12M 2013,0.72 B,10.15,15.37,0.43,,2.97%,5.96%,7.95%,3.31
12M 2014,0.72 B,20.69,5.80,0.27,,4.65%,10.84%,10.89%,4.67
12M 2015,0.72 B,9.07,7.50,0.20,,1.90%,4.34%,5.33%,1.87
12M 2016,0.72 B,-18.74,-7.84,0.46,,-3.98%,-9.86%,-2.50%,-0.53
12M 2017,0.72 B,-0.21,-1314.29,0.70,,-0.04%,-0.11%,5.39%,1.06
12M 2018,1.06 B,2.69,66.91,0.65,19.14 B,0.68%,1.17%,2.57%,1.51
12M 2019,1.06 B,1.04,159.62,0.58,23.41 B,0.27%,0.45%,3.49%,1.21
12M 2020,1.06 B,-45.11,-3.19,0.80,(33.02 B),-12.93%,-26.21%,-14.41%,-5.35
12M 2021,1.06 B,4.50,30.44,0.77,15.33 B,1.28%,2.56%,3.21%,1.15
12M 2022,1.06 B,-3.19,-32.29,0.52,7.75 B,-0.89%,-1.83%,0.80%,0.26
12M 2023,1.06 B,0.86,103.49,0.43,12.03 B,0.22%,0.46%,2.48%,0.83
12M 2024,1.06 B,1.57,94.90,0.62,14.13 B,0.37%,0.70%,2.88%,1.28
