Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Royalti,Penurunan Neto Kas Di Bank Dan Deposito Berjangka Yang Dibatasi Penggunaannya,Pembayaran Pajak Penghasilan Badan,Penerimaan Kelebihan Pembayaran Pajak Penghasilan Badan,Pembayaran Untuk Konstruksi Pembangkit Tenaga Listrik,Penerimaan Restitusi Pajak Penghasilan Badan,Penerimaan Pengembalian Piutang Pihak Ketiga,Penempatan Jaminan Reklamasi,Pembayaran Bunga,Penerimaan Bunga,Penerimaan Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penambahan Properti Pertambangan,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Penjualan Aset Tetap,Penambahan Aset Hak Guna,Uang Muka Pembelian Aset Dan Investasi Lainnya,Penambahan Aset Eksplorasi Dan Evaluasi,Uang Muka Investasi,Dividen Kas Yang Diterima,Pinjaman Kepada Pihak Ketiga,Penambahan Tanaman Belum Menghasilkan,Pengembalian Atas Pinjaman Pihak Berelasi,Hasil Dari Divestasi Saham,Pencairan (Penempatan) Pada Kas Dan Setara Kas Yang Dibatasi Penggunaannya,Investasi Pada Entitas Anak,Investasi Saham,Pinjaman Kepada Pihak Berelasi,Pinjaman Kepada Pemegang Saham,Penerimaan Dividen Dari Pihak Ketiga,Akuisisi Bisnis Setelah Dikurangi Kas Yang Diperoleh,Arus Kas Masuk Bersih Dari Akuisisi Entitas Anak,Pembelian Saham Tambahan Di Entitas Anak,Penambahan Aset Tak Berwujud,Perolehan Aset Tidak Lancar Lainnya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Hutang Bank,Pembayaran Dividen Kas Kepentingan Non Pengendali-Neto,Pembayaran Dividen Kepada Pemegang Saham Non-Pengendali,Pembayaran Pokok Sewa Pembiayaan,Pembayaran Pinjaman Kepada Pemegang Saham Non-Pengendali,Penerimaan Pinjaman Dari Pemegang Saham Non-Pengendali,Pembayaran Pinjaman,Penerimaan Dari Utang Obligasi,Pinjaman Kepada Pemegang Saham,"Penerimaan Pinjaman Bank, Neto",Pembayaran Pinjaman Kepada Pihak Berelasi,Pembayaran Pinjaman Kepada Pihak Ketiga,Penerimaan Pinjaman Dari Pihak Ketiga,Penerimaan Dari Penawaran Umum Saham Perdana,Penambahan Aset Terkait Dengan Program Pengampunan Pajak,Penerimaan Dari Pemegang Saham,Penerimaan Uang Muka Setoran Modal Dari Pemegang Saham Non-Pengendali Entitas Anak,Setoran Modal,Pembayaran Dividen,Penempatan Kas Di Bank Yang Dibatasi Penggunaannya,Pembayaran Beban Keuangan,Pembayaran Kepada Pemegang Saham-Neto,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2010,74405492.000000,263881374.000000,-155291131.000000,-10670692.000000,-15146929.000000,-2356560.000000,-6118501.000000,,,,,,-230451.000000,338382.000000,,74405492.000000,-28915051.000000,-11216110.000000,-5139089.000000,,,,,,,,,,-12511466.000000,,,,,,,,,,,,-48386.000000,-28915051.000000,-33527387.000000,,,,-1412249.000000,-36485066.000000,2103611.000000,-2127660.000000,,,282918.000000,,,,,,3692486.000000,,14392342.000000,,,,-13973769.000000,-33527387.000000,11963054.000000,8363520.000000,402732.000000,20729306.000000
12M 2011,149672069.000000,510368956.000000,-288522407.000000,-16737794.000000,-32396679.000000,12356560.000000,-35485539.000000,,,,,,-717732.000000,806704.000000,,149672069.000000,-22156344.000000,-11767585.000000,-9969878.000000,,,,,,,,,,-413379.000000,,,,,,,,,,,,-5502.000000,-22156344.000000,-89940028.000000,,,,-1219555.000000,-59298470.000000,6117198.000000,-294748.000000,,-41503973.000000,35000000.000000,,,,,,,,,-9000000.000000,,,-19740480.000000,-89940028.000000,37575697.000000,20729306.000000,268267.000000,58573270.000000
12M 2012,-31918169.000000,379835592.000000,-319394450.000000,-16321631.000000,-21783016.000000,,-52239078.000000,,,,,,-2745812.000000,730226.000000,,-31918169.000000,-127257738.000000,-7957861.000000,-7456569.000000,,16278.000000,,,,-1146670.000000,,-14209210.000000,,,,,,,,,,,,-96503706.000000,,,-127257738.000000,137955773.000000,,,,-965849.000000,-8735698.000000,,-10346783.000000,,,24616339.000000,,,,38197764.000000,,,,104690000.000000,-9500000.000000,,,,137955773.000000,-21220134.000000,58573270.000000,-1046125.000000,36307011.000000
12M 2013,63868001.000000,434545061.000000,-324210355.000000,-21685644.000000,-22492790.000000,,-8877623.000000,7170260.000000,,,560575.000000,,-2572076.000000,1430593.000000,,63868001.000000,-2904776.000000,-6124874.000000,-12168145.000000,,177837.000000,,,,,,,-434.000000,1725384.000000,,,,,,,,,13485456.000000,,,,-2904776.000000,-28079483.000000,-21269536.000000,,-15190145.000000,-1608435.000000,,,,,,14654612.000000,,,,,,,,,-4665979.000000,,,,-28079483.000000,32883742.000000,36307011.000000,-5889114.000000,63301639.000000
12M 2014,18897029.000000,493671367.000000,-413032874.000000,-16495672.000000,-28290450.000000,,-18664740.000000,3871257.000000,,,,,-3475801.000000,1313942.000000,,18897029.000000,-13122972.000000,-6552399.000000,-5205264.000000,-3691403.000000,326094.000000,,,,,,,,2000000.000000,,,,,,,,,,,,,-13122972.000000,-21077976.000000,-8496673.000000,,-10780267.000000,-1292161.000000,,,,,,8981363.000000,,,,,,,,,-9490238.000000,,,,-21077976.000000,-15303919.000000,63301639.000000,-158933.000000,47838787.000000
12M 2015,19732229.000000,336794017.000000,-261294894.000000,-18845820.000000,-17133933.000000,,-17761787.000000,,,,,,-2507438.000000,482084.000000,,19732229.000000,-10018753.000000,-1673853.000000,-6301865.000000,-4090499.000000,188451.000000,,,,,,,,1859013.000000,,,,,,,,,,,,,-10018753.000000,-11901199.000000,,,-13230000.000000,-1150737.000000,,,,,,5600622.000000,,,,,,,,,-3121084.000000,,,,-11901199.000000,-2187723.000000,47838787.000000,-107273.000000,45543791.000000
12M 2016,30998360.000000,272706589.000000,-192947448.000000,-17935766.000000,-14519450.000000,,-13063429.000000,,,,,,-3529278.000000,287142.000000,,30998360.000000,-11031454.000000,-4053159.000000,-3109731.000000,-4816087.000000,110959.000000,,,,,,,,836564.000000,,,,,,,,,,,,,-11031454.000000,-28011927.000000,,,-13443150.000000,-988867.000000,,,-15500000.000000,,,1642092.000000,,,1228000.000000,,8029.000000,,,80000.000000,-1038031.000000,,,,-28011927.000000,-8045021.000000,45543791.000000,120744.000000,37619514.000000
12M 2017,19687427.000000,291270816.000000,-177448972.000000,-20236404.000000,-18066821.000000,,-13198613.000000,,-38602045.000000,,,,-4253941.000000,223407.000000,,19687427.000000,-28236790.000000,-5733288.000000,-6143253.000000,-310628.000000,286642.000000,,,,,,,,416006.000000,,-16752269.000000,,,,,,,,,,,-28236790.000000,29071275.000000,,,-21560000.000000,-301273.000000,-288000.000000,,-31533333.000000,,,78233306.000000,,,5475816.000000,,,,,,-955241.000000,,,,29071275.000000,20521912.000000,37619514.000000,-194221.000000,57947205.000000
12M 2018,38225065.000000,391993607.000000,-262648214.000000,-23051661.000000,-18980145.000000,,-27084635.000000,,-16311502.000000,2256276.000000,,,-8441953.000000,493292.000000,,38225065.000000,-70955005.000000,-7825581.000000,-3396691.000000,-166656.000000,221820.000000,,,,,,,,,,-8073243.000000,-51714654.000000,,,,,,,,,,-70955005.000000,32945898.000000,,,-27930000.000000,-72867.000000,9451798.000000,,-57633333.000000,,,114586116.000000,,,-5455816.000000,,,,,,,,,,32945898.000000,215958.000000,57947205.000000,-773854.000000,57389309.000000
12M 2019,-127099479.000000,317577106.000000,-255152342.000000,-22587860.000000,-13280811.000000,,-17596307.000000,,-125137995.000000,132525.000000,,,-11886780.000000,832985.000000,,-127099479.000000,6922420.000000,-6537532.000000,-2027642.000000,-580796.000000,154919.000000,,,,,12212520.000000,,,,,3700951.000000,,,,,,,,,,,6922420.000000,83766778.000000,,,-8575000.000000,-37175.000000,-9320248.000000,,-21583333.000000,,,119800564.000000,,,,,,,3481970.000000,,,,,,83766778.000000,-36410281.000000,57389309.000000,-63203.000000,20915825.000000
