Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Utang Bank Jangka Pendek,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain-Lain,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2010,,,358429.000000,,4988807.000000,,,4988807.000000,2718351.000000,443718.000000,2274633.000000,2718351.000000,,604530.000000,8670117.000000,,38575243.000000,22111.000000,38597354.000000,47267471.000000,,,17282081.000000,6295056.000000,,,6295056.000000,,118829.000000,904238.000000,1023067.000000,269404.000000,81122.000000,1099032.000000,,8447038.000000,67362.000000,,8514400.000000,,17282081.000000,16674386.000000,,16480359.000000,98300.000000,,16578659.000000,,95727.000000,16674386.000000,33956467.000000,,546508.000000,,12764496.000000,,,12764496.000000,,,13311004.000000,47267471.000000,2633300000.000000
12M 2011,,,6085465.000000,,7714663.000000,,,7714663.000000,1950802.000000,293065.000000,1657737.000000,1950802.000000,,799970.000000,16550900.000000,,44101627.000000,35665.000000,44137292.000000,60688192.000000,,,18340098.000000,5119633.000000,,,5119633.000000,,320000.000000,,320000.000000,299672.000000,419477.000000,3126376.000000,,8987578.000000,67362.000000,,9054940.000000,,18340098.000000,19879634.000000,,19695738.000000,30103.000000,,19725841.000000,,153793.000000,19879634.000000,38219732.000000,,546508.000000,,21921952.000000,,,21921952.000000,,,22468460.000000,60688192.000000,2633300000.000000
12M 2012,,,3313734.000000,,10635747.000000,,,10635747.000000,5329.000000,5329.000000,,5329.000000,,638195.000000,14593005.000000,,49333675.000000,14700854.000000,64034529.000000,78627534.000000,,,20678125.000000,4395174.000000,,,4395174.000000,,289810.000000,,289810.000000,238701.000000,154949.000000,5440714.000000,,10130548.000000,28229.000000,,10158777.000000,,20678125.000000,21970187.000000,,21702745.000000,,,21702745.000000,,267442.000000,21970187.000000,42648312.000000,,24231633.000000,,11747589.000000,,,11747589.000000,,,35979222.000000,78627534.000000,2633300000.000000
12M 2013,,,4090544.000000,,11413609.000000,11413609.000000,,11413609.000000,246308.000000,246308.000000,,246308.000000,110440.000000,689539.000000,16550440.000000,,103617640.000000,9230165.000000,112847805.000000,129398245.000000,,,31951625.000000,5058052.000000,,,5058052.000000,,119757.000000,,119757.000000,228646.000000,224152.000000,9615235.000000,,16705783.000000,,,16705783.000000,,31951625.000000,44458626.000000,,44115902.000000,,,44115902.000000,,342724.000000,44458626.000000,76410251.000000,,28298347.000000,4926287.000000,19763360.000000,167166.000000,19596194.000000,19763360.000000,,,52987994.000000,129398245.000000,2633300000.000000
12M 2014,,,1234323.000000,,11457138.000000,11457138.000000,,11457138.000000,57848.000000,57848.000000,,57848.000000,630437.000000,667281.000000,14047027.000000,,113954667.000000,8104032.000000,122058699.000000,136105726.000000,,,34023519.000000,4702129.000000,,,4702129.000000,,45257.000000,,45257.000000,70555.000000,254622.000000,10475981.000000,,18474975.000000,,,18474975.000000,,34023519.000000,39474846.000000,,38994505.000000,,,38994505.000000,,480341.000000,39474846.000000,73498365.000000,,28298347.000000,4926287.000000,29346556.000000,183166.000000,29163390.000000,29346556.000000,36171.000000,,62607361.000000,136105726.000000,2633300000.000000
12M 2015,,,1620112.000000,,13763008.000000,13763008.000000,,13763008.000000,129991.000000,129991.000000,,129991.000000,556575.000000,620709.000000,16690395.000000,,112240376.000000,2132307.000000,114372683.000000,131063078.000000,,,32260889.000000,5324034.000000,,,5324034.000000,,1123900.000000,,1123900.000000,62156.000000,1064009.000000,18033216.000000,,6653574.000000,,,6653574.000000,,32260889.000000,34074335.000000,,33659230.000000,,,33659230.000000,,415105.000000,34074335.000000,66335224.000000,,28298347.000000,4926287.000000,31487634.000000,207166.000000,31280468.000000,31487634.000000,15586.000000,,64727854.000000,131063078.000000,2633300000.000000
12M 2016,,,2648509.000000,,10450600.000000,10450600.000000,,10450600.000000,361932.000000,361932.000000,,361932.000000,572310.000000,346478.000000,14379829.000000,,106366714.000000,468522.000000,106835236.000000,121215065.000000,,,28420789.000000,4562192.000000,,,4562192.000000,,25868.000000,,25868.000000,185079.000000,682500.000000,15393127.000000,,7572023.000000,,,7572023.000000,,28420789.000000,26555603.000000,,25991902.000000,,,25991902.000000,,563701.000000,26555603.000000,54976392.000000,,28298347.000000,4926287.000000,33020418.000000,211266.000000,32809152.000000,33020418.000000,-6379.000000,,66238673.000000,121215065.000000,2633300000.000000
12M 2017,,,3675992.000000,,9563354.000000,9563354.000000,,9563354.000000,201793.000000,201793.000000,,201793.000000,411757.000000,349382.000000,14202278.000000,,99054083.000000,1765640.000000,100819723.000000,115022001.000000,,,23958307.000000,4474642.000000,,,4474642.000000,,24059.000000,,24059.000000,290174.000000,788981.000000,10570296.000000,,7810155.000000,,,7810155.000000,,23958307.000000,20863995.000000,,19967541.000000,,,19967541.000000,,896454.000000,20863995.000000,44822302.000000,,28298347.000000,4926287.000000,37003304.000000,214366.000000,36788938.000000,37003304.000000,-28239.000000,,70199699.000000,115022001.000000,2633300000.000000
12M 2018,,,4628282.000000,,11754950.000000,11754950.000000,,11754950.000000,289621.000000,289621.000000,,289621.000000,472044.000000,609396.000000,17754293.000000,,92466285.000000,1256976.000000,93723261.000000,111477554.000000,,,24013599.000000,5341499.000000,,,5341499.000000,,1334.000000,,1334.000000,274828.000000,939746.000000,8764770.000000,,8691422.000000,,,8691422.000000,,24013599.000000,11829410.000000,,10917802.000000,,,10917802.000000,,911608.000000,11829410.000000,35843009.000000,,28298347.000000,4926287.000000,42486813.000000,223866.000000,42262947.000000,42486813.000000,,-76902.000000,75634545.000000,111477554.000000,2633300000.000000
12M 2019,,,4693698.000000,36028.000000,12975392.000000,12508615.000000,466777.000000,12975392.000000,185313.000000,185313.000000,,185313.000000,415014.000000,706028.000000,19011473.000000,,91235913.000000,1388398.000000,92624311.000000,111635784.000000,,,22569296.000000,5595109.000000,,,5595109.000000,,94.000000,,94.000000,273167.000000,1265918.000000,8231339.000000,,7203669.000000,,,7203669.000000,,22569296.000000,10007655.000000,,8954346.000000,,,8954346.000000,,1053309.000000,10007655.000000,32576951.000000,,28298347.000000,4926287.000000,45911101.000000,239866.000000,45671235.000000,45911101.000000,,-76902.000000,79058833.000000,111635784.000000,2633300000.000000
