Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok Dan Karyawan,Penerimaan Dari Pendapatan Bunga,Pembayaran Bunga,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penjualan Aset Tetap,Perolehan Aset Tetap,Pembayaran Uang Muka Pembelian Aset Tetap,Pembayaran Utang Pembelian Aset Tetap,Penerimaan Bunga,Investasi Pada Agate,Investasi Jangka Pendek,Pembayaran Uang Jaminan,Investasi Pada Kombinasi Bisnis,Pengembalian Uang Muka Pemugaran Kapal,Pencairan Aset Keuangan Tidak Lancar Lainnya,Penambahan Aset Keuangan Tidak Lancar Lainnya,Penerimaan Kepemilikan Entitas Anak,Investasi Pada Perusahaan Asosiasi,Penerimaan Dividen Dari Entitas Asosiasi,Pembayaran Uang Muka Dan Obligasi Konversi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Kepada Pihak Berelasi,Perolehan Pinjaman,Utang Bank,Utang Lain-Lain,Utang Sewa Pembiayaan,Pinjaman Jangka Pendek Lainnya,Utang Pembiayaan Konsumen,Total Perolehan Pinjaman,Pembayaran Pinjaman Jangka Panjang :,Utang Bank,Pinjaman,Utang Lain-Lain,Liabilitas Keuangan Lain,Utang Trasnsaksi Syariah,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Total Pembayaran Pinjaman Jangka Panjang :,Penerimaan (Pembayaran) Utang Bank Dan Lembaga Keuangan Lainnya,Pencairan (Penempatan) Dana Yang Dibatasi Penggunaannya,Pembayaran Utang Bank Jangka Pendek,Pembayaran Investasi Jangka Pendek,Kewajiban Jangka Panjang,Pengembalian Piutang Lain-Lain,Penerimaan Piutang Afiliasi,Agio Saham,Pembayaran Dividen,Biaya Emisi Saham,Penerbitan Saham Put I,Pelaksanaan Waran Seri I,Penerbitan Waran Seri Ii,Penerbitan Medium Terms Notes,Penerimaan Dari Jaminan Tender Dan Lainnya,Penerimaan Dari Penawaran Umum Perdana,Penambahan Modal Ditempatkan Dan Disetor,Penerimaan Dari Tambahan Penerbitan Saham Di Entitas Anak Oleh Pihak Nonpengendali,Penerimaan (Pembayaran) Pinjaman Jangka Panjang,Penerimaan Dari Penjualan Investasi Perusahaan Di Entitas Anak Kepada Pihak Nonpengendali,Penambahan Modal Ditempatkan Dan Disetor Pemegang Saham Minoritas Anak Perusahaan,Penerimaan Pembayaran Piutang Entitas Anak Yang Didekonsolidasi,Pembayaran Bunga,Peneriman Bunga,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Entitas Anak Yang Didekonsolidasi,Kas Dan Setara Kas Akhir Periode
12M 2008,6680809746.000000,237351030969.000000,-199484025350.000000,,-22361678321.000000,-8824517552.000000,6680809746.000000,-628001292369.000000,,-196767621075.000000,,,1921152971.000000,,,,,,-433154824265.000000,,,,,,-628001292369.000000,612225183886.000000,-53957961929.000000,,,,,,,,,-83090107904.000000,,,,,,-58255796919.000000,-141345904823.000000,,,,,,,,,-82500000000.000000,,,,,,,500000000000.000000,397500000000.000000,,,,-7470949362.000000,,,,,612225183886.000000,4234262204.000000,-4861036533.000000,38230852270.000000,,33369815737.000000
12M 2009,54171982975.000000,340221335260.000000,-253571176278.000000,,-24082151026.000000,-8396024981.000000,54171982975.000000,63204015725.000000,26000000000.000000,-3904726931.000000,,,1611742656.000000,,,,,,39497000000.000000,,,,,,63204015725.000000,-67282503621.000000,40206424682.000000,,,,,,,,,-84452931223.000000,,-55520473696.000000,,,,-6056271509.000000,-146029676428.000000,,,,,,,,,-17463605000.000000,,,,,,,,445213125.000000,,,,55559140000.000000,,,,,-67282503621.000000,-2951449550.000000,47142045529.000000,33369815737.000000,,80511861266.000000
12M 2010,126783594143.000000,369914984980.000000,-212947734091.000000,,-22590786342.000000,-7592870404.000000,126783594143.000000,-191764892544.000000,169000000.000000,-622408720860.000000,,,8318526946.000000,,,,,,422156301370.000000,,,,,,-191764892544.000000,411368271986.000000,3132591543.000000,,565851004423.000000,,,,,565851004423.000000,,-104870215255.000000,,-17292434293.000000,,,,,-122162649548.000000,,,,,,,,,-39952367557.000000,,,,,,,,1882693125.000000,,,,2617000000.000000,,,,,411368271986.000000,-778801849.000000,345608171736.000000,80511861266.000000,,426120033002.000000
12M 2011,203397819330.000000,532284895841.000000,-268256899943.000000,,-51749320122.000000,-8880856446.000000,203397819330.000000,-819271690272.000000,28361350862.000000,-554606295000.000000,,,1981313116.000000,,,,,,,,,,3882120000.000000,-298890179250.000000,-819271690272.000000,253401875473.000000,-12531599.000000,,496917000000.000000,,,,,496917000000.000000,,-317062335589.000000,,-16923066166.000000,,,,,-333985401755.000000,,,,,,,,,-42369920633.000000,,,,,,,,132650729460.000000,,,,202000000.000000,,,,,253401875473.000000,516032041.000000,-361955963428.000000,426120033002.000000,,64164069574.000000
12M 2012,18177468.000000,57456817.000000,-31417915.000000,41730.000000,-6993522.000000,-909642.000000,18177468.000000,-45528623.000000,1110724.000000,-53376245.000000,,,,,,,,4064483.000000,3673316.000000,-1000901.000000,,,,,-45528623.000000,31375989.000000,,,24287500.000000,11906447.000000,,19744793.000000,,55938740.000000,,-30142377.000000,,-4984329.000000,,2750000.000000,,-140738.000000,-32517444.000000,,,-1719138.000000,,,,,,-108.000000,,,,,,8629163.000000,,,911768.000000,,133008.000000,,,,,,31375989.000000,980822.000000,5005656.000000,7075878.000000,,12081534.000000
12M 2013,15793611.000000,63477167.000000,-35730567.000000,29127.000000,-11003045.000000,-979071.000000,15793611.000000,-17616222.000000,22439.000000,-17638661.000000,,,,,,,,,,,,,,,-17616222.000000,5088357.000000,,,22325453.000000,,,10504385.000000,,32829838.000000,,-20544041.000000,,-4776195.000000,,-393409.000000,-391977.000000,-43572.000000,-26149194.000000,,,-17759973.000000,,,,,,,,,,,,,,,,,,,16167686.000000,,,,5088357.000000,858680.000000,4124426.000000,12081534.000000,-1982.000000,16203978.000000
12M 2014,16377588.000000,58947071.000000,-32085245.000000,9378.000000,-9340793.000000,-1152823.000000,16377588.000000,-29082905.000000,32288.000000,-27885193.000000,-1230000.000000,,,,,,,,,,,,,,-29082905.000000,2920981.000000,,,,21900000.000000,,10463709.000000,,32363709.000000,,-16059031.000000,,-6296763.000000,,-517279.000000,-609855.000000,-20126.000000,-23503054.000000,,,-5939674.000000,,,,,,,,,,,,,,,,,,,,,,,2920981.000000,1466399.000000,-8317937.000000,16203978.000000,-11056.000000,7874985.000000
12M 2015,6126261.000000,35536738.000000,-18122763.000000,7848.000000,-730224.000000,-10565338.000000,6126261.000000,2392852.000000,3637625.000000,-1244773.000000,,,,,,,,,,,,,,,2392852.000000,-4049261.000000,,,,,,,,,,,,-2738204.000000,,-571445.000000,-338238.000000,-1375.000000,-3649262.000000,,,-399999.000000,,,,,,,,,,,,,,,,,,,,,,,-4049261.000000,768425.000000,5238277.000000,7874985.000000,,13113262.000000
12M 2016,10617199.000000,28180699.000000,-9815340.000000,16291.000000,-7281951.000000,-482500.000000,10617199.000000,-1880878.000000,2665091.000000,-4545969.000000,,,,,,,,,,,,,,,-1880878.000000,-13085568.000000,,,,,,,,,,,,-9472157.000000,,-434894.000000,-87560.000000,-9824.000000,-10004435.000000,,,-3081133.000000,,,,,,,,,,,,,,,,,,,,,,,-13085568.000000,-217154.000000,-4566401.000000,13113262.000000,,8546861.000000
12M 2017,325904.000000,44382599.000000,-37251892.000000,209563.000000,-6779414.000000,-234952.000000,325904.000000,-269541358.000000,3150000.000000,-2969033.000000,,,,,,,-271958311.000000,,,,2235986.000000,,,,-269541358.000000,514966035.000000,-51650974.000000,,231679177.000000,,,,,231679177.000000,,-6389633.000000,,-96309880.000000,-29456000.000000,,-253242.000000,-15920.000000,-132424675.000000,,,-2664641.000000,,,,,,,,440539538.000000,,,29487610.000000,,,,,,,,,,,,514966035.000000,2364952.000000,248115533.000000,9238103.000000,-1036670.000000,256316966.000000
