Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Adjustment,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Penyesuaian Proforma,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Penyesuaian Proforma,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Penyesuaian Proforma,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,5340320196756.000000,-4901281004866.000000,439039191890.000000,-232561201852.000000,,,,,-232561201852.000000,206477990038.000000,-58575651232.000000,2464804373.000000,-58197389287.000000,,-3451764510.000000,,,608698192.000000,-58575651232.000000,147902338806.000000,-45320224512.000000,,,-45320224512.000000,102582114294.000000,,,102582114294.000000,,,,,102582114294.000000,102582114294.000000,,,102582114294.000000,,,,,
12M 2009,5452339391412.000000,-4899063561815.000000,553275829597.000000,-294449351682.000000,,,,,-294449351682.000000,258826477915.000000,-94685744723.000000,3630126274.000000,-97175273149.000000,,-19970194554.000000,,,18829596706.000000,-94685744723.000000,164140733192.000000,-46452882152.000000,,,-46452882152.000000,117687851040.000000,,10.000000,117687851050.000000,,,,,117687851050.000000,117687851040.000000,,10.000000,117687851050.000000,,,,,
12M 2010,5510904406972.000000,-4801826127184.000000,709078279788.000000,-298895242322.000000,,,,,-298895242322.000000,410183037466.000000,-130207383044.000000,1716108738.000000,-107791465448.000000,2750755859.000000,-8596326689.000000,-364371442.000000,,-17922084062.000000,-130207383044.000000,279975654422.000000,-75586794294.000000,,,-75586794294.000000,204388860128.000000,,-20819.000000,204388839309.000000,,,,,204388839309.000000,204388860128.000000,,-20819.000000,204388839309.000000,,,,,
12M 2011,7106893361439.000000,-6142511178228.000000,964382183211.000000,-379841321331.000000,-161289980306.000000,-219504149918.000000,,952808893.000000,-379841321331.000000,584540861880.000000,-166318460964.000000,1116255390.000000,-169334727098.000000,1900010744.000000,,,,,-166318460964.000000,418222400916.000000,-115213659394.000000,,,-115213659394.000000,303008741522.000000,,,303008741522.000000,1340228969.000000,,1340228969.000000,304348970491.000000,303008741522.000000,303008727022.000000,,14500.000000,303008741522.000000,304348970491.000000,304348955991.000000,,14500.000000,304348970491.000000
12M 2012,9587861869246.000000,-8238551783598.000000,1349310085648.000000,-522223303638.000000,-323461935421.000000,-332898361231.000000,,134136993014.000000,-522223303638.000000,827086782010.000000,-228004643545.000000,1154695184.000000,-230701195935.000000,1541857206.000000,,,,,-228004643545.000000,599082138465.000000,-156936151689.000000,,,-156936151689.000000,442145986776.000000,-60194778441.000000,,381951208335.000000,3251671587.000000,,3251671587.000000,385202879922.000000,381951208335.000000,427467218907.000000,-60194778441.000000,14678767869.000000,381951208335.000000,385202879922.000000,430718890494.000000,-60194778441.000000,14678767869.000000,385202879922.000000
12M 2013,10366731922670.000000,-8905602416653.000000,1461129506017.000000,-435833692005.000000,-358885538013.000000,-436445786387.000000,,359497632395.000000,-435833692005.000000,1025295814012.000000,-352089384827.000000,1665003331.000000,-353757983350.000000,3595192.000000,,,,,-352089384827.000000,673206429185.000000,-173254355855.000000,,,-173254355855.000000,499952073330.000000,,,499952073330.000000,12459032611.000000,,12459032611.000000,512411105941.000000,499952073330.000000,478832632643.000000,,21119440687.000000,499952073330.000000,512411105941.000000,491291665254.000000,,21119440687.000000,512411105941.000000
12M 2014,10778295168802.000000,-9206646183465.000000,1571648985337.000000,-490117841603.000000,-538939331217.000000,-294788286124.000000,,343609775738.000000,-490117841603.000000,1081531143734.000000,-645085282292.000000,1387069280.000000,-649233599082.000000,2761247510.000000,,,,,-645085282292.000000,436445861442.000000,-113883413683.000000,,,-113883413683.000000,322562447759.000000,,,322562447759.000000,8877018094.000000,,8877018094.000000,331439465853.000000,322562447759.000000,314409293641.000000,,8153154118.000000,322562447759.000000,331439465853.000000,323253601061.000000,,8185864792.000000,331439465853.000000
12M 2015,6459566448950.000000,-6286994278022.000000,172572170928.000000,-8398192566089.000000,-365690909473.000000,-8412035010212.000000,,379533353596.000000,-8398192566089.000000,-8225620395161.000000,-605353780937.000000,335543386.000000,-607799856637.000000,2110532314.000000,,,,,-605353780937.000000,-8830974176098.000000,61161262734.000000,,,61161262734.000000,-8769812913364.000000,,,-8769812913364.000000,13571392084.000000,,13571392084.000000,-8756241521280.000000,-8769812913364.000000,-8652946332758.000000,,-116866580606.000000,-8769812913364.000000,-8756241521280.000000,-8639476369797.000000,,-116765151483.000000,-8756241521280.000000
12M 2016,1717579307635.000000,-1622076060220.000000,95503247415.000000,-488140924804.000000,-150981884924.000000,-309118004060.000000,,-28041035820.000000,-488140924804.000000,-392637677389.000000,-42083351298.000000,920156439.000000,-42694241247.000000,-309266490.000000,,,,,-42083351298.000000,-434721028687.000000,-70270983522.000000,,,-70270983522.000000,-504992012209.000000,,,-504992012209.000000,-1083134677.000000,,-1083134677.000000,-506075146886.000000,-504992012209.000000,-492764818140.000000,,-12227194069.000000,-504992012209.000000,-506075146886.000000,-493876556947.000000,,-12198589939.000000,-506075146886.000000
12M 2017,2028659770454.000000,-1870691736832.000000,157968033622.000000,-240185158847.000000,-117380082691.000000,-116515482363.000000,,-6289593793.000000,-240185158847.000000,-82217125225.000000,-42598745204.000000,232661663.000000,-42558859706.000000,-272547161.000000,,,,,-42598745204.000000,-124815870429.000000,-65124325143.000000,,,-65124325143.000000,-189940195572.000000,,,-189940195572.000000,812407657.000000,,812407657.000000,-189127787915.000000,-189940195572.000000,-188424591526.000000,,-1515604046.000000,-189940195572.000000,-189127787915.000000,-187623165076.000000,,-1504622839.000000,-189127787915.000000
12M 2018,1671866232277.000000,-1554326609879.000000,117539622398.000000,-178744315927.000000,-85626286055.000000,-83781183836.000000,,-9336846036.000000,-178744315927.000000,-61204693529.000000,48931294485.000000,73045726.000000,-40784634039.000000,267780391.000000,,89375102407.000000,,,48931294485.000000,-12273399044.000000,-4815575834.000000,,,-4815575834.000000,-17088974878.000000,,,-17088974878.000000,438461992.000000,,438461992.000000,-16650512886.000000,-17088974878.000000,-14883511843.000000,,-2205463035.000000,-17088974878.000000,-16650512886.000000,-14455871699.000000,,-2194641187.000000,-16650512886.000000
12M 2019,966725371267.000000,-884758345496.000000,81967025771.000000,-117185891192.000000,-72751858506.000000,-44434032686.000000,,,-117185891192.000000,-35218865421.000000,-66768096409.000000,54836370.000000,-101730207812.000000,,,,,34907275033.000000,-66768096409.000000,-101986961830.000000,-5739925746.000000,,,-5739925746.000000,-107726887576.000000,,,-107726887576.000000,-7392697558.000000,,-7392697558.000000,-115119585134.000000,-107726887576.000000,-103629967403.000000,,-4096920173.000000,-107726887576.000000,-115119585134.000000,-111029438382.000000,,-4090146752.000000,-115119585134.000000
12M 2020,494469692213.000000,-466581209560.000000,27888482653.000000,-85684081626.000000,-40872079215.000000,-44812002411.000000,,,-85684081626.000000,-57795598973.000000,-220127960706.000000,170513157.000000,-225028362340.000000,,,,,4729888477.000000,-220127960706.000000,-277923559679.000000,1327022242.000000,,,1327022242.000000,-276596537437.000000,,,-276596537437.000000,3931134628.000000,,3931134628.000000,-272665402809.000000,-276596537437.000000,-272133998746.000000,,-4462538691.000000,-276596537437.000000,-272665402809.000000,-268202864017.000000,,-4462538792.000000,-272665402809.000000
12M 2021,475954529475.000000,-425864217897.000000,50090311578.000000,-73685341002.000000,-45121129063.000000,-28564211939.000000,,,-73685341002.000000,-23595029424.000000,-130338438637.000000,241446062.000000,-145650164174.000000,,,,,15070279475.000000,-130338438637.000000,-153933468061.000000,-714174900.000000,,,-714174900.000000,-154647642961.000000,,,-154647642961.000000,3326294864.000000,,3326294864.000000,-151321348097.000000,-154647642961.000000,-148591448740.000000,,-6056194221.000000,-154647642961.000000,-151321348097.000000,-145265154362.000000,,-6056193735.000000,-151321348097.000000
12M 2022,596059531152.000000,-542520930582.000000,53538600570.000000,-73562672676.000000,-36784088653.000000,-36778584023.000000,,,-73562672676.000000,-20024072106.000000,449316026790.000000,220515046.000000,-100209763619.000000,,,,,549305275363.000000,449316026790.000000,429291954684.000000,-24462959863.000000,-24207239203.000000,-255720660.000000,-24462959863.000000,404828994821.000000,,,404828994821.000000,1810070517.000000,1810070517.000000,1810070517.000000,406639065338.000000,404828994821.000000,411994700951.000000,,-7165706130.000000,404828994821.000000,406639065338.000000,413804769970.000000,,-7165704632.000000,406639065338.000000
12M 2023,754649493117.000000,-692112013532.000000,62537479585.000000,-82676951155.000000,-47222243073.000000,-35454708082.000000,,,-82676951155.000000,-20139471570.000000,-99948989071.000000,172444498.000000,-115796915006.000000,,,,,15675481437.000000,-99948989071.000000,-120088460641.000000,-1040331909.000000,-1416020980.000000,375689071.000000,-1040331909.000000,-121128792550.000000,,,-121128792550.000000,328008216.000000,328008216.000000,328008216.000000,-120800784334.000000,-121128792550.000000,-112669410297.000000,,-8459382253.000000,-121128792550.000000,-120800784334.000000,-112341402081.000000,,-8459382253.000000,-120800784334.000000
12M 2024,836123346281.000000,-771784290051.000000,64339056230.000000,-88559232918.000000,-44036504324.000000,-44522728594.000000,,,-88559232918.000000,-24220176688.000000,-104462102423.000000,73544939.000000,-130219017645.000000,,,,,25683370283.000000,-104462102423.000000,-128682279111.000000,-2460804974.000000,-1706684410.000000,-754120564.000000,-2460804974.000000,-131143084085.000000,,,-131143084085.000000,-40753776.000000,-40753776.000000,-40753776.000000,-131183837861.000000,-131143084085.000000,-121790976955.000000,,-9352107130.000000,-131143084085.000000,-131183837861.000000,-121831730731.000000,,-9352107130.000000,-131183837861.000000
