Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Beban Keuangan,Pendapatan Komisi,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Penyesuaian Proforma,Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Penyesuaian Proforma,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2011,470116723006.000000,-367696725183.000000,102419997823.000000,-62862691790.000000,-19808019079.000000,-43054672711.000000,,-62862691790.000000,39557306033.000000,-2730188960.000000,,-1774949100.000000,199279638.000000,-3889971783.000000,,,2735452285.000000,-2730188960.000000,36827117073.000000,-9196405218.000000,,,-9196405218.000000,27630711855.000000,-11475650639.000000,,16155061216.000000,,,,,16155061216.000000,27630711855.000000,17686537484.000000,9944174371.000000,27630711855.000000,16155061216.000000,6210886845.000000,9944174371.000000,16155061216.000000
12M 2012,558886515975.000000,-412481896963.000000,146404619012.000000,-87559236972.000000,-35767230444.000000,-51792006528.000000,,-87559236972.000000,58845382040.000000,887734440.000000,,-690235399.000000,1144364902.000000,-4037047268.000000,,,4470652205.000000,887734440.000000,59733116480.000000,-15340081922.000000,,,-15340081922.000000,44393034558.000000,-6505834133.000000,,37887200425.000000,,,,,37887200425.000000,44393034558.000000,30221366171.000000,14171668387.000000,44393034558.000000,37887200425.000000,23715532038.000000,14171668387.000000,37887200425.000000
12M 2013,670290947164.000000,-493433736998.000000,176857210166.000000,-118972651645.000000,-60385641487.000000,-58587010158.000000,,-118972651645.000000,57884558521.000000,6175832563.000000,,,1238116115.000000,-4181245416.000000,,,9118961864.000000,6175832563.000000,64060391084.000000,-15865153616.000000,-15981441307.000000,116287691.000000,-15865153616.000000,48195237468.000000,,,48195237468.000000,,,,,48195237468.000000,48195237468.000000,32172591195.000000,16022646273.000000,48195237468.000000,48195237468.000000,32172591195.000000,16022646273.000000,48195237468.000000
12M 2014,746828922732.000000,-557964669059.000000,188864253673.000000,-136278181095.000000,-75811159193.000000,-60467021902.000000,,-136278181095.000000,52586072578.000000,-4914908765.000000,745773337.000000,-3061782850.000000,1051027979.000000,-8446264099.000000,,,4796336868.000000,-4914908765.000000,47671163813.000000,-11727008771.000000,-14648664609.000000,2921655838.000000,-11727008771.000000,35944155042.000000,-824429600.000000,,35119725442.000000,319339549.000000,,319339549.000000,319339549.000000,35439064991.000000,35119725443.000000,23602227791.000000,11517497652.000000,35119725443.000000,35439064992.000000,23873666407.000000,11565398585.000000,35439064992.000000
12M 2015,859743472895.000000,-639374267782.000000,220369205113.000000,-159940273449.000000,-85469696880.000000,-74470576569.000000,,-159940273449.000000,60428931664.000000,-10259576982.000000,1102811282.000000,-1782393890.000000,595736563.000000,-12431474856.000000,,,2255743919.000000,-10259576982.000000,50169354682.000000,-12720908918.000000,-15854872582.000000,3133963664.000000,-12720908918.000000,37448445764.000000,,,37448445764.000000,229782625.000000,,229782625.000000,229782625.000000,37678228389.000000,37448445764.000000,22520565235.000000,14927880529.000000,37448445764.000000,37678228389.000000,22448903913.000000,15229324476.000000,37678228389.000000
12M 2016,901909489240.000000,-686698421105.000000,215211068135.000000,-168380935806.000000,-79856323894.000000,-88524611912.000000,,-168380935806.000000,46830132329.000000,1117158928.000000,,672429436.000000,937310353.000000,-13048263875.000000,,,12555683014.000000,1117158928.000000,47947291257.000000,-22734275933.000000,,,-22734275933.000000,25213015324.000000,,-1021637915.000000,24191377409.000000,-2330803796.000000,,-2330803796.000000,-2330803796.000000,21860573613.000000,24191377409.000000,5584274136.000000,18607103273.000000,24191377409.000000,21860573613.000000,3767114556.000000,18093459057.000000,21860573613.000000
12M 2017,773806956330.000000,-592289133221.000000,181517823109.000000,-148109202029.000000,-73574257394.000000,-74534944635.000000,,-148109202029.000000,33408621080.000000,-11574633294.000000,-803253704.000000,1612494261.000000,856246353.000000,-12952044220.000000,,,-288075984.000000,-11574633294.000000,21833987786.000000,-7635098236.000000,-12580703842.000000,4945605606.000000,-7635098236.000000,14198889550.000000,,,14198889550.000000,5559465182.000000,,,5559465182.000000,19758354732.000000,14198889550.000000,1492723185.000000,12706166365.000000,14198889550.000000,19758354732.000000,5526714243.000000,14231640489.000000,19758354732.000000
12M 2018,860682351001.000000,-669828771279.000000,190853579722.000000,-149348082254.000000,-72856636031.000000,-76491446223.000000,,-149348082254.000000,41505497468.000000,-17199875766.000000,-223195378.000000,-1526995445.000000,277965640.000000,-14501107650.000000,,,-1226542933.000000,-17199875766.000000,24305621702.000000,-4640547008.000000,-12846117458.000000,8205570450.000000,-4640547008.000000,19665074694.000000,,,19665074694.000000,158758741.000000,,,158758741.000000,19823833435.000000,19665074694.000000,5921511385.000000,13743563309.000000,19665074694.000000,19823833435.000000,5465159755.000000,14358673680.000000,19823833435.000000
12M 2019,1478735205373.000000,-1130071667248.000000,348663538125.000000,-256695411865.000000,-133474660101.000000,-123220751764.000000,,-256695411865.000000,91968126260.000000,-28019625138.000000,250696412.000000,3220563880.000000,615047519.000000,-30496104865.000000,,,-1609828084.000000,-28019625138.000000,63948501122.000000,-22463824024.000000,-20525544869.000000,-1938279155.000000,-22463824024.000000,41484677098.000000,-18247778908.000000,,23236898190.000000,-4412904739.000000,,,-4412904739.000000,18823993451.000000,23236898190.000000,795749350.000000,22441148840.000000,23236898190.000000,18823993451.000000,-2442145277.000000,21266138728.000000,18823993451.000000
12M 2020,1141269765789.000000,-908604417353.000000,232665348436.000000,-199113056609.000000,-78590939061.000000,-119920694728.000000,-601422820.000000,-199113056609.000000,33552291827.000000,-21667931269.000000,756526874.000000,5537937937.000000,824093658.000000,-31486233620.000000,,,2699743882.000000,-21667931269.000000,11884360558.000000,-15871664396.000000,-9445564447.000000,-6426099949.000000,-15871664396.000000,-3987303838.000000,,,-3987303838.000000,2850525159.000000,,,2850525159.000000,-1136778679.000000,-3987303838.000000,-10611348796.000000,6624044958.000000,-3987303838.000000,-1136778679.000000,-8928213988.000000,7791435309.000000,-1136778679.000000
12M 2021,1098352842355.000000,-871202519599.000000,227150322756.000000,-183374446869.000000,-66711828596.000000,-116086613553.000000,-576004720.000000,-183374446869.000000,43775875887.000000,-10232935355.000000,612128235.000000,813167754.000000,375903653.000000,-20108927190.000000,1537417541.000000,,6537374652.000000,-10232935355.000000,33542940532.000000,-15518359355.000000,-8799526460.000000,-6718832895.000000,-15518359355.000000,18024581177.000000,,,18024581177.000000,225693970.000000,,,225693970.000000,18250275147.000000,18024581177.000000,4670650202.000000,13353930975.000000,18024581177.000000,18250275147.000000,4833606158.000000,13416668989.000000,18250275147.000000
12M 2022,1498011822265.000000,-1161335020516.000000,336676801749.000000,-229587217348.000000,-94476576284.000000,-134487298604.000000,-623342460.000000,-229587217348.000000,107089584401.000000,-15389329821.000000,251685021.000000,2385608164.000000,1296880423.000000,-18903672704.000000,1165984286.000000,,-1585815011.000000,-15389329821.000000,91700254580.000000,-27178745278.000000,-20578173237.000000,-6600572041.000000,-27178745278.000000,64521509302.000000,,,64521509302.000000,4254161373.000000,,,4254161373.000000,68775670675.000000,64521509302.000000,34161161367.000000,30360347935.000000,64521509302.000000,68775670675.000000,36897131795.000000,31878538880.000000,68775670675.000000
12M 2023,1472856196208.000000,-1110304707373.000000,362551488835.000000,-263160374904.000000,-106668053882.000000,-156088083562.000000,-404237460.000000,-263160374904.000000,99391113931.000000,-8338639439.000000,-386186793.000000,1022947589.000000,6623007886.000000,-17337731393.000000,3054893273.000000,,-1315570001.000000,-8338639439.000000,91052474492.000000,-22875696596.000000,-22644275360.000000,-231421236.000000,-22875696596.000000,68176777896.000000,,,68176777896.000000,-3362499039.000000,,,-3362499039.000000,64814278857.000000,68176777896.000000,38089375138.000000,30087402758.000000,68176777896.000000,64814278857.000000,35357629944.000000,29456648913.000000,64814278857.000000
12M 2024,1518058140222.000000,-1123634145438.000000,394423994784.000000,-275458711219.000000,-118178483274.000000,-156665859721.000000,-614368224.000000,-275458711219.000000,118965283565.000000,-8931404204.000000,810206087.000000,-868094674.000000,3836192067.000000,-17738339330.000000,35524324.000000,,4993107322.000000,-8931404204.000000,110033879361.000000,-27132119281.000000,-24215479578.000000,-2916639703.000000,-27132119281.000000,82901760080.000000,,,82901760080.000000,4352848788.000000,,,4352848788.000000,87254608868.000000,82901760080.000000,46767523372.000000,36134236708.000000,82901760080.000000,87254608868.000000,49584142236.000000,37670466632.000000,87254608868.000000
