Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Penerimaan Dari Penghasilan Bunga,Penerimaan Tagihan Pajak,Pembayaran Untuk Revaluasi Aset Tetap,Pembayaran Untuk Beban Keuangan,Pembayaran Untuk Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Penerimaan (Pembayaran) Investasi Pada Entitas Asosiasi,Penambahan Modal Disetor Dari Kepentingan Non Pengendali,Perolehan Deposito Berjangka,Investasi Pada Ventura Bersama,Pembayaran Untuk Perolehan Kepemilikan Pada Entitas Ventura Bersam,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Dividen,Penerimaan Dari Pinjaman Dari Pihak Ketiga,Pembayaran Dari Pinjaman Dari Pihak Ketiga,Penerimaan (Pembayaran) Pinjaman Bank Jangka Panjang,Penerimaan Pinjaman Bank Jangka Panjang,Penerimaan (Pembayaran) Utang Pinjaman - Bersih,Pembayaran Atas Pokok Liabilitas Sewa,Pembayaran Pinjaman Bank Jangka Pendek,(Pembayaran) Penerimaan Atas Utang Sewa Pembiayaan,Penerimaan (Pembayaran) Pinjaman Bank Jangka Pendek,Penerimaan Dari Jual Dan Sewa Balik,Setoran Modal Kepentingan Non-Pengendali Entitas Anak,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2015,135020261491.000000,2555951673655.000000,-2207347244099.000000,-138607184390.000000,93608393.000000,20427856930.000000,-26297020205.000000,-35722536659.000000,-33478892134.000000,135020261491.000000,-60264732416.000000,-47217915315.000000,-13455766021.000000,408948920.000000,,,,,,-60264732416.000000,-104596228870.000000,-13967383751.000000,,,-69995200046.000000,,,,,,-20633645073.000000,,,,-104596228870.000000,-29840699795.000000,102528695703.000000,1106488414.000000,73794484322.000000
12M 2016,239192778741.000000,2262422605117.000000,-1841041584926.000000,-137273633870.000000,86401180.000000,11816028847.000000,-387430899.000000,-35071753412.000000,-21357853296.000000,239192778741.000000,-158382533218.000000,-156738967545.000000,-1853095221.000000,209529548.000000,,,,,,-158382533218.000000,-107106282921.000000,-13977272752.000000,,,-77887372875.000000,,,,,35411391684.000000,-50653028978.000000,,,,-107106282921.000000,-26296037398.000000,73794484322.000000,6023763112.000000,53522210036.000000
12M 2017,229411066077.000000,2330986245251.000000,-1963189469576.000000,-150714121769.000000,72568981.000000,54161451191.000000,,-26902439989.000000,-15003168012.000000,229411066077.000000,-218227222843.000000,-151462627748.000000,-66955769650.000000,191174555.000000,,,,,,-218227222843.000000,-30037577174.000000,-13595812860.000000,,,-69862539313.000000,,,,,45203171514.000000,8217603485.000000,,,,-30037577174.000000,-18853733940.000000,53522210036.000000,364913690.000000,35033389786.000000
12M 2018,118453889096.000000,2585721667696.000000,-2263693928199.000000,-163630258713.000000,1669306206.000000,21571667167.000000,,-42855645873.000000,-20328919188.000000,118453889096.000000,-364755041941.000000,-166822532062.000000,-105359793702.000000,1579398508.000000,-86745386667.000000,,,-7406728018.000000,,-364755041941.000000,331108037819.000000,,,,103991120446.000000,,,,,-29819727377.000000,171332644750.000000,,85604000000.000000,,331108037819.000000,84806884974.000000,35033389786.000000,3848629950.000000,123688904710.000000
12M 2019,112801524233.000000,2533278278156.000000,-2203564025075.000000,-164022433688.000000,399133556.000000,13045766014.000000,,-47918477118.000000,-18416717612.000000,112801524233.000000,-168587269829.000000,-119421852465.000000,-38718257609.000000,2226000627.000000,,,,-12673160382.000000,,-168587269829.000000,-37126294272.000000,-14040000000.000000,100590039860.000000,,-83205834245.000000,,,,,-44186001228.000000,3715501341.000000,,,,-37126294272.000000,-92912039868.000000,123688904710.000000,-3013514633.000000,27763350209.000000
12M 2020,308651982567.000000,2974197266587.000000,-2434860114155.000000,-184285350797.000000,77695328.000000,19508922031.000000,,-56540747342.000000,-9445689085.000000,308651982567.000000,-128272245516.000000,-45404404711.000000,-87620329438.000000,421488633.000000,4331000000.000000,,,,,-128272245516.000000,-189055391057.000000,-14040000000.000000,15648234604.000000,-21283773641.000000,-71694848891.000000,,,-19125718549.000000,,,-78559284580.000000,,,,-189055391057.000000,-8675654006.000000,27763350209.000000,14271887230.000000,33359583433.000000
12M 2021,73192518985.000000,3460984290524.000000,-3117607156652.000000,-210344806592.000000,33324672.000000,18465163192.000000,,-52420266878.000000,-25918029281.000000,73192518985.000000,-211631384222.000000,-147691729157.000000,-55227618610.000000,1563963545.000000,-10276000000.000000,,,,,-211631384222.000000,144552940178.000000,-28080000000.000000,,-33377076299.000000,-77223497364.000000,,,-6688775337.000000,,,289922289178.000000,,,,144552940178.000000,6114074941.000000,33359583433.000000,371161844.000000,39844820218.000000
12M 2022,162263000000.000000,3938788000000.000000,-3459793000000.000000,-221436000000.000000,20000000.000000,18863000000.000000,,-56298000000.000000,-57881000000.000000,162263000000.000000,-335900000000.000000,-285083000000.000000,-75894000000.000000,83000000.000000,-5500000000.000000,30494000000.000000,,,,-335900000000.000000,172158000000.000000,-56160000000.000000,,-35524000000.000000,-81392000000.000000,,,,,,345234000000.000000,,,,172158000000.000000,-1479000000.000000,39845000000.000000,2697000000.000000,41063000000.000000
12M 2023,347531000000.000000,3118634000000.000000,-2469636000000.000000,-215460000000.000000,1336000000.000000,52027000000.000000,,-111192000000.000000,-28178000000.000000,347531000000.000000,-90890000000.000000,-55068000000.000000,-38473000000.000000,2651000000.000000,,,,,,-90890000000.000000,-250855000000.000000,-14040000000.000000,,-15644000000.000000,-110801000000.000000,178901000000.000000,,,,,-289271000000.000000,,,,-250855000000.000000,5786000000.000000,41063000000.000000,-961000000.000000,45888000000.000000
12M 2024,51664000000.000000,3239524000000.000000,-2907746000000.000000,-159279000000.000000,473000000.000000,51801000000.000000,,-126658000000.000000,-46451000000.000000,51664000000.000000,-86752000000.000000,-67383000000.000000,-21326000000.000000,2091000000.000000,,,-134000000.000000,,,-86752000000.000000,6174000000.000000,,,-20462000000.000000,-153419000000.000000,,,,,,180055000000.000000,,,,6174000000.000000,-28914000000.000000,45888000000.000000,-4000000.000000,16970000000.000000
