Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,2.04,393.07,2.04,393.07,174 B,143 B,317 B,154 B,381 B
12M 2009,1.41,412.54,1.41,412.54,133 B,138 B,270 B,56 B,429 B
12M 2010,2.70,449.37,2.70,449.37,192 B,187 B,379 B,(4 B),478 B
12M 2011,2.23,484.42,2.23,484.42,160 B,96 B,256 B,13 B,316 B
12M 2012,2.30,579.14,2.32,572.94,72 B,31 B,103 B,(433 B),604 B
12M 2013,6.51,691.75,6.57,685.28,53 B,,53 B,(558 B),932 B
12M 2014,4.77,780.65,4.79,775.84,9 B,,9 B,(480 B),"1,151 B"
12M 2015,4.10,962.77,4.12,958.01,3 B,,3 B,(847 B),"1,542 B"
12M 2016,3.80,1202.57,3.81,1199.61,3 B,,3 B,"(1,519 B)","2,281 B"
12M 2017,3.66,353.56,3.67,352.84,3 B,2 B,5 B,"(2,116 B)","2,619 B"
12M 2018,3.35,403.36,3.35,402.53,61 B,19 B,80 B,"(1,364 B)","2,158 B"
12M 2019,3.50,480.24,3.50,479.65,39 B,,39 B,"(2,001 B)","2,880 B"
12M 2020,3.94,405.58,3.95,405.09,"1,509 B","1,520 B","3,029 B","1,379 B","3,266 B"
12M 2021,3.59,436.85,3.60,436.50,913 B,609 B,"1,522 B",(77 B),"3,288 B"
12M 2022,2.97,496.71,2.97,496.46,607 B,4 B,611 B,(638 B),"3,161 B"
12M 2023,2.80,571.32,2.80,570.62,12 B,19 B,31 B,"(2,143 B)","3,698 B"
12M 2024,2.56,705.82,2.56,704.97,11 B,27 B,38 B,"(2,396 B)","3,967 B"
