Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Real Estat,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Utang Royalti,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Obligasi Konversi,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Royalti,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Obligasi Konversi,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Belum Ditentukan Penggunaannya,Others,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2013,,,13999126.000000,68255271.000000,53723381.000000,14531890.000000,68255271.000000,1115915.000000,86538.000000,1029377.000000,1115915.000000,104455644.000000,2108098.000000,189934054.000000,,27059408.000000,46939830.000000,3836500.000000,1500090.000000,79335828.000000,269269882.000000,,,108322185.000000,61790908.000000,,28544992.000000,2535899.000000,31080891.000000,,1583461.000000,3876921.000000,5460382.000000,4876791.000000,2634395.000000,,,388473.000000,,388473.000000,,2090345.000000,108322185.000000,15516865.000000,,,388473.000000,,388473.000000,3295258.000000,6759805.000000,5073329.000000,15516865.000000,123839050.000000,,90198298.000000,19104388.000000,68318330.000000,62533358.000000,5784972.000000,68318330.000000,1950787.000000,-34140971.000000,145430832.000000,269269882.000000,383331363.000000
12M 2014,,,11991766.000000,53275846.000000,41777511.000000,11498335.000000,53275846.000000,344977.000000,63688.000000,281289.000000,344977.000000,89473991.000000,1982624.000000,157069204.000000,,28797468.000000,43366564.000000,3761821.000000,3021539.000000,78947392.000000,236016596.000000,,,71363344.000000,18000000.000000,,27387135.000000,1879470.000000,29266605.000000,,1585098.000000,4816570.000000,6401668.000000,6879298.000000,1133976.000000,,3440512.000000,388473.000000,,3828985.000000,3583935.000000,2268877.000000,71363344.000000,21146242.000000,,13609629.000000,,,13609629.000000,,2788072.000000,4748541.000000,21146242.000000,92509586.000000,,90198298.000000,19104388.000000,67717722.000000,61832750.000000,5884972.000000,67717722.000000,1721288.000000,-35234686.000000,143507010.000000,236016596.000000,383331363.000000
12M 2015,,,13889564.000000,37197874.000000,26394995.000000,10802879.000000,37197874.000000,277957.000000,2754.000000,275203.000000,277957.000000,91339268.000000,13027980.000000,155732643.000000,,20059105.000000,37701449.000000,3465720.000000,5488583.000000,66714857.000000,222447500.000000,,,61477639.000000,17942135.000000,,20991847.000000,1772900.000000,22764747.000000,,1722072.000000,5592482.000000,7314554.000000,7076961.000000,336565.000000,,3732966.000000,,,3732966.000000,,2309711.000000,61477639.000000,20154909.000000,,10889219.000000,,,10889219.000000,2107697.000000,3700032.000000,3457961.000000,20154909.000000,81632548.000000,,90198298.000000,19104388.000000,66082752.000000,60097780.000000,5984972.000000,66082752.000000,2232000.000000,-36802486.000000,140814952.000000,222447500.000000,383331363.000000
12M 2016,,,9559546.000000,49907394.000000,38304196.000000,11603198.000000,49907394.000000,687778.000000,60567.000000,627211.000000,687778.000000,82343077.000000,10108580.000000,152606375.000000,,20329549.000000,35165785.000000,15138041.000000,3673889.000000,74307264.000000,226913639.000000,,,51644818.000000,8375374.000000,,17549060.000000,2494907.000000,20043967.000000,,2081061.000000,6866652.000000,8947713.000000,7733259.000000,886267.000000,,3753702.000000,,,3753702.000000,,1904536.000000,51644818.000000,14080554.000000,,7175564.000000,,,7175564.000000,2407465.000000,596832.000000,3900693.000000,14080554.000000,65725372.000000,,90198298.000000,19104388.000000,88698463.000000,82713491.000000,5984972.000000,88698463.000000,443961.000000,-37256843.000000,161188267.000000,226913639.000000,383331363.000000
12M 2017,,,10937042.000000,44668497.000000,30274741.000000,14393756.000000,44668497.000000,632737.000000,55806.000000,576931.000000,632737.000000,87681790.000000,10950326.000000,154870392.000000,,20243642.000000,33724102.000000,13755379.000000,1153435.000000,68876558.000000,223746950.000000,,,60458859.000000,15838301.000000,,21791196.000000,3207570.000000,24998766.000000,,1955063.000000,7012917.000000,8967980.000000,1742923.000000,300488.000000,,6760940.000000,,,6760940.000000,,1849461.000000,60458859.000000,4876412.000000,,392951.000000,,,392951.000000,,,4483461.000000,4876412.000000,65335271.000000,,90198298.000000,19104388.000000,79884096.000000,73799124.000000,6084972.000000,79884096.000000,5613138.000000,-36388241.000000,158411679.000000,223746950.000000,383331363.000000
12M 2018,,,26043452.000000,33435901.000000,18255532.000000,15180369.000000,33435901.000000,624158.000000,4755.000000,619403.000000,624158.000000,105018107.000000,11280491.000000,176402109.000000,,19579620.000000,28937672.000000,8721555.000000,2769432.000000,60008279.000000,236410388.000000,,,66564069.000000,30296400.000000,,23345563.000000,3649058.000000,26994621.000000,,1534467.000000,455677.000000,1990144.000000,1426181.000000,3874432.000000,,367495.000000,,,367495.000000,,1614796.000000,66564069.000000,3513626.000000,,,,,,,,3513626.000000,3513626.000000,70077695.000000,,90198298.000000,19104388.000000,86444071.000000,80259099.000000,6184972.000000,86444071.000000,8943416.000000,-38357480.000000,166332693.000000,236410388.000000,383331363.000000
12M 2019,,,12157925.000000,38187457.000000,14329492.000000,23857965.000000,38187457.000000,902620.000000,40320.000000,862300.000000,902620.000000,98276859.000000,10149733.000000,159674594.000000,,19981927.000000,25557199.000000,11113610.000000,3430091.000000,60082827.000000,219757421.000000,,,38851588.000000,6909558.000000,,23624579.000000,1956180.000000,25580759.000000,,1736346.000000,46466.000000,1782812.000000,1212437.000000,1420497.000000,,,,,,,1945525.000000,38851588.000000,4700936.000000,,,,,,,,4700936.000000,4700936.000000,43552524.000000,,90198298.000000,19104388.000000,96067262.000000,89782290.000000,6284972.000000,96067262.000000,8929718.000000,-38094769.000000,176204897.000000,219757421.000000,383331363.000000
12M 2020,,,61811686.000000,36273954.000000,16098309.000000,20175645.000000,36273954.000000,1006835.000000,39212.000000,967623.000000,1006835.000000,74370466.000000,9708218.000000,183171159.000000,,19979646.000000,21756133.000000,8793993.000000,8555440.000000,59085212.000000,242256371.000000,,,37344463.000000,2544488.000000,,20079781.000000,2772336.000000,22852117.000000,,1399109.000000,71212.000000,1470321.000000,948258.000000,6702084.000000,,,,608536.000000,608536.000000,,2218659.000000,37344463.000000,6197943.000000,,,,1146770.000000,1146770.000000,,3056.000000,5048117.000000,6197943.000000,43542406.000000,,90198298.000000,19104388.000000,117528674.000000,111143702.000000,6384972.000000,117528674.000000,8382180.000000,-36499575.000000,198713965.000000,242256371.000000,383331363.000000
12M 2021,,,81055743.000000,37989738.000000,10677554.000000,27312184.000000,37989738.000000,1111908.000000,,1111908.000000,1111908.000000,102021756.000000,13314519.000000,235493664.000000,,20354255.000000,20431637.000000,7981661.000000,8462565.000000,57230118.000000,292723782.000000,,,47757509.000000,2419937.000000,,18826441.000000,4114962.000000,22941403.000000,,6515557.000000,7822700.000000,14338257.000000,1462194.000000,3893886.000000,,,,734126.000000,734126.000000,,1967706.000000,47757509.000000,4240868.000000,,,,1103681.000000,1103681.000000,,,3137187.000000,4240868.000000,51998377.000000,,90198298.000000,19104388.000000,160097398.000000,153612426.000000,6484972.000000,160097398.000000,8862499.000000,-37537178.000000,240725405.000000,292723782.000000,383331363.000000
12M 2022,,,84173030.000000,38357077.000000,12428230.000000,25928847.000000,38357077.000000,901956.000000,,901956.000000,901956.000000,124613121.000000,12371074.000000,260416258.000000,,20268107.000000,19317982.000000,6758732.000000,10816596.000000,57161417.000000,317577675.000000,,,39890730.000000,3025891.000000,,27389364.000000,3889700.000000,31279064.000000,,1653916.000000,56009.000000,1709925.000000,858518.000000,477801.000000,,,,394093.000000,394093.000000,,2145438.000000,39890730.000000,2733689.000000,,,,560370.000000,560370.000000,,,2173319.000000,2733689.000000,42624419.000000,,90198298.000000,19104388.000000,196214201.000000,189629229.000000,6584972.000000,196214201.000000,9510955.000000,-40074586.000000,274953256.000000,317577675.000000,383331363.000000
