Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2013,24 B,(52 B),(28 B),-72.55
12M 2014,389 B,(33 B),356 B,928.17
12M 2015,106 B,(12 B),94 B,246.07
12M 2016,163 B,(39 B),125 B,325.93
12M 2017,252 B,(43 B),210 B,546.54
12M 2018,86 B,(26 B),61 B,158.03
12M 2019,218 B,(33 B),185 B,483.73
12M 2020,907 B,(12 B),895 B,2334.07
12M 2021,355 B,(12 B),343 B,895.32
12M 2022,300 B,(20 B),280 B,730.65
12M 2023,235 B,(51 B),184 B,479.82
12M 2024,687 B,(55 B),632 B,1649.84
