Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi,Tanaman Perkebunan,Tanaman Telah Menghasilkan,Tanaman Belum Menghasilkan,Total Tanaman Perkebunan,Aset Tetap,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Obligasi,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Adjustment,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Obligasi,Equity Link Notes,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Adjustment,Kepentingan Non Pengendali,Others,Total Ekuitas,Adjustment,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,352300659000.000000,98337153000.000000,98337153000.000000,,98337153000.000000,17817188000.000000,11172719000.000000,6644469000.000000,17817188000.000000,141536732000.000000,123006838000.000000,732998570000.000000,,233211959000.000000,40407926000.000000,569307139000.000000,1353048701000.000000,1006360964000.000000,346687737000.000000,1353048701000.000000,743285954000.000000,485099298000.000000,542949290000.000000,3967310267000.000000,4700308837000.000000,,,473418159000.000000,164250000000.000000,,119515448000.000000,43737000.000000,119559185000.000000,,18950914000.000000,,18950914000.000000,56079716000.000000,55017501000.000000,,2647767000.000000,,,2647767000.000000,,56913076000.000000,473418159000.000000,1755722359000.000000,28089240000.000000,15773734000.000000,,588230000.000000,35000000.000000,1679275328000.000000,,,1679898558000.000000,31960827000.000000,1755722359000.000000,2229140518000.000000,,378799694000.000000,1572235622000.000000,543073253000.000000,,543073253000.000000,543073253000.000000,,1000035000.000000,-23930285000.000000,2471178319000.000000,-10000000.000000,4700308837000.000000,136686738842.000000
12M 2009,,,167303590000.000000,143154819000.000000,143154819000.000000,,143154819000.000000,90828247000.000000,9152228000.000000,81676019000.000000,90828247000.000000,108785887000.000000,156147342000.000000,666219885000.000000,,266472346000.000000,18259296000.000000,659728583000.000000,1531345887000.000000,1014197337000.000000,517148550000.000000,1531345887000.000000,687480880000.000000,458510103000.000000,783780333000.000000,4405577428000.000000,5071797313000.000000,,,659502236000.000000,141000000000.000000,,181939282000.000000,,181939282000.000000,,6177447000.000000,,6177447000.000000,81039960000.000000,81865179000.000000,,2391226000.000000,,,2391226000.000000,,165089142000.000000,659502236000.000000,1741553789000.000000,100547650000.000000,20591307000.000000,,144011977000.000000,,1456267459000.000000,,,1600279436000.000000,20135396000.000000,1741553789000.000000,2401056025000.000000,,378799694000.000000,1572235622000.000000,761819508000.000000,,761819508000.000000,761819508000.000000,,898118000.000000,-43011654000.000000,2670741288000.000000,,5071797313000.000000,136686738842.000000
12M 2010,,,329768431000.000000,204570949000.000000,204570949000.000000,,204570949000.000000,299115171000.000000,22083616000.000000,277031555000.000000,299115171000.000000,200073120000.000000,754686494000.000000,1788214165000.000000,,1614788448000.000000,318264471000.000000,653071000.000000,3462175556000.000000,1562540134000.000000,1899635422000.000000,3462175556000.000000,7086613645000.000000,2904951780000.000000,1326596003000.000000,16714042974000.000000,18502257139000.000000,,,3342539718000.000000,134865000000.000000,,349151479000.000000,796106000.000000,349947585000.000000,,29838305000.000000,,29838305000.000000,329789165000.000000,527336051000.000000,,145333221000.000000,1782086000.000000,1629456557000.000000,1776571864000.000000,,194191748000.000000,3342539718000.000000,6612459931000.000000,212576110000.000000,57978815000.000000,,5024694264000.000000,958850000.000000,1289609975000.000000,,,6315263089000.000000,26641917000.000000,6612459931000.000000,9954999649000.000000,,1355377268000.000000,5489625413000.000000,1528053050000.000000,,1528053050000.000000,1528053050000.000000,,228849029000.000000,-54647270000.000000,8547257490000.000000,,18502257139000.000000,13553772676.000000
12M 2011,,,201567663000.000000,509648761000.000000,509648761000.000000,,509648761000.000000,208177317000.000000,48224664000.000000,159952653000.000000,208177317000.000000,216520805000.000000,233603208000.000000,1369517754000.000000,,2478675599000.000000,166957935000.000000,1668642000.000000,3701702584000.000000,1615449454000.000000,2086253130000.000000,3701702584000.000000,7021478019000.000000,2845979175000.000000,1116315495000.000000,17332777449000.000000,18702295203000.000000,,,3443758819000.000000,,,474555766000.000000,6337179000.000000,480892945000.000000,,128369875000.000000,,128369875000.000000,267257521000.000000,744811970000.000000,,231992084000.000000,1159176000.000000,1358928570000.000000,1592079830000.000000,,230346678000.000000,3443758819000.000000,6200973937000.000000,,41201395000.000000,,6126518336000.000000,320147000.000000,,,,6126838483000.000000,32934059000.000000,6200973937000.000000,9644732756000.000000,,1368673884000.000000,5524771864000.000000,2212742843000.000000,40000000000.000000,2172742843000.000000,2212742843000.000000,22029000000.000000,63623792000.000000,-134278936000.000000,9057562447000.000000,,18702295203000.000000,13686738842.000000
12M 2012,,,120765649000.000000,455034575000.000000,455034575000.000000,,455034575000.000000,280817053000.000000,117955813000.000000,162861240000.000000,280817053000.000000,240455330000.000000,2691413095000.000000,3788485702000.000000,,3039079710000.000000,277645597000.000000,,3232763941000.000000,1689950328000.000000,1542813613000.000000,3232763941000.000000,6689964563000.000000,866676264000.000000,1088716275000.000000,15194846350000.000000,18983332052000.000000,,,3001002905000.000000,40000000000.000000,,336084207000.000000,1433707000.000000,337517914000.000000,,178574753000.000000,,178574753000.000000,395487549000.000000,872273912000.000000,,622273937000.000000,716163000.000000,,622990100000.000000,,554158677000.000000,3001002905000.000000,8067926339000.000000,,29578216000.000000,,8010653805000.000000,352744000.000000,,,,8011006549000.000000,27341574000.000000,8067926339000.000000,11068929244000.000000,,1372047084000.000000,5539276624000.000000,1084981063000.000000,87808000000.000000,997173063000.000000,1084981063000.000000,,60986819000.000000,-142888782000.000000,7914402808000.000000,,18983332052000.000000,13720470842.000000
12M 2013,,,117017409000.000000,154507483000.000000,154507483000.000000,,154507483000.000000,320013866000.000000,141854455000.000000,178159411000.000000,320013866000.000000,163506574000.000000,2704846944000.000000,3459892276000.000000,,2356130453000.000000,943219575000.000000,,2616476369000.000000,1525598428000.000000,1090877941000.000000,2616476369000.000000,7029205697000.000000,815585613000.000000,794827249000.000000,14555444956000.000000,18015337232000.000000,,,6359394322000.000000,40000000000.000000,,333129793000.000000,5856793000.000000,338986586000.000000,,161322579000.000000,,161322579000.000000,646810762000.000000,893400881000.000000,,3675885709000.000000,710574000.000000,,3676596283000.000000,,602277231000.000000,6359394322000.000000,6788743466000.000000,,4222596000.000000,,6741745334000.000000,272970000.000000,,,,6742018304000.000000,42502566000.000000,6788743466000.000000,13148137788000.000000,,1372047139000.000000,5561305624000.000000,-1677811070000.000000,87808000000.000000,-1765619070000.000000,-1677811070000.000000,,54311164000.000000,-442653413000.000000,4867199444000.000000,,18015337232000.000000,13720471386.000000
12M 2014,,,55595947000.000000,124158769000.000000,124158769000.000000,,124158769000.000000,295698776000.000000,138874108000.000000,156824668000.000000,295698776000.000000,134447132000.000000,1987596126000.000000,2597496750000.000000,,2582551071000.000000,920795702000.000000,,2631591473000.000000,1530620590000.000000,1100970883000.000000,2631591473000.000000,7013865676000.000000,815585613000.000000,879747113000.000000,14844136648000.000000,17441633398000.000000,,,7699735962000.000000,40000000000.000000,,328471264000.000000,7706785000.000000,336178049000.000000,,132918788000.000000,,132918788000.000000,948678003000.000000,822599835000.000000,,4764960975000.000000,337571000.000000,,4765298546000.000000,,654062741000.000000,7699735962000.000000,5587694529000.000000,,4472375000.000000,,5532229351000.000000,91463000.000000,,,,5532320814000.000000,50901340000.000000,5587694529000.000000,13287430491000.000000,,1372047139000.000000,5539276624000.000000,-2302624082000.000000,87808000000.000000,-2390432082000.000000,-2302624082000.000000,,-5051636000.000000,-449445138000.000000,4154202907000.000000,,17441633398000.000000,13720471386.000000
12M 2015,,,43967471000.000000,149652889000.000000,149652889000.000000,,149652889000.000000,293372610000.000000,147364090000.000000,146008520000.000000,293372610000.000000,146882913000.000000,839370508000.000000,1473246391000.000000,,2924179973000.000000,1260591900000.000000,,2607796933000.000000,1523731486000.000000,1084065447000.000000,2607796933000.000000,6958069122000.000000,815585613000.000000,887146937000.000000,15453370478000.000000,16926616869000.000000,,,7965667450000.000000,85000000000.000000,,323858639000.000000,12687076000.000000,336545715000.000000,,217045523000.000000,,217045523000.000000,1615155072000.000000,810936721000.000000,,4455960252000.000000,116746000.000000,,4456076998000.000000,,444907421000.000000,7965667450000.000000,5604143807000.000000,,5670178000.000000,,5467242390000.000000,,,,,5467242390000.000000,131231239000.000000,5604143807000.000000,13569811257000.000000,,1372047139000.000000,5539276624000.000000,-2815670353000.000000,87808000000.000000,-2903478353000.000000,-2815670353000.000000,,-8016086000.000000,-730831712000.000000,3356805612000.000000,,16926616869000.000000,13720471386.000000
12M 2016,,,60760184000.000000,120276112000.000000,120276112000.000000,,120276112000.000000,327181172000.000000,145613505000.000000,181567667000.000000,327181172000.000000,98236438000.000000,408472490000.000000,1014926396000.000000,,3203075940000.000000,963292866000.000000,,2342438187000.000000,1711459326000.000000,630978861000.000000,2342438187000.000000,5903638971000.000000,412256438000.000000,860689562000.000000,13685391964000.000000,14700318360000.000000,,,10292576380000.000000,85000000000.000000,,269730254000.000000,9629454000.000000,279359708000.000000,,219730234000.000000,62195865000.000000,281926099000.000000,2392500645000.000000,396367699000.000000,,6579311516000.000000,54557000.000000,,6579366073000.000000,,278056156000.000000,10292576380000.000000,3210052798000.000000,4972838000.000000,7163283000.000000,,2841273066000.000000,,,,,2841273066000.000000,356643611000.000000,3210052798000.000000,13502629178000.000000,,1372047139000.000000,5547255560000.000000,-5661550302000.000000,87808000000.000000,-5749358302000.000000,-5661550302000.000000,,-786739000.000000,-59276476000.000000,1197689182000.000000,,14700318360000.000000,13720471386.000000
12M 2017,,,21925000000.000000,101233000000.000000,101233000000.000000,,101233000000.000000,712235000000.000000,668641000000.000000,43594000000.000000,712235000000.000000,233869000000.000000,401885000000.000000,1471147000000.000000,,2908930000000.000000,521605000000.000000,,1694570000000.000000,1446147000000.000000,248423000000.000000,1694570000000.000000,6100891000000.000000,388905000000.000000,797944000000.000000,12412845000000.000000,13883992000000.000000,,,11830333000000.000000,,,405970000000.000000,10515000000.000000,416485000000.000000,,368965000000.000000,39845000000.000000,408810000000.000000,3319618000000.000000,44793000000.000000,,7428508000000.000000,23000000.000000,,7428531000000.000000,,212096000000.000000,11830333000000.000000,2522103000000.000000,5749000000.000000,,,2122871000000.000000,,,,,2122871000000.000000,393483000000.000000,2522103000000.000000,14352436000000.000000,,1372047000000.000000,5549738000000.000000,-7302142000000.000000,87808000000.000000,-7389950000000.000000,-7302142000000.000000,,,-88087000000.000000,-468444000000.000000,,13883992000000.000000,1372047144.000000
