Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,1.55,1.25,0.76,1.9,0.0,0.0,0.62,0.4,0.9
12M 2009,1.01,0.85,0.69,1.9,0.0,0.0,0.63,0.36,0.9
12M 2010,0.53,0.48,1.01,2.22,0.0,0.0,0.97,0.46,1.2
12M 2011,0.4,0.33,0.86,2.08,0.0,0.0,0.84,0.41,1.07
12M 2012,1.26,1.18,1.1,2.42,0.0,0.0,1.09,0.46,1.41
12M 2013,0.54,0.52,2.17,3.74,0.0,0.0,2.15,0.58,2.73
12M 2014,0.34,0.32,2.49,4.19,0.0,0.0,2.47,0.59,3.19
12M 2015,0.18,0.17,2.97,5.03,0.0,0.0,2.96,0.59,4.03
12M 2016,0.1,0.09,7.94,12.27,0.0,0.0,7.88,0.65,11.27
12M 2017,0.12,0.1,-20.4,-29.64,-0.0,0.0,-20.36,0.69,-30.64
12M 2018,0.11,0.1,-6.45,-9.31,-0.0,0.0,-6.42,0.69,-10.31
12M 2019,0.11,0.09,-1.99,-1.88,-0.0,0.0,-1.98,1.06,-3.09
12M 2020,0.06,0.04,-1.55,-1.3,-0.0,0.0,-1.54,1.19,-2.5
12M 2021,0.11,0.09,-1.57,-1.45,-0.0,0.0,-1.53,1.09,-2.66
12M 2022,0.09,0.06,-1.04,-0.83,-0.0,0.0,-1.01,1.25,-1.92
12M 2023,0.1,0.08,-1.12,-0.84,-0.0,0.0,-1.1,1.33,-1.94
12M 2024,0.1,0.09,-0.88,-0.61,-0.0,0.0,-0.86,1.45,-1.61
