Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,"Pembayaran Kas Kepada Pemasok, Karyawan Dan Aktivitas Operasional Lainnya",Penerimaan Bunga,Pembayaran Pajak Penghasilan,Pembayaran Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Atas Ganti Rugi Pembangunan Jalan Tol,Pelepasan (Akuisisi) Entitas Anak Dan Asosiasi,Investasi Pada Efek,Penambahan Tanaman Perkebunan,Penambahan Aset Lain-Lain,Investasi Pada Efek Ekuitas,Perolehan Aset Tetap,Penjualan Aset Tetap,Uang Muka Akuisisi,Penambahan Perkebunan Plasma,Penambahan Dalam Proyek Pengembangan,Kenaikan Piutang Pihak Berelasi,Penambahan Dalam Pembatasan,Penurunan Investasi Jangka Pendek,Penerimaan Piutang Retensi Dari Divestasi Entitas Anak,Penerimaan Dari Penjualan Aset Tidak Lancar Yang Dimiliki Untuk Di Jual,Dana Yang Dibatasi Penggunannya,Pembayaran Beban Tangguhan Hak Atas Tanah,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Pelunasan Piutang,Kenaikan Piutang Pihak Berelasi,Eksekusi Waran,Penerimaan Utang Jangka Panjang:,Wesel Bayar Dijamin Pelunasannya,Pinjaman Jangka Panjang,Total Penerimaan Utang Jangka Panjang:,Pembayaran Utang Jangka Panjang:,Sewa Pembiayaan,Pinjaman Jangka Panjang,Total Pembayaran Utang Jangka Panjang:,Hutang Bank,Penerimaan Dari Liabilitas Jangka Panjang Lainnya,Penerbitan Saham,Pembayaran Liabilitas Tidak Lancar Lainnya,Penerimaan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Penerimaan (Pembayaran) Utang Obligasi,Pembayaran Dividen Kas,Penerimaan Penjualan Modal Saham,Pembayaran Utang Lain-Lain,Kenaikan Utang Lain-Lain,Penurunan (Kenaikan) Utang Pihak Berelasi,Penurunan (Penambahan) Piutang Plasma,Biaya Penerbitan Saham,Pembelian Saham Beredar Diperoleh Kembali,Penambahan (Penurunan ) Beban Ditangguhkan,Lain-Lain,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Dampak Kehilangan Pengendalian,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Anak Perusahaan Yang Diakuisisi,Kas Dan Setara Kas Akhir Periode
12M 2008,668608595000.000000,3073600090000.000000,-2144599131000.000000,31124165000.000000,-105003014000.000000,-186513515000.000000,668608595000.000000,-440852988000.000000,,-367781944000.000000,,-164055182000.000000,,,-96615769000.000000,11543659000.000000,,-20451118000.000000,-324051872000.000000,,,523301872000.000000,,,,-2742634000.000000,-440852988000.000000,-285861266000.000000,,-191555139000.000000,167661000.000000,,,,,,-106066000.000000,,-106066000.000000,,,,,,,,-64281992000.000000,,,,-28089240000.000000,,,-1996490000.000000,,,-285861266000.000000,-58105659000.000000,46980285000.000000,,363426096000.000000,,352300722000.000000
12M 2009,504532483000.000000,2388586601000.000000,-1605644564000.000000,2946199000.000000,-91963873000.000000,-189391880000.000000,504532483000.000000,-596449461000.000000,,-30784686000.000000,-26862948000.000000,-206230279000.000000,,,-42327859000.000000,7339783000.000000,,-7466829000.000000,-290077846000.000000,,-38797000.000000,,,,,,-596449461000.000000,148356986000.000000,,-33250387000.000000,,,,,,,-35000000.000000,143167206000.000000,143132206000.000000,,,,,,,,-33983243000.000000,,,,72458410000.000000,,,,,,148356986000.000000,56440008000.000000,-241437077000.000000,,352300659000.000000,,167303590000.000000
12M 2010,955003351000.000000,2972106988000.000000,-1598641991000.000000,61245988000.000000,-121793354000.000000,-357914280000.000000,955003351000.000000,-4334386531000.000000,,-2880532823000.000000,-609352927000.000000,-483793109000.000000,,-193355855000.000000,-74016998000.000000,,,-48061712000.000000,-45273107000.000000,,,,,,,,-4334386531000.000000,3481306847000.000000,,-1767297014000.000000,,1063424934000.000000,,,1063424934000.000000,,2360973000.000000,-772918810000.000000,-770557837000.000000,,,4994843068000.000000,,,,,-50259061000.000000,,,,112028460000.000000,,-100875703000.000000,,,,3481306847000.000000,101923667000.000000,40772583000.000000,,167303590000.000000,19768591000.000000,329768431000.000000
12M 2011,1129280662000.000000,4705829869000.000000,-2977984915000.000000,3636105000.000000,-135216950000.000000,-466983447000.000000,1129280662000.000000,-677503331000.000000,,-213754489000.000000,,-301032597000.000000,,,-136169133000.000000,,,-26547112000.000000,,,,,,,,,-677503331000.000000,-552321277000.000000,,-746808249000.000000,,,50840909000.000000,2135362500000.000000,2186203409000.000000,,-1261613000.000000,-1789736781000.000000,-1790998394000.000000,,,70472067000.000000,,,,,-60200000000.000000,1586000000.000000,,,-212576110000.000000,,,,,,-552321277000.000000,-100543946000.000000,-27656822000.000000,,329768431000.000000,,201567663000.000000
12M 2012,524774666000.000000,3093213660000.000000,-1956627961000.000000,1384523000.000000,-159458524000.000000,-453737032000.000000,524774666000.000000,-119057201000.000000,,6400982000.000000,,-170333406000.000000,,,-208048976000.000000,281319805000.000000,,-28395606000.000000,,,,,,,,,-119057201000.000000,-455577401000.000000,,-849715857000.000000,,,19698000000.000000,1946081271000.000000,1965779271000.000000,,-410415000.000000,-1566666518000.000000,-1567076933000.000000,,,17877960000.000000,,40000000000.000000,,,-62441842000.000000,,,,,,,,,,-455577401000.000000,-49859936000.000000,-30942078000.000000,,201567663000.000000,,120765649000.000000
12M 2013,51932883000.000000,2053221418000.000000,-1679413436000.000000,1815087000.000000,-49155123000.000000,-274535063000.000000,51932883000.000000,149614135000.000000,,338806921000.000000,,-126838645000.000000,,,-53484081000.000000,,,-8870060000.000000,,,,,,,,,149614135000.000000,-218329754000.000000,354493379000.000000,-314787318000.000000,55000.000000,,,4901000000.000000,4901000000.000000,,-85364000.000000,-262851506000.000000,-262936870000.000000,,,,,,,,,,,,,,,,,,-218329754000.000000,-16782736000.000000,13034496000.000000,,120765649000.000000,,117017409000.000000
12M 2014,89185808000.000000,2713181516000.000000,-2318572166000.000000,1760225000.000000,-40167470000.000000,-267016297000.000000,89185808000.000000,321042654000.000000,,,,-121303824000.000000,,,-56416068000.000000,491090576000.000000,,-34283163000.000000,,,,,19183947000.000000,,22771186000.000000,,321042654000.000000,-471898194000.000000,,-97753657000.000000,,,,45000000000.000000,45000000000.000000,,-554510000.000000,-418590027000.000000,-419144537000.000000,,,,,,,,,,,,,,,,,,-471898194000.000000,-61669732000.000000,248270000.000000,,117017409000.000000,,55595947000.000000
12M 2015,-17129134000.000000,1966321287000.000000,-1836273244000.000000,1381283000.000000,-51452125000.000000,-97106335000.000000,-17129134000.000000,1486939366000.000000,,,,-74388081000.000000,,,-14395231000.000000,1585030626000.000000,,-9308998000.000000,,,,,,,1050000.000000,,1486939366000.000000,-1482110588000.000000,,-200046433000.000000,,,,45000000000.000000,45000000000.000000,,-312288000.000000,-1326751867000.000000,-1327064155000.000000,,,,,,,,,,,,,,,,,,-1482110588000.000000,-12300356000.000000,671880000.000000,,55595947000.000000,,43967471000.000000
12M 2016,8294415000.000000,1443615435000.000000,-1218177497000.000000,980185000.000000,-200598806000.000000,-17524902000.000000,8294415000.000000,284276776000.000000,,,,-47644444000.000000,,,-9194393000.000000,390565190000.000000,,-5300274000.000000,,-47524303000.000000,,,,,3375000000.000000,,284276776000.000000,-274939181000.000000,,,,,,,,,-62189000.000000,-339876992000.000000,-339939181000.000000,,65000000000.000000,,,,,,,,,,,,,,,,-274939181000.000000,17632010000.000000,-839297000.000000,,43967471000.000000,,60760184000.000000
12M 2017,171265000000.000000,1460455000000.000000,-1157711000000.000000,751000000.000000,-115077000000.000000,-17153000000.000000,171265000000.000000,-99034000000.000000,,186000000000.000000,,-32979000000.000000,,,-48926000000.000000,,,-2245000000.000000,,-200884000000.000000,,,,,,,-99034000000.000000,-111245000000.000000,,,,,,,,,-32000000.000000,-12981000000.000000,-13013000000.000000,,-13232000000.000000,,,,-85000000000.000000,,,,,,,,,,,,-111245000000.000000,-39014000000.000000,179000000.000000,,60760000000.000000,,21925000000.000000
12M 2018,26451000000.000000,1904839000000.000000,-1834870000000.000000,872000000.000000,-40121000000.000000,-4269000000.000000,26451000000.000000,433305000000.000000,,,,,,,-78253000000.000000,615150000000.000000,,5980000000.000000,,-73850000000.000000,,,,,-35722000000.000000,,433305000000.000000,-428347000000.000000,,,,,,,,,-23000000.000000,-854824000000.000000,-854847000000.000000,,426500000000.000000,,,,,,,,,,,,,,,,-428347000000.000000,31409000000.000000,309000000.000000,,21925000000.000000,,53643000000.000000
