Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,1.64,0.97,0.44,2.05,0.0,0.0,0.14,0.21,1.05
12M 2009,1.66,1.11,0.27,1.76,0.0,0.0,0.07,0.15,0.76
12M 2010,1.57,0.87,0.35,1.84,0.0,0.0,0.27,0.19,0.84
12M 2011,1.72,1.24,0.18,1.76,0.0,0.0,-0.09,0.1,0.72
12M 2012,1.95,1.31,0.2,1.7,0.0,0.0,0.07,0.12,0.61
12M 2013,1.91,1.49,0.15,1.73,0.0,0.0,-0.09,0.09,0.65
12M 2014,2.06,1.58,0.09,1.64,0.0,0.0,-0.18,0.06,0.59
12M 2015,2.15,1.69,0.07,1.63,0.0,0.0,-0.34,0.04,0.59
12M 2016,2.3,1.91,0.03,1.57,0.0,0.0,-0.45,0.02,0.52
12M 2017,1.8,1.53,0.11,1.81,0.0,0.0,-0.35,0.06,0.77
12M 2018,1.14,0.86,0.19,2.16,0.0,0.0,-0.06,0.09,1.1
12M 2019,1.56,1.22,0.25,1.92,0.0,0.0,0.04,0.13,0.87
12M 2020,2.11,1.73,0.21,1.66,0.0,0.0,-0.13,0.13,0.61
12M 2021,1.99,1.68,0.14,1.64,0.0,0.0,-0.35,0.08,0.59
12M 2022,1.88,1.51,0.04,1.66,0.0,0.0,-0.41,0.02,0.6
12M 2023,1.46,1.06,0.24,1.94,0.0,0.0,0.0,0.12,0.88
12M 2024,1.54,1.17,0.22,1.82,0.0,0.0,-0.05,0.12,0.77
