Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Aset Tetap,Goodwill,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Dari Pihak Berelasi,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Pajak,Others,Total Utang Pajak,Beban Akrual,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Others,Total Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,722347000000.000000,955775000000.000000,840530000000.000000,115245000000.000000,955775000000.000000,1284659000000.000000,140514000000.000000,3103295000000.000000,,2674000000.000000,25283000000.000000,2559875000000.000000,74817000000.000000,665737000000.000000,73055000000.000000,3401441000000.000000,6504736000000.000000,,,3091111000000.000000,,,,1028699000000.000000,67974000000.000000,1096673000000.000000,320447000000.000000,,320447000000.000000,1336761000000.000000,337230000000.000000,,,337230000000.000000,,3091111000000.000000,306804000000.000000,162462000000.000000,,144342000000.000000,306804000000.000000,3397915000000.000000,,76300000000.000000,96000000000.000000,96000000000.000000,96000000000.000000,2928012000000.000000,15260000000.000000,2912752000000.000000,2928012000000.000000,6509000000.000000,3106821000000.000000,6504736000000.000000,
12M 2009,,,858322000000.000000,1257921000000.000000,1133460000000.000000,124461000000.000000,1257921000000.000000,1340036000000.000000,142514000000.000000,3598793000000.000000,,2918000000.000000,,3035915000000.000000,68371000000.000000,672550000000.000000,106443000000.000000,3886197000000.000000,7484990000000.000000,,,3454869000000.000000,,,,1358070000000.000000,71621000000.000000,1429691000000.000000,317931000000.000000,,317931000000.000000,1481827000000.000000,225420000000.000000,,,225420000000.000000,,3454869000000.000000,321546000000.000000,134319000000.000000,27252000000.000000,159975000000.000000,321546000000.000000,3776415000000.000000,,76300000000.000000,96000000000.000000,96000000000.000000,96000000000.000000,3530519000000.000000,15260000000.000000,3515259000000.000000,3530519000000.000000,5756000000.000000,3708575000000.000000,7484990000000.000000,7630000000.000000
12M 2010,,,317759000000.000000,1567538000000.000000,1445450000000.000000,122088000000.000000,1567538000000.000000,1574060000000.000000,288773000000.000000,3748130000000.000000,,,,4148778000000.000000,61925000000.000000,646356000000.000000,96073000000.000000,4953132000000.000000,8701262000000.000000,,,4402940000000.000000,190000000000.000000,,,1612672000000.000000,203921000000.000000,1816593000000.000000,208778000000.000000,,208778000000.000000,1460974000000.000000,,555057000000.000000,171538000000.000000,726595000000.000000,,4402940000000.000000,249469000000.000000,,49939000000.000000,199530000000.000000,249469000000.000000,4652409000000.000000,,76300000000.000000,96000000000.000000,96000000000.000000,96000000000.000000,3873119000000.000000,15260000000.000000,3857859000000.000000,3873119000000.000000,3434000000.000000,4048853000000.000000,8701262000000.000000,7630000000.000000
12M 2011,,,336143000000.000000,2076083000000.000000,1877699000000.000000,198384000000.000000,2076083000000.000000,1812821000000.000000,221172000000.000000,4446219000000.000000,,,,5314311000000.000000,61925000000.000000,584152000000.000000,75705000000.000000,6036093000000.000000,10482312000000.000000,,,6474594000000.000000,699160000000.000000,,,2158530000000.000000,275730000000.000000,2434260000000.000000,451630000000.000000,,451630000000.000000,2209403000000.000000,,447175000000.000000,232966000000.000000,680141000000.000000,,6474594000000.000000,326781000000.000000,,70930000000.000000,255851000000.000000,326781000000.000000,6801375000000.000000,,76300000000.000000,96000000000.000000,96000000000.000000,96000000000.000000,3504268000000.000000,15260000000.000000,3489008000000.000000,3504268000000.000000,4369000000.000000,3680937000000.000000,10482312000000.000000,7630000000.000000
12M 2012,,,229690000000.000000,2426242000000.000000,2253397000000.000000,172845000000.000000,2426242000000.000000,2061899000000.000000,318131000000.000000,5035962000000.000000,,,,6283479000000.000000,61925000000.000000,533157000000.000000,70456000000.000000,6949017000000.000000,11984979000000.000000,,,7535896000000.000000,1040000000000.000000,,,2639460000000.000000,124609000000.000000,2764069000000.000000,,519274000000.000000,519274000000.000000,2239481000000.000000,,641198000000.000000,294580000000.000000,935778000000.000000,37294000000.000000,7535896000000.000000,480718000000.000000,,126991000000.000000,353727000000.000000,480718000000.000000,8016614000000.000000,,76300000000.000000,96000000000.000000,,96000000000.000000,3796065000000.000000,15260000000.000000,3780805000000.000000,3796065000000.000000,,3968365000000.000000,11984979000000.000000,7630000000.000000
12M 2013,,,261202000000.000000,3269694000000.000000,2988303000000.000000,281391000000.000000,3269694000000.000000,2084331000000.000000,247712000000.000000,5862939000000.000000,,,,6874177000000.000000,61925000000.000000,479876000000.000000,69271000000.000000,7485249000000.000000,13348188000000.000000,,,8419442000000.000000,976792000000.000000,,,3568628000000.000000,195916000000.000000,3764544000000.000000,,438920000000.000000,438920000000.000000,1841112000000.000000,,1006684000000.000000,358594000000.000000,1365278000000.000000,32796000000.000000,8419442000000.000000,674076000000.000000,,181367000000.000000,492709000000.000000,674076000000.000000,9093518000000.000000,,76300000000.000000,96000000000.000000,,96000000000.000000,4082370000000.000000,15260000000.000000,4067110000000.000000,4082370000000.000000,,4254670000000.000000,13348188000000.000000,7630000000.000000
12M 2014,,,859127000000.000000,2895515000000.000000,2464145000000.000000,431370000000.000000,2895515000000.000000,2325989000000.000000,256539000000.000000,6337170000000.000000,,,,7348025000000.000000,61925000000.000000,452240000000.000000,81310000000.000000,7943500000000.000000,14280670000000.000000,,,8864832000000.000000,1250000000000.000000,,,4365358000000.000000,266189000000.000000,4631547000000.000000,,457504000000.000000,457504000000.000000,1141375000000.000000,,864276000000.000000,481096000000.000000,1345372000000.000000,39034000000.000000,8864832000000.000000,817056000000.000000,,246093000000.000000,570963000000.000000,817056000000.000000,9681888000000.000000,,76300000000.000000,96000000000.000000,,96000000000.000000,4426482000000.000000,15260000000.000000,4411222000000.000000,4426482000000.000000,,4598782000000.000000,14280670000000.000000,7630000000.000000
12M 2015,,,628159000000.000000,3244626000000.000000,2822930000000.000000,421696000000.000000,3244626000000.000000,2297502000000.000000,452827000000.000000,6623114000000.000000,,,,8320917000000.000000,61925000000.000000,431021000000.000000,292968000000.000000,9106831000000.000000,15729945000000.000000,,,10127542000000.000000,1700000000000.000000,,,4514939000000.000000,327231000000.000000,4842170000000.000000,,629874000000.000000,629874000000.000000,1119513000000.000000,,1132076000000.000000,640669000000.000000,1772745000000.000000,63240000000.000000,10127542000000.000000,775043000000.000000,,372041000000.000000,403002000000.000000,775043000000.000000,10902585000000.000000,,76300000000.000000,96000000000.000000,,96000000000.000000,4655060000000.000000,15260000000.000000,4639800000000.000000,4655060000000.000000,,4827360000000.000000,15729945000000.000000,7630000000.000000
12M 2016,,,373835000000.000000,3708257000000.000000,3290889000000.000000,417368000000.000000,3708257000000.000000,2318130000000.000000,187887000000.000000,6588109000000.000000,,,,9529476000000.000000,61925000000.000000,409802000000.000000,156383000000.000000,10157586000000.000000,16745695000000.000000,,,10878074000000.000000,2392970000000.000000,,,4295353000000.000000,346557000000.000000,4641910000000.000000,,698477000000.000000,698477000000.000000,1659753000000.000000,,1208673000000.000000,131640000000.000000,1340313000000.000000,144651000000.000000,10878074000000.000000,1163363000000.000000,,245152000000.000000,918211000000.000000,1163363000000.000000,12041437000000.000000,,76300000000.000000,96000000000.000000,,96000000000.000000,4531958000000.000000,15260000000.000000,4516698000000.000000,4531958000000.000000,,4704258000000.000000,16745695000000.000000,7630000000.000000
12M 2017,,,404784000000.000000,4715554000000.000000,4346917000000.000000,368637000000.000000,4715554000000.000000,2393540000000.000000,427757000000.000000,7941635000000.000000,,,,10422133000000.000000,61925000000.000000,390838000000.000000,89882000000.000000,10964778000000.000000,18906413000000.000000,,,12532304000000.000000,3450000000000.000000,,,4291308000000.000000,235802000000.000000,4527110000000.000000,,444562000000.000000,444562000000.000000,2288992000000.000000,,965798000000.000000,709313000000.000000,1675111000000.000000,146529000000.000000,12532304000000.000000,1200721000000.000000,,344965000000.000000,855756000000.000000,1200721000000.000000,13733025000000.000000,,76300000000.000000,96000000000.000000,,96000000000.000000,5001088000000.000000,15260000000.000000,4985828000000.000000,5001088000000.000000,,5173388000000.000000,18906413000000.000000,7630000000.000000
