Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,1.0,0.59,0.05,2.1,0.0,0.0,-0.18,0.02,1.1
12M 2009,1.04,0.65,0.04,2.02,0.0,0.0,-0.2,0.02,1.02
12M 2010,0.85,0.49,0.05,2.15,0.0,0.0,-0.03,0.02,1.15
12M 2011,0.69,0.41,0.19,2.85,0.0,0.0,0.1,0.07,1.85
12M 2012,0.67,0.39,0.26,3.02,0.0,0.0,0.2,0.09,2.02
12M 2013,0.7,0.45,0.23,3.14,0.0,0.0,0.17,0.07,2.14
12M 2014,0.71,0.45,0.27,3.11,0.0,0.0,0.08,0.09,2.11
12M 2015,0.65,0.43,0.35,3.26,0.0,0.0,0.22,0.11,2.26
12M 2016,0.61,0.39,0.51,3.56,0.0,0.0,0.43,0.14,2.56
12M 2017,0.63,0.44,0.67,3.65,0.0,0.0,0.59,0.18,2.65
12M 2018,0.75,0.51,0.06,2.58,0.0,0.0,0.01,0.02,1.58
12M 2019,0.65,0.47,0.55,3.91,0.0,0.0,0.43,0.14,2.91
12M 2020,0.66,0.48,0.61,4.16,0.0,0.0,0.44,0.15,3.16
12M 2021,0.61,0.42,0.43,4.41,0.0,0.0,0.35,0.1,3.41
12M 2022,0.61,0.4,0.15,4.58,0.0,0.0,0.02,0.03,3.58
12M 2023,0.55,0.34,0.0,4.93,0.0,0.0,-0.3,0.0,3.93
12M 2024,0.45,0.23,0.67,7.47,0.0,0.0,0.36,0.09,6.47
