Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,"2,786 B",(970 B),"1,816 B",0.00
12M 2009,"3,281 B",(704 B),"2,577 B",337.69
12M 2010,"3,619 B","(1,312 B)","2,307 B",302.33
12M 2011,"5,462 B","(1,692 B)","3,770 B",494.06
12M 2012,"5,192 B","(1,145 B)","4,047 B",530.36
12M 2013,"6,242 B","(1,185 B)","5,057 B",662.73
12M 2014,"6,470 B","(1,126 B)","5,344 B",700.46
12M 2015,"6,299 B","(1,472 B)","4,827 B",632.58
12M 2016,"6,684 B","(1,787 B)","4,897 B",641.83
12M 2017,"7,060 B","(1,609 B)","5,451 B",714.40
12M 2018,"7,915 B","(1,064 B)","6,850 B",897.80
12M 2019,"8,669 B","(1,449 B)","7,220 B",946.29
12M 2020,"8,364 B",(692 B),"7,672 B",201.10
12M 2021,"7,902 B",(687 B),"7,215 B",189.13
12M 2022,"8,061 B",(638 B),"7,423 B",194.57
12M 2023,"7,118 B",(835 B),"6,283 B",164.69
12M 2024,"3,960 B","(1,073 B)","2,887 B",75.68
