Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2009,,,,,,,,,,,,,,,1.11
12M 2010,102.11,,131.92,,3.57,,,,2.09,,0.48,,1.6,,2.58
12M 2011,115.61,,128.66,,3.16,6.13,,,2.22,4.23,0.44,0.82,2.04,2.04,1.71
12M 2012,116.6,,89.92,,3.13,2.8,,,2.58,2.54,0.46,0.42,1.28,1.28,3.65
12M 2013,125.98,,105.49,,2.9,2.71,,,2.35,2.25,0.4,0.38,0.78,0.78,6.75
12M 2014,133.77,,58.3,,2.73,2.15,,,2.4,2.37,0.39,0.37,1.12,1.12,2.89
12M 2015,134.41,,89.17,,2.72,3.49,,,2.35,2.43,0.34,0.34,3.46,3.46,1.4
12M 2016,106.52,,120.64,,3.43,3.14,,,3.17,3.21,0.41,0.4,1.58,1.58,2.65
12M 2017,137.65,,207.82,,2.65,2.58,,,3.31,3.36,0.38,0.37,1.42,1.42,2.24
12M 2018,116.57,,421.48,,3.13,4.96,,,2.92,2.96,0.3,0.29,4.98,4.98,1.14
12M 2019,85.11,,771.79,,4.29,3.68,,,2.72,2.78,0.26,0.25,-0.79,-0.79,0.62
12M 2020,105.49,,1149.86,,3.46,4.0,,,2.55,2.66,0.21,0.21,-0.45,-0.45,0.49
12M 2021,95.06,,1148.85,,3.84,4.21,,,2.76,2.85,0.21,0.21,-0.37,-0.37,0.44
12M 2022,85.9,,1153.17,,4.25,4.6,,,1.66,1.19,0.19,0.19,-0.26,-0.26,0.35
12M 2023,92.85,,1300.34,,3.93,4.34,,,0.88,0.9,0.14,0.14,-0.12,-0.12,0.23
