Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Adjustment,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi,Aset Dalam Pelaksanaan,Piutang Lain-Lain,Pihak Berelasi,Total Piutang Lain-Lain,Aset Tak Berwujud,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Utang Pajak,Beban Akrual,Liabilitas Derivatif,Dana Syirkah Temporer,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Utang Obligasi,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Adjustment,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Dana Syirkah Temporer,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,48944006728.000000,4360038700.000000,417849370324.000000,413733800730.000000,4115569594.000000,417849370324.000000,20291384079.000000,,,20291384079.000000,364784357636.000000,,48299960541.000000,904529118008.000000,,6952080717.000000,,1563222548.000000,,,,,199160304129.000000,52923107140.000000,260598714534.000000,1165127832542.000000,,,831755075270.000000,279592710206.000000,,149363232515.000000,312997254526.000000,462360487041.000000,2815591437.000000,11490771441.000000,1575671934.000000,,,,,,,,,,,73919843211.000000,831755075270.000000,18027629314.000000,,,,,,,1060360.000000,,18026568954.000000,18027629314.000000,849782704584.000000,,415560259500.000000,940000000.000000,-95762820635.000000,,,-95762820635.000000,269973664.000000,-5662284571.000000,315345127958.000000,1165127832542.000000,831120519.000000
12M 2009,,,32824450880.000000,154500000.000000,571499382393.000000,566869695087.000000,4629687306.000000,571499382393.000000,33359159257.000000,,,33359159257.000000,253460666541.000000,,69058062508.000000,960356221579.000000,,6635388129.000000,,3278661458.000000,,,,,212462042571.000000,55225371334.000000,277601463492.000000,1237957685071.000000,,,843860671910.000000,263280848692.000000,,229736723654.000000,195017112584.000000,424753836238.000000,89251244742.000000,5971431056.000000,8262013777.000000,,,,,,1924150842.000000,,,1924150842.000000,,50417146563.000000,843860671910.000000,18334218590.000000,,,3741270872.000000,,,3741270872.000000,4982600.000000,,14587965118.000000,18334218590.000000,862194890500.000000,,415560259500.000000,940000000.000000,-42199350770.000000,,,-42199350770.000000,308687837.000000,1153198004.000000,375762794571.000000,1237957685071.000000,831120519.000000
12M 2010,,,37210123084.000000,471087914.000000,501847779710.000000,501847779710.000000,,501847779710.000000,52129680905.000000,,,52129680905.000000,251280814192.000000,,49010102929.000000,891949588734.000000,,6572056671.000000,,2417730581.000000,,,,,210898326363.000000,14643052680.000000,234531166295.000000,1126480755029.000000,,,719231769224.000000,157032236182.000000,,320203598093.000000,149920213998.000000,470123812091.000000,51006877281.000000,3474820271.000000,1485037545.000000,,,,,,1955238178.000000,,,1955238178.000000,,34153747676.000000,719231769224.000000,21224511361.000000,,,1633473698.000000,,,1633473698.000000,9930350.000000,,19581107313.000000,21224511361.000000,740456280585.000000,,415560259500.000000,940000000.000000,-32133120559.000000,,,-32133120559.000000,504137499.000000,1153198004.000000,386024474444.000000,1126480755029.000000,831120519.000000
12M 2011,,,132922679125.000000,206803784203.000000,586024279396.000000,540308121442.000000,45716157954.000000,586024279396.000000,59992367012.000000,,,59992367012.000000,316069391959.000000,,55564153578.000000,1357376655273.000000,,7668130845.000000,,3035350813.000000,,,,,193288855939.000000,11670169367.000000,215662506964.000000,1573039162237.000000,,,1054553072579.000000,278283205689.000000,,546951902491.000000,119986619269.000000,666938521760.000000,43986127180.000000,7608088058.000000,8151101086.000000,,,,,,2605595226.000000,,,2605595226.000000,,46980433580.000000,1054553072579.000000,21840587167.000000,,,1875543460.000000,,,1875543460.000000,,,19965043707.000000,21840587167.000000,1076393659746.000000,,415560259500.000000,940000000.000000,78413771168.000000,,,78413771168.000000,578273819.000000,1153198004.000000,496645502491.000000,1573039162237.000000,831120519.000000
12M 2012,,,156850174509.000000,162364043.000000,774807258716.000000,763562463001.000000,11244795715.000000,774807258716.000000,100188001023.000000,,,100188001023.000000,321885974691.000000,,76723579858.000000,1430617352840.000000,,6466872807.000000,,11133269918.000000,,,,,232745037636.000000,17115822270.000000,267461002631.000000,1698078355471.000000,,,1072477833009.000000,127060385578.000000,,760181363300.000000,30196074310.000000,790377437610.000000,67779218899.000000,8943568259.000000,4732267289.000000,,,,,,1378794475.000000,248160359.000000,,1626954834.000000,,71958000540.000000,1072477833009.000000,22534469715.000000,,,1410751427.000000,167142151.000000,,1577893578.000000,,,20956576137.000000,22534469715.000000,1095012302724.000000,,415560259500.000000,940000000.000000,185409605837.000000,,,185409605837.000000,2989406.000000,1153198004.000000,603066052747.000000,1698078355471.000000,831120519.000000
12M 2013,,,98190561686.000000,18746777.000000,888289210329.000000,886866554227.000000,1422656102.000000,888289210329.000000,88987589243.000000,,,88987589243.000000,365801446338.000000,,65978882039.000000,1507266436412.000000,,3418003990.000000,,23200137921.000000,,,,,293146493185.000000,128799249562.000000,448563884658.000000,1955830321070.000000,,,1328173841664.000000,337359547673.000000,,775304796626.000000,52068429722.000000,827373226348.000000,65750427358.000000,1788931679.000000,19066589194.000000,,,,4797425822.000000,,979356691.000000,250405590.000000,,6027188103.000000,,70807931309.000000,1328173841664.000000,26407460443.000000,,15587574178.000000,141743794.000000,180023083.000000,,15909341055.000000,,,10498119388.000000,26407460443.000000,1354581302107.000000,,415560259500.000000,940000000.000000,183595561459.000000,2000000000.000000,181595561459.000000,183595561459.000000,,1153198004.000000,601249018963.000000,1955830321070.000000,831120519.000000
12M 2014,,,33328783565.000000,5401480917.000000,538965234722.000000,538956141206.000000,9093516.000000,538965234722.000000,56497817080.000000,,,56497817080.000000,437889107015.000000,,88963322709.000000,1161045746008.000000,,32871515102.000000,,14190382574.000000,,,,,304976104296.000000,40820851162.000000,392858853134.000000,1553904599142.000000,,,1002912808674.000000,415897729003.000000,,471426589116.000000,6339062400.000000,477765651516.000000,59336192853.000000,2880712997.000000,5212094430.000000,4756621491.000000,431126850.000000,,5651056768.000000,,221035563.000000,156310094.000000,,6028402425.000000,,30604277109.000000,1002912808674.000000,35136605091.000000,,15806468022.000000,161782107.000000,51181758.000000,,16019431887.000000,,8307933680.000000,10809239524.000000,35136605091.000000,1038049413765.000000,,415560259500.000000,940000000.000000,98201727873.000000,3000000000.000000,95201727873.000000,98201727873.000000,,1153198004.000000,515855185377.000000,1553904599142.000000,831120519.000000
12M 2015,,,78857548545.000000,5562226821.000000,546126243676.000000,490998775676.000000,55127468000.000000,546126243676.000000,20980611739.000000,,,20980611739.000000,428533328072.000000,,71902735249.000000,1151962694102.000000,,36034301848.000000,,22383026993.000000,,,,,286291542830.000000,39573068783.000000,384281940454.000000,1536244634556.000000,,,986156352701.000000,542395254237.000000,,380470981747.000000,1998895500.000000,382469877247.000000,5585408910.000000,2366102547.000000,11283606533.000000,,502909236.000000,,5698415385.000000,,121333679.000000,51181758.000000,,5870930822.000000,,35682263169.000000,986156352701.000000,40435353983.000000,,10108052637.000000,40448428.000000,,,10148501065.000000,,7805024509.000000,22481828409.000000,40435353983.000000,1026591706684.000000,,415560259500.000000,940000000.000000,89820742886.000000,3000000000.000000,86820742886.000000,89820742886.000000,,3331925486.000000,509652927872.000000,1536244634556.000000,831120519.000000
12M 2016,,,75959925517.000000,5571658103.000000,652395292537.000000,606259771237.000000,46135521300.000000,652395292537.000000,53649556111.000000,,,53649556111.000000,443479179250.000000,,60261580154.000000,1291317191672.000000,,6932756005.000000,,20131991203.000000,,,,,294723998885.000000,55104156713.000000,376892902806.000000,1668210094478.000000,,,968322757177.000000,393853661070.000000,,459124333793.000000,13524566981.000000,472648900774.000000,40804489284.000000,11632094792.000000,9360575279.000000,,,,5703050334.000000,,36590065.000000,117195829.000000,,5856836228.000000,,34166199750.000000,968322757177.000000,30843785413.000000,,4341786330.000000,,173183583.000000,,4514969913.000000,,,26328815500.000000,30843785413.000000,999166542590.000000,,415560259500.000000,940000000.000000,249866616279.000000,3000000000.000000,246866616279.000000,249866616279.000000,,2676676109.000000,669043551888.000000,1668210094478.000000,831120519.000000
12M 2017,,,154381240915.000000,13530796681.000000,714558597427.000000,669604677427.000000,44953920000.000000,714558597427.000000,58088905052.000000,,,58088905052.000000,653016684959.000000,,74079809863.000000,1667656034897.000000,,11805296651.000000,,33916176807.000000,,,,,305671637987.000000,91117350253.000000,442510461698.000000,2110166496595.000000,,,1260868218485.000000,479135275627.000000,,640327607177.000000,17465704993.000000,657793312170.000000,9364089780.000000,23468404442.000000,11505410269.000000,10669582.000000,,,4341786330.000000,,,309917823.000000,,4651704153.000000,,74939352462.000000,1260868218485.000000,35175971717.000000,,,,327866741.000000,,327866741.000000,,,34848104976.000000,35175971717.000000,1296044190202.000000,,415560259500.000000,940000000.000000,399449165238.000000,4000000000.000000,395449165238.000000,399449165238.000000,,-1827118345.000000,814122306393.000000,2110166496595.000000,4155602595.000000
