Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan Dan Lainnya,"Pembayaran Kas Kepada Pemasok, Karyawan, Dan Lainnya",Penerimaan Dari Pendapatan Bunga,Penerimaan Dari Restitusi Pajak,Pembayaran (Pembayaran) Pajak - Bersih,Pembayaran Beban Bunga,Pembayaran Deviden,Penerimaan Dari Kegiatan Operasi Lainnya,Pembayaran Beban Operasi,Pembayaran Untuk Kegiatan Operasi Lainnya,Pembayaran Kas Kepada Karyawan,Pembayaran Imbalan Karyawan,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penempatan (Penurunan) Kas Dan Setara Kas Yang Dibatasi Penggunaannya,Penjualan Aset Tetap,Penjualan Atas Investasi,Hasil Penjualan Entitas Anak,Penerimaan (Penempatan) Deposito Berjangka - Bersih,Pencairan Deposito Berjangka,Penerimaan Deviden,Pembayaran Penyertaan Saham,Pencairan (Penempatan) Investasi Jangka Pendek,Penambahan Aset Tidak Berwujud,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan (Pembayaran) Utang Bank - Bersih,Penerimaan Dari Dana Syirkah Temporer,Penerimaan Dari Transaksi Jual Dan Sewa Kembali - Bersih,Pembayaran Hutang Bank Jangka Pendek,Pembayaran Hutang Bank Jangka Panjang,Penerimaan Dari Hutang Bank,Penerimaan Dari Hutang Bank Jangka Panjang,Pembayaran Bunga Bank,Penambahan Dana Yang Terbatas Penggunaanya,Penurunan (Kenaikan) Dana Yang Terbatas Penggunaannya,Pembayaran Utang Sewa Guna Usaha Dan Pembiayaan Konsumen,Penerimaan Liabilitas Sewa,Pembayaran Liabilitas Sewa,Pembayaran Untuk Aktifitas Pendanaan Lainnya,Penerimaan Untuk Aktifitas Pendanaan Lainnya,Penambahan Dana Atas Penerbitan Obligasi,Pembayaran Utang Obligasi,Pembayaran Dividen,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Penyesuaian Terhadap Entitas Anak Yang Didekonsolidasikan,Kas Dan Setara Kas Awal Tahun-Entitas Anak Mbg,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2008,-15602207045.000000,540183551789.000000,-359439778952.000000,950805006.000000,7684439104.000000,-89505107638.000000,-17009898372.000000,,,,-98466217982.000000,,,,-15602207045.000000,-99756477255.000000,-10582522823.000000,742164639.000000,,,,,,,,,-89916119071.000000,-99756477255.000000,141334076843.000000,141334076843.000000,,,,,,,,,,,,,,,,,,141334076843.000000,,-27109263913.000000,-1133871370.000000,50077878098.000000,,,-27109263913.000000,27109263913.000000,48944006728.000000
12M 2009,27307165942.000000,688784596864.000000,-485398797972.000000,307193903.000000,,-52535608034.000000,-40619792387.000000,,,-10481579297.000000,-72748847135.000000,,,,27307165942.000000,-31122751155.000000,-1668319650.000000,42500000.000000,,,17625000.000000,,,,,,-29514556505.000000,-31122751155.000000,-16770618953.000000,165237340703.000000,,,-181549202218.000000,,,,,,,-458757438.000000,,,,,,,,-16770618953.000000,,4466648318.000000,-16119555848.000000,48944006728.000000,,,4466648318.000000,-4466648318.000000,32824450880.000000
12M 2010,114921610808.000000,884251537083.000000,-644072192807.000000,282981299.000000,29796083301.000000,-17863885645.000000,-30138884431.000000,,,-8916510464.000000,-98417517528.000000,,,,114921610808.000000,-34199616482.000000,-8546615259.000000,304545457.000000,,,50000000.000000,,,,,,-26007546680.000000,-34199616482.000000,-106438438525.000000,43687076248.000000,,,-148248611380.000000,,,,,,,-1876903393.000000,,,,,,,,-106438438525.000000,,-4385672202.000000,-30102116401.000000,32824450880.000000,,,4385672202.000000,30102116400.000000,37210123081.000000
12M 2011,138014318426.000000,1859392342628.000000,-1577557807755.000000,280428226.000000,14742199251.000000,-41168814606.000000,-20129710362.000000,,,,-97544318956.000000,,,,138014318426.000000,-175857110525.000000,-119474660383.000000,23299595455.000000,,,-69895500000.000000,,,,,,-9786545597.000000,-175857110525.000000,119112061861.000000,121253969508.000000,,,,,,,,,,-2141907647.000000,,,,,,,,119112061861.000000,,,81269269762.000000,37210123084.000000,,,14443286281.000000,,132922679127.000000
12M 2012,104783511298.000000,3042312053493.000000,-2704862941639.000000,705163512.000000,6731362350.000000,-69418852034.000000,-18618034971.000000,,,,-152065239413.000000,,,,104783511298.000000,9404853276.000000,,12292995000.000000,,,70000000000.000000,,,,,,-72888141724.000000,9404853276.000000,-57418530613.000000,-151222820111.000000,,,,,,,,,136641420160.000000,-3210703213.000000,,,,,,,-39626427449.000000,-57418530613.000000,,,56769833961.000000,132922679125.000000,,,-32842338577.000000,,156850174509.000000
12M 2013,308725401687.000000,2635666026562.000000,-2020247519917.000000,524084537.000000,,-119923441525.000000,-19112171889.000000,,,,-162603513983.000000,,-5578062098.000000,,308725401687.000000,-95324050139.000000,,183266667.000000,,,541667333.000000,,,,,,-96048984139.000000,-95324050139.000000,-253641898604.000000,-209610735649.000000,,,,,,,,,138685566.000000,-2444040569.000000,,,,,,,-41725807952.000000,-253641898604.000000,,,-40240547056.000000,156855106209.000000,,1663909154.000000,-20087906621.000000,,98190561686.000000
12M 2014,-72598588767.000000,2310427663793.000000,-2238881450764.000000,385213747.000000,139810352855.000000,-110125931858.000000,-34834291717.000000,,,,-136566306673.000000,,-2813838150.000000,,-72598588767.000000,-45253976589.000000,,424500000.000000,,,172630133.000000,,,,,,-45851106722.000000,-45253976589.000000,81021772959.000000,79610706123.000000,8739060530.000000,,,,,,,,-5382734140.000000,-1945259554.000000,,,,,,,,81021772959.000000,,,-36830792397.000000,98190561686.000000,,,-28030985724.000000,,33328783565.000000
12M 2015,16054543972.000000,1753508294937.000000,-1556196512397.000000,545185988.000000,45826737383.000000,-76073586099.000000,-45716698722.000000,,,,-102503026348.000000,,-3335850770.000000,,16054543972.000000,-18005156251.000000,,,,,,,,,,,-18005156251.000000,-18005156251.000000,116813094122.000000,122221807631.000000,-2725065256.000000,,,,,,-2109996197.000000,,-160745904.000000,-412906152.000000,,,,,,,,116813094122.000000,,,114862481843.000000,33328783565.000000,,,-69333716863.000000,,78857548545.000000
12M 2016,194253220963.000000,2028824763207.000000,-1586030142291.000000,933118033.000000,40239305669.000000,-61071508582.000000,-72329213903.000000,,,,-154785818570.000000,,-1527282600.000000,,194253220963.000000,-38186417252.000000,,57072727.000000,,,,,,,,,-38243489979.000000,-38186417252.000000,-162905900418.000000,-154303224484.000000,-8307933745.000000,,,,,,,,-43101093.000000,-251641096.000000,,,,,,,,-162905900418.000000,,,-6839096707.000000,78857548545.000000,,,3941473679.000000,,75959925517.000000
12M 2017,68692517377.000000,2304660983415.000000,-1935778729961.000000,970698541.000000,55819301082.000000,-125333754671.000000,-42974349246.000000,,,,-184361860222.000000,,-4309771561.000000,,68692517377.000000,-41376621460.000000,,621799726.000000,,,,,,,,,-41998421186.000000,-41376621460.000000,54915686776.000000,79578567179.000000,,,,,,,,,-7959138578.000000,-187577025.000000,,,,,,,-16516164800.000000,54915686776.000000,,,82231582693.000000,-3810267295.000000,,,75959925517.000000,,154381240915.000000
