Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Others,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Investasi Pada Entitas Asosiasi,Aset Pajak Tangguhan,Aset Tetap,Aset Tak Berwujud,Aset Real Estat,Adjustment,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Utang Pihak Berelasi,Bagian Lancar Atas Liabilitas Jangka Panjang,Pinjaman Jangka Panjang Lainnya,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Adjustment,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Pinjaman Jangka Panjang Lainnya,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,2415824390.000000,31559030622.000000,29282621325.000000,2276409297.000000,,31559030622.000000,7380213452.000000,829652277.000000,6550561175.000000,7380213452.000000,21198946585.000000,1811399168.000000,64365414217.000000,,54825677553.000000,,4961297621.000000,93572660458.000000,6305691722.000000,,,3526548684.000000,163191876038.000000,227557290255.000000,,,73616904377.000000,98414968.000000,,30918962832.000000,20227719641.000000,51146682473.000000,,1884826648.000000,13808447177.000000,15693273825.000000,2312204224.000000,940953571.000000,,,3285000000.000000,,140375316.000000,,3425375316.000000,,,73616904377.000000,89330779435.000000,,,,77571944339.000000,,88300933.000000,11670534163.000000,89330779435.000000,,89330779435.000000,162947683812.000000,,634475488500.000000,14144701250.000000,-665772548466.000000,,81761965159.000000,64609606443.000000,227557290255.000000,1268950977.000000
12M 2009,,,3312388297.000000,27899172763.000000,27899172763.000000,,,27899172763.000000,4953967236.000000,1679853552.000000,3274113684.000000,4953967236.000000,21890178346.000000,3370777846.000000,61426484488.000000,,47836776547.000000,,5497785937.000000,96162430287.000000,4798544474.000000,,,2714537630.000000,157010074875.000000,218436559363.000000,,,77916076158.000000,14753011.000000,,24395948272.000000,35589362139.000000,59985310411.000000,,2513684023.000000,11780232448.000000,14293916471.000000,1333481025.000000,944405434.000000,,,,300257902.000000,1043951904.000000,,1344209806.000000,,,77916076158.000000,67654218515.000000,,,,52472640802.000000,625600155.000000,2103399725.000000,12452577833.000000,67654218515.000000,,67654218515.000000,145570294673.000000,,634475488500.000000,14144701250.000000,-657515890219.000000,,81761965159.000000,72866264690.000000,218436559363.000000,1268950977.000000
12M 2010,,,2960024928.000000,30069207611.000000,30069207611.000000,,,30069207611.000000,52765850722.000000,2191898947.000000,50573951775.000000,52765850722.000000,20937598806.000000,2097457134.000000,108830139201.000000,,,,4364969767.000000,94528796910.000000,3291397226.000000,,,2273419011.000000,104458582914.000000,213288722115.000000,,,88460664236.000000,1875406661.000000,,36467416392.000000,24422687602.000000,60890103994.000000,,3647004322.000000,11779139448.000000,15426143770.000000,2226349267.000000,2122439540.000000,,,4495500000.000000,374696081.000000,1050024923.000000,,5920221004.000000,,,88460664236.000000,50329446272.000000,,,,35324186937.000000,285061923.000000,1053374801.000000,13666822611.000000,50329446272.000000,,50329446272.000000,138790110508.000000,,634475488500.000000,14144701250.000000,-655883543302.000000,,81761965159.000000,74498611607.000000,213288722115.000000,1268950977.000000
12M 2011,,,11796993311.000000,29953961937.000000,29953961937.000000,,,29953961937.000000,2693037297.000000,1561525359.000000,1131511938.000000,2693037297.000000,16088353568.000000,2475076027.000000,63007422140.000000,,,35123437317.000000,3775663495.000000,84157921152.000000,1385513546.000000,,,2305364728.000000,126747900238.000000,189755322378.000000,,,58591712017.000000,3386467174.000000,,25834197929.000000,8746950085.000000,34581148014.000000,,3014561022.000000,12296029489.000000,15310590511.000000,3029217250.000000,945852344.000000,,,,285061923.000000,1053374801.000000,,1338436724.000000,,,58591712017.000000,43667657332.000000,,,,30316715404.000000,,,13350941928.000000,43667657332.000000,,43667657332.000000,102259369349.000000,,634475488500.000000,14144701250.000000,-642883928911.000000,-2272969.000000,81761965159.000000,87495953029.000000,189755322378.000000,1268950977.000000
12M 2012,,,5408549673.000000,30018156117.000000,30018156117.000000,,,30018156117.000000,1986894717.000000,844195544.000000,1142699173.000000,1986894717.000000,16994338701.000000,15326248458.000000,69734187666.000000,,,,,81226694854.000000,1827877694.000000,,,1512439756.000000,84567012304.000000,154301199970.000000,,,49820780845.000000,14946847903.000000,,21862253173.000000,666270000.000000,22528523173.000000,,3203401583.000000,3470681112.000000,6674082695.000000,3422885527.000000,831774347.000000,,,1416667200.000000,,,,1416667200.000000,,,49820780845.000000,2211726847.000000,,558950047.000000,1652776800.000000,,,,12697606928.000000,1652776800.000000,,2211726847.000000,52032507692.000000,,634475488500.000000,14144701250.000000,-559071229513.000000,22125113.000000,,89571085350.000000,141603593042.000000,1268950977.000000
12M 2013,,,4160114655.000000,38071238433.000000,38071238433.000000,,,38071238433.000000,3876619016.000000,1773118370.000000,2103500646.000000,3876619016.000000,23723690378.000000,47118927486.000000,116950589968.000000,,,,,49655161487.000000,1966226875.000000,,,752450825.000000,52373839187.000000,169324429155.000000,,,71818290158.000000,26908696227.000000,,28080762182.000000,10983841072.000000,39064603254.000000,,3355409348.000000,38803000.000000,3394212348.000000,1389928876.000000,1060849453.000000,,,,,,,,,,71818290158.000000,12761609481.000000,,406114270.000000,,,,,12355495211.000000,12355495211.000000,,12761609481.000000,84579899639.000000,,634475488500.000000,14144701250.000000,-563897795847.000000,22135613.000000,,84744529516.000000,169324429155.000000,1268950977.000000
12M 2014,,,12803126865.000000,48335488758.000000,48635788159.000000,1717188000.000000,-2017487401.000000,48335488758.000000,2590321127.000000,1580306911.000000,1010014216.000000,2590321127.000000,43125045307.000000,29475541469.000000,136329523526.000000,,,,,57029575576.000000,1745710375.000000,9160031432.000000,,686658346.000000,68621975729.000000,204951499255.000000,,,67122022377.000000,5045008663.000000,,35693752228.000000,16645754195.000000,52339506423.000000,,5052338954.000000,34433000.000000,5086771954.000000,3650255426.000000,1000479911.000000,,,,,,,,,,67122022377.000000,13634980402.000000,,274658416.000000,,,,,13360321986.000000,13360321986.000000,,13634980402.000000,80757002779.000000,,634475488500.000000,14144701250.000000,-524447828887.000000,22135613.000000,,124194496476.000000,204951499255.000000,1268950977.000000
12M 2015,,,12803126865.000000,48335488758.000000,48635788159.000000,1717188000.000000,-2017487401.000000,48335488758.000000,2590321127.000000,1580306911.000000,1010014216.000000,2590321127.000000,43125045307.000000,29475541469.000000,136329523526.000000,,,,,57029575576.000000,1745710375.000000,9160031432.000000,,686658346.000000,68621975729.000000,204951499255.000000,,,67122022377.000000,5045008663.000000,,35693752228.000000,16645754195.000000,52339506423.000000,,5052338954.000000,34433000.000000,5086771954.000000,3650255426.000000,1000479911.000000,,,,,,,,,,67122022377.000000,12555420423.000000,,274658416.000000,,,,,12280762007.000000,12280762007.000000,,12555420423.000000,79677442800.000000,,634475488500.000000,14144701250.000000,-524593677468.000000,22135613.000000,1225408560.000000,125274056455.000000,204951499255.000000,1268950977.000000
12M 2016,,,17063134460.000000,69342099097.000000,68512347097.000000,829752000.000000,,69342099097.000000,9254089403.000000,694710268.000000,8559379135.000000,9254089403.000000,34502961972.000000,17867953220.000000,148030238152.000000,,,,,68887404787.000000,1741961223.000000,8589889638.000000,,1807128537.000000,81026384185.000000,229056622337.000000,,,80869970736.000000,29119597671.000000,,40777403384.000000,804870000.000000,41582273384.000000,,2360293770.000000,34433000.000000,2394726770.000000,6684935849.000000,1088437062.000000,,,,,,,,,,80869970736.000000,19202611597.000000,,695454597.000000,,,,,18507157000.000000,18507157000.000000,,19202611597.000000,100072582333.000000,,634475488500.000000,14444701250.000000,-519958285359.000000,22135613.000000,,128984040004.000000,229056622337.000000,1268950977.000000
12M 2017,,,204441092202.000000,75674348226.000000,74497404326.000000,1176943900.000000,,75674348226.000000,13312563555.000000,2041479278.000000,11271084277.000000,13312563555.000000,39027160190.000000,29254995382.000000,361710159555.000000,,,,,48570519238.000000,,473717866.000000,,309475139.000000,49353712243.000000,411063871798.000000,,,82369918242.000000,,,47789273752.000000,27569497694.000000,75358771446.000000,,2911919833.000000,,2911919833.000000,2813295087.000000,1285931876.000000,,,,,,,,,,82369918242.000000,32061030648.000000,,527305425.000000,,,,,22272253000.000000,22272253000.000000,9261472223.000000,32061030648.000000,114430948890.000000,,634475488500.000000,14444701250.000000,-352309402455.000000,22135613.000000,,296632922908.000000,411063871798.000000,1268950977.000000
