Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada:,Pemasok,"Gaji, Upah Dan Imbalan Kerja",Beban Usaha,Aset Hak Guna Untuk Operasi,Total Pembayaran Kas Kepada:,Penerimaan Kas Dari:,Penghasilan Bunga,Lain-Lain,Total Penerimaan Kas Dari:,Pembayaran Pajak Dan Denda Pajak - Setelah Dikurangi Restitusi Pajak,Pembayaran Beban Bunga,Pembayaran Beban Imbalan Kerja,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Investasi Dalam Entitas Sepengendali,Hasil Penjualan Aset Tetap,Hasil Penjualan Aset Tidak Lancar Dimiliki Untuk Dijual,(Kenaikan) Penurunan Deposito Berjangka Yang Dibatasi Penggunaannya,Uang Muka Untuk Perolehan Aset Tetap,Perolehan Aset Tetap,Perolehan Aset Tetap - Termasuk Uang Muka Pembelian Kendaraan Melalui Pembiayaan Konsumen,Perolehan Aset Tetap - Termasuk Uang Muka Pembelian Kendaraan Sewa Pembiayaan,Total Perolehan Aset Tetap,Penjualan Aset Real Estat,Pembayaran Liabilitas Aset,Perolehan Aset Real Estat,Pembayaran Aset Hak Guna,Penerimaan Dari Piutang Lain-Lain - Pihak Berelasi,Penerimaan (Pembayaran) Uang Muka Penjualan Tanah,Hasil Penjualan Rumah Toko,Penambahan Aset Tidak Berwujud,Pembayaran Untuk Penambahan Investasi Pada Entitas Asosiasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pengurangan (Penambahan) Piutang Afilliasi,Penambahan (Pengurangan) Hutang Afilliasi,Penerimaan Dari Utang Jangka Pendek,Pembayaran Utang Jangka Pendek/Utang Cerukan,Pembayaran Kas Untuk Bunga Atas Utang Bank Jangka Pendek,Perolehan Pinjaman Pihak Berelasi,Penerimaan Dari Utang Jangka Panjang,Pembayaran Utang Jangka Panjang,Pembayaran Utang Sewa Pembiayaan,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Liabilitas Sewa,Pembayaran Bunga Liabilitas Sewa,Kas Yang Diterima Dari Penanam Modal,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,-167707635.000000,523694106240.000000,,-467571950532.000000,-22930278924.000000,-31529319201.000000,,-522031548657.000000,,264753978.000000,,264753978.000000,-719409446.000000,-703439625.000000,-672170125.000000,-167707635.000000,3057183840.000000,,1882894543.000000,,2350000000.000000,,,-1426396003.000000,-61584700.000000,-1487980703.000000,,,,,312270000.000000,,,,,3057183840.000000,-2171249502.000000,,,,,,,,-1823200000.000000,-348049502.000000,,,,,-2171249502.000000,718226703.000000,1599182719.000000,,2317409422.000000
12M 2009,13503596200.000000,515408727005.000000,,-454557241029.000000,-22981350366.000000,-22162782949.000000,,-499701374344.000000,,131039197.000000,491000.000000,131530197.000000,-1667319472.000000,-667967186.000000,,13503596200.000000,6088900227.000000,,1104119092.000000,,-250000000.000000,,,-1405819871.000000,-348300000.000000,-1754119871.000000,,,,,6988901006.000000,,,,,6088900227.000000,-18612270563.000000,,,,,,,,-18326904000.000000,-216024620.000000,-69341943.000000,,,,-18612270563.000000,980225864.000000,2317409422.000000,,3297635286.000000
12M 2010,9119061858.000000,428855094565.000000,,-381990324763.000000,-24173533046.000000,-10165417643.000000,,-416329275452.000000,,110338181.000000,344000.000000,110682181.000000,-2557074364.000000,-960365072.000000,,9119061858.000000,-513100919.000000,,320204546.000000,,250000000.000000,,,-1589555215.000000,,-1589555215.000000,,,,,506249750.000000,,,,,-513100919.000000,-10818977958.000000,,,,,,,,-9117006000.000000,-1043951905.000000,-658020053.000000,,,,-10818977958.000000,-2213017019.000000,3297635286.000000,,1084618267.000000
12M 2011,-11769228575.000000,400964165917.000000,,-378409909947.000000,-22634617764.000000,-10906823658.000000,,-411951351369.000000,,118035765.000000,756000.000000,118791765.000000,,-900834888.000000,,-11769228575.000000,30415225841.000000,,14255152271.000000,,-170000000.000000,,,-299453227.000000,,-299453227.000000,,,,,47330526797.000000,11999000000.000000,,,-42700000000.000000,30415225841.000000,-8320181004.000000,,,3000000000.000000,,,,,-9895460000.000000,-1050024923.000000,-374696081.000000,,,,-8320181004.000000,10325816262.000000,1084618267.000000,91608.000000,11410526137.000000
12M 2012,-17681946255.000000,407089059957.000000,,-390577973663.000000,-22810372411.000000,-6699867795.000000,,-420088213869.000000,,155483277.000000,,155483277.000000,,-4838275620.000000,,-17681946255.000000,30282841444.000000,36210063391.000000,6863111815.000000,,1070000000.000000,,,-1928483762.000000,,-1928483762.000000,,,,,,-11931850000.000000,,,,30282841444.000000,-25050494685.000000,,,18500000000.000000,-13000000000.000000,,,4250000000.000000,-33462057961.000000,-1053374801.000000,-285061923.000000,,,,-25050494685.000000,-12449599496.000000,11410526137.000000,775129.000000,-1038298230.000000
12M 2013,-12491036940.000000,416173392642.000000,,-377611091655.000000,-22272369463.000000,-26428941231.000000,,-426312402349.000000,,22412137.000000,,22412137.000000,,-2374439370.000000,,-12491036940.000000,2337865909.000000,,1882245910.000000,,600000000.000000,,,-76230001.000000,,-76230001.000000,,,,,-68150000.000000,,,,,2337865909.000000,6330556000.000000,,,10000000000.000000,-600000000.000000,,,,-3069444000.000000,,,,,,6330556000.000000,-3822615031.000000,-1038298230.000000,12331689.000000,-4848581572.000000
12M 2014,-25490768531.000000,497980369607.000000,,-468882091992.000000,-22845206227.000000,-30566278820.000000,,-522293577039.000000,,597933792.000000,,597933792.000000,,-1775494891.000000,,-25490768531.000000,55996350848.000000,,1027999998.000000,75000000000.000000,,-289800000.000000,-10852104850.000000,,,-10852104850.000000,,,-8889744300.000000,,,,,,,55996350848.000000,-12900000000.000000,,,32500000000.000000,-45400000000.000000,,,,,,,,,,-12900000000.000000,17605582317.000000,1117457.000000,-4848581572.000000,12758118202.000000
12M 2015,-25490768531.000000,497980369607.000000,,-468882091992.000000,-23062200839.000000,-30349284208.000000,,-522293577039.000000,,597933792.000000,,597933792.000000,,-1775494891.000000,,-25490768531.000000,55996350848.000000,,1027999998.000000,75000000000.000000,,-289800000.000000,-10852104850.000000,,,-10852104850.000000,,,-8889744300.000000,,,,,,,55996350848.000000,-12900000000.000000,,,32500000000.000000,-45400000000.000000,,,,,,,,,,-12900000000.000000,17605582317.000000,1117457.000000,-4848581572.000000,12758118202.000000
12M 2016,6959873951.000000,847453500599.000000,,-777148717067.000000,-40376621501.000000,-19684409031.000000,,-837209747599.000000,,703699187.000000,,703699187.000000,,-3987578236.000000,,6959873951.000000,-9361536139.000000,,63545456.000000,,,-1291890000.000000,-9362647175.000000,,,-9362647175.000000,,,,,,,1681818180.000000,-452362600.000000,,-9361536139.000000,2000000000.000000,,,12500000000.000000,-10500000000.000000,,,,,,,,,,2000000000.000000,-401662188.000000,-4225150.000000,9849424127.000000,9443536789.000000
12M 2017,-34798784.000000,982725499440.000000,,-873026712116.000000,-47157626700.000000,-63279362459.000000,,-983463701275.000000,,1523038504.000000,,1523038504.000000,,-819635453.000000,,-34798784.000000,218921960678.000000,,216344528203.000000,,,,-4516838036.000000,,,-4516838036.000000,,,,,,,7451000000.000000,-356729489.000000,,218921960678.000000,-23891486111.000000,,,14000000000.000000,-35500000000.000000,-2391486111.000000,,,,,,,,,-23891486111.000000,194995675783.000000,1879630.000000,9443536789.000000,204441092202.000000
