Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Investasi Jangka Pendek,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Adjustment,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146991176.000000
12M 2012,,,,,,,,,,,,,,,,,,,,36000.000000,,,,,,,,,,,,,,,,,36000.000000,36000.000000,,,,,,,,,,36000.000000,,,,,,,,,,,36000.000000,2099873760.000000
12M 2013,,,165349291716.000000,57371732073.000000,57371732073.000000,57371732073.000000,1923412333.000000,693067236229.000000,15240750286.000000,60933234428.000000,993885657065.000000,,2748834578.000000,218745061722.000000,13631707516.000000,235125603816.000000,1229011260881.000000,,,409006110315.000000,190913911646.000000,,1359407052.000000,127055238415.000000,128414645467.000000,,129654285.000000,46578797279.000000,46708451564.000000,27576404967.000000,6090650880.000000,,7114559628.000000,1366472826.000000,,8481032454.000000,821013337.000000,409006110315.000000,,38645846041.000000,,11433708783.000000,,11433708783.000000,,27212137258.000000,38645846041.000000,447651956356.000000,,209987376000.000000,303627463232.000000,266757137487.000000,2000000000.000000,264757137487.000000,266757137487.000000,930628359.000000,56699447.000000,781359304525.000000,1229011260881.000000,2099873760.000000
12M 2014,,,75162596823.000000,72063454460.000000,72063454460.000000,72063454460.000000,2617533092.000000,753511490458.000000,16084458973.000000,80277799843.000000,999717333649.000000,,2474553922.000000,309830060177.000000,20885728037.000000,333190342136.000000,1332907675785.000000,,,439445908771.000000,223792618391.000000,,2510444451.000000,173159529954.000000,175669974405.000000,,109099446.000000,17755140697.000000,17864240143.000000,7766479626.000000,7323257007.000000,,6732059628.000000,,,6732059628.000000,297279571.000000,439445908771.000000,,39036668424.000000,,4701649155.000000,,4701649155.000000,1041117253.000000,33293902016.000000,39036668424.000000,478482577195.000000,,209987376000.000000,303627463232.000000,339224400540.000000,4000000000.000000,335224400540.000000,339224400540.000000,1087062973.000000,498795845.000000,854425098590.000000,1332907675785.000000,2099873760.000000
12M 2015,,,91875822118.000000,62343695804.000000,62343695804.000000,62343695804.000000,1233192566.000000,762247944395.000000,16181408514.000000,54931941998.000000,988814005395.000000,,4781020574.000000,331748299750.000000,17356719672.000000,353886039996.000000,1342700045391.000000,,,341705551602.000000,277719667022.000000,,1348917316.000000,23211614009.000000,24560531325.000000,,821226514.000000,15459566898.000000,16280793412.000000,10041475402.000000,8001844302.000000,,4701649157.000000,,,4701649157.000000,399590982.000000,341705551602.000000,,57285512883.000000,,,,,1001570840.000000,56283942043.000000,57285512883.000000,398991064485.000000,,209987376000.000000,303627463232.000000,428744012533.000000,5000000000.000000,423744012533.000000,428744012533.000000,1206904390.000000,143224751.000000,943708980906.000000,1342700045391.000000,2099873760.000000
12M 2016,,,60923942562.000000,63044844590.000000,63044844590.000000,63044844590.000000,1229551482.000000,778304640349.000000,16386553412.000000,77035539245.000000,996925071640.000000,,5064522773.000000,330448090705.000000,21196447157.000000,356709060635.000000,1353634132275.000000,,,293711761060.000000,213268127566.000000,,1073863339.000000,41996072792.000000,43069936131.000000,,107690422.000000,28012237579.000000,28119928001.000000,1196140436.000000,8014856126.000000,,,,,,42772800.000000,293711761060.000000,,68828979411.000000,,,,,550173444.000000,68278805967.000000,68828979411.000000,362540740471.000000,,209987376000.000000,303627463232.000000,476639018175.000000,6000000000.000000,470639018175.000000,476639018175.000000,1259435837.000000,-419901440.000000,991093391804.000000,1353634132275.000000,2099873760.000000
12M 2017,,,58422055079.000000,57168038260.000000,57168038260.000000,57168038260.000000,239735139.000000,668157271315.000000,13516062472.000000,63669143968.000000,861172306233.000000,,9297073178.000000,312881022672.000000,42361690958.000000,364539786808.000000,1225712093041.000000,,,160790695868.000000,77751318929.000000,,659826825.000000,35228160578.000000,35887987403.000000,,29628000.000000,34346162662.000000,34375790662.000000,4046318662.000000,8115118646.000000,,,,,,614161566.000000,160790695868.000000,,86830036062.000000,,,,,,86830036062.000000,86830036062.000000,247620731930.000000,,209987376000.000000,303627463232.000000,462694384803.000000,7000000000.000000,455694384803.000000,462694384803.000000,1236795346.000000,545341730.000000,978091361111.000000,1225712093041.000000,2099873760.000000
12M 2018,,,87068080028.000000,61016793283.000000,61016793283.000000,61016793283.000000,2489066986.000000,652607840376.000000,17390283973.000000,68407677098.000000,888979741744.000000,,14417712583.000000,319990859164.000000,32185601067.000000,366594172814.000000,1255573914558.000000,,,150202377711.000000,19325912325.000000,,7500000.000000,82874730951.000000,82882230951.000000,,1389490250.000000,35684810822.000000,37074301072.000000,4590837429.000000,6329095934.000000,,,,,,,150202377711.000000,,100134734182.000000,,,,,,100134734182.000000,100134734182.000000,250337111893.000000,,209987376000.000000,303627463232.000000,490087506833.000000,8000000000.000000,482087506833.000000,490087506833.000000,1259528070.000000,274928530.000000,1005236802665.000000,1255573914558.000000,2099873760.000000
12M 2019,,,265018537191.000000,65469580123.000000,65469580123.000000,65469580123.000000,640323228.000000,552888701245.000000,14576866437.000000,49836155759.000000,948430163983.000000,,12111552052.000000,329061638626.000000,9918253895.000000,351091444573.000000,1299521608556.000000,,,157443942631.000000,20252060339.000000,,,84198554600.000000,84198554600.000000,,28869000.000000,29911559343.000000,29940428343.000000,5910744954.000000,6758687514.000000,,7857166428.000000,,,7857166428.000000,2526300453.000000,157443942631.000000,,108907088448.000000,,29194251603.000000,,29194251603.000000,,79712836845.000000,108907088448.000000,266351031079.000000,,209987376000.000000,303627463232.000000,518240841014.000000,9000000000.000000,509240841014.000000,518240841014.000000,1314897231.000000,,1033170577477.000000,1299521608556.000000,2099873760.000000
12M 2020,,,429554512285.000000,99621123187.000000,99621123187.000000,99621123187.000000,608866604.000000,668514572920.000000,,90419464543.000000,1288718539539.000000,,8184923977.000000,298904982008.000000,18633562004.000000,325723467989.000000,1614442007528.000000,,,351790782502.000000,2934821655.000000,,18562500.000000,242029921128.000000,242048483628.000000,,143621560.000000,53266757945.000000,53410379505.000000,32993727789.000000,7538420758.000000,,3241470049.000000,2597747032.000000,,5839217081.000000,7025732086.000000,351790782502.000000,,76799383517.000000,,8643920136.000000,9638696955.000000,18282617091.000000,,58516766426.000000,76799383517.000000,428590166019.000000,,209987376000.000000,303627463232.000000,670727846646.000000,10000000000.000000,660727846646.000000,670727846646.000000,1509155631.000000,,1185851841509.000000,1614442007528.000000,2099873760.000000
