Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Kas Dari Pengembalian Cukai Hasil Tembakau,Pendapatan Bunga,Penerimaan Kas Dari Tagihan Pajak Penghasilan,Pembayaran Kas Kepada Pemasok Dan Lainnya,Pembayaran Kas Untuk Beban Operasi,Pembayaran Pajak Penghasilan,Pengembalian Cukai,Pengembalian Pajak Penghasilan,Pembayaran Bunga,Penerimaan (Pembayaran) Iain-Iain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Kas Dari Pendapatan Bunga,Penerimaan Kas Dari Investasi Jangka Pendek,Penerimaan Kas Dari Klaim Atas Reksadana Yang Dibubarkan,Hasil Penjualan Aset Tetap,Hasil Penjualan Entitas Anak,Pencairan Setara Kas Yang Dibatasi Penggunaannya,Pembayaran Uang Muka Pembelian Aset Tetap,Perolehan Aset Tetap,Penempatan Investasi Jangka Pendek,Perolehan Aset Tak Berwujud,Penarikan Investasi Jangka Pendek,Investasi Reksadana,Pembayaran Biaya Ditangguhkan,Penambahan Uang Jaminan,Pembayaran Perangkat Lunak,Penurunan Uang Jaminan,Setara Kas Yang Dijadikan Sebagai Jaminan,Penempatan Setara Kas Yang Dibatasi Penggunaannya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Dividen Kas Kepada Pemilik Modal Entitas Induk,Pembayaran Utang Pembiayaan Konsumen,Penerimaan (Pembayaran) Utang Bank-Neto,Penerimaan Pinjaman Bank,Penerimaan Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Panjang,Pembayaran Pinjaman Bank,Pembayaran Utang Bank Jangka Pendek - Neto,Pembayaran Utang Bank Jangka Panjang - Neto,Total Penerimaan (Pembayaran) Utang Bank-Neto,Penerimaan Setoran Modal Saham Dari Kepentingan Non-Pengendali,Pembayaran Dividen Kas Kepada Pemilik Entitas Induk,Pembayaran Porsi Pokok Liabilitas Sewa,Pembayaran Dividen Kas Kepada Kepentingan Non-Pengendali,Pelepasan Kepentingan Non-Pengendali Melalui Entitas Anak,Penerimaan Hasil Penjualan Saham Treasuri,Pembelian Saham Treasuri,Total Arus Kas Dari Aktivitas Pendanaan,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2011,-65838550841.000000,919966771204.000000,,,,-951699324943.000000,,-15580980615.000000,,,-18525016487.000000,,-65838550841.000000,36439943057.000000,,,,92440473110.000000,,,,-54200530053.000000,,,,,,,,,-1800000000.000000,,36439943057.000000,117155047684.000000,-95110200000.000000,-4028243232.000000,216409887632.000000,,,,,,,216409887632.000000,,,,-116396716.000000,,,,117155047684.000000,,87756439900.000000,9246747890.000000,97003187790.000000
12M 2012,13275272462.000000,1121085778075.000000,,,,-1057030059590.000000,,-25882497124.000000,,,-24897948899.000000,,13275272462.000000,1921979307.000000,,,,37816469658.000000,7820000000.000000,1800000000.000000,,-45348470351.000000,,,,,,-166020000.000000,,,,,1921979307.000000,286024390885.000000,-72025676240.000000,-5256605037.000000,-3220191248.000000,,,,,,,-3220191248.000000,366623663232.000000,,,-96731540.000000,-68282.000000,,,286024390885.000000,,301221642654.000000,97003187790.000000,398224830444.000000
12M 2013,-34859222355.000000,1550825555245.000000,,11051393051.000000,,-1548262851463.000000,,-34131222819.000000,,,-14342096369.000000,,-34859222355.000000,-99375185613.000000,,,,2005073431.000000,,,,-86203784617.000000,,,,-15183974427.000000,,7500000.000000,,,,,-99375185613.000000,-129080042406.000000,-7559545536.000000,-3468939891.000000,-118287059599.000000,,,,,,,-118287059599.000000,245946000.000000,,,-10443380.000000,,,,-129080042406.000000,,-263314450374.000000,398224830444.000000,134910380070.000000
12M 2014,44609246858.000000,1645372139865.000000,,,,-1518096641866.000000,,-62393629789.000000,,,-20272621352.000000,,44609246858.000000,-119511904932.000000,4401673202.000000,,,3095905461.000000,,,,-124239004670.000000,,,49499470553.000000,-49900496125.000000,-2369453353.000000,,,,,,-119511904932.000000,12387256436.000000,-39687614064.000000,-1366472826.000000,,475381200000.000000,,,-421945759628.000000,,,53435440372.000000,59458000.000000,,,-53555046.000000,,,,12387256436.000000,,-62515401638.000000,134910380070.000000,72394978432.000000
12M 2015,62869126110.000000,1849402471389.000000,,,,-1726711346437.000000,,-41390838940.000000,,,-18431159902.000000,,62869126110.000000,-64963191776.000000,2461424478.000000,,,2301974482.000000,,,,-66026044962.000000,,,38798000000.000000,-39251000000.000000,-1996484128.000000,,,,,-1251061646.000000,-64963191776.000000,21574646612.000000,-28348295760.000000,,,1301967251282.000000,,,,-1245272847000.000000,-6732059626.000000,49962344656.000000,,,,-39402284.000000,,,,21574646612.000000,,19480580946.000000,72394978432.000000,91875559378.000000
12M 2016,136703864740.000000,1684576737283.000000,,,,-1489809232376.000000,,-45325281371.000000,,,-12738358796.000000,,136703864740.000000,-45936306003.000000,2038144388.000000,,,6421289818.000000,,,,-52765781727.000000,,,32429000000.000000,-33198000000.000000,-2004884128.000000,-107136000.000000,,,,1251061646.000000,-45936306003.000000,-124249723754.000000,-52496844000.000000,,,885237579365.000000,,,,-952219404282.000000,-4701649157.000000,-71683474074.000000,,,,-69405680.000000,,,,-124249723754.000000,,-33482165017.000000,91875559378.000000,58393394361.000000
12M 2017,194599188956.000000,1482875285877.000000,,,,-1252250119383.000000,,-29473484420.000000,,,-6552493118.000000,,194599188956.000000,-28990845078.000000,2122008551.000000,,,2688883369.000000,,,,-35234404473.000000,,,29777000000.000000,-25940000000.000000,-2459419587.000000,55087062.000000,,,,,-28990845078.000000,-169936348489.000000,-32548043280.000000,,,218894653600.000000,,,,-356237579365.000000,,-137342925765.000000,,,,-45379444.000000,,,,-169936348489.000000,,-4328004611.000000,58393394361.000000,54065389750.000000
12M 2018,140978069476.000000,1400921236816.000000,,,,-1251648152760.000000,,-6866475838.000000,,,-1428538742.000000,,140978069476.000000,-53906637923.000000,3861274891.000000,,,3197960009.000000,,,,-55660050891.000000,,,29238000000.000000,-33383000000.000000,-1160821932.000000,,,,,,-53906637923.000000,-54080003406.000000,,,,66206678277.000000,,,,-120286681683.000000,,-54080003406.000000,,,,,,,,-54080003406.000000,,32991428147.000000,54065389750.000000,87056817897.000000
12M 2019,199249244086.000000,1391647613373.000000,,,20657923489.000000,-1192249166274.000000,,-14976706662.000000,,,-5830419840.000000,,199249244086.000000,-54014301618.000000,10464212338.000000,,,1891616298.000000,,,,-64851596254.000000,,,17115000000.000000,-17977000000.000000,-636825000.000000,-19709000.000000,,,,,-54014301618.000000,32726776826.000000,,,,225670425044.000000,,,,-185447182757.000000,-2234414111.000000,37988828176.000000,,-5249684400.000000,,-12366950.000000,,,,32726776826.000000,,177961719294.000000,87056817897.000000,265018537191.000000
12M 2020,215554537768.000000,1964414659746.000000,,,6620738568.000000,-1737189410921.000000,,-14115264412.000000,,,-4176185213.000000,,215554537768.000000,2740360316.000000,15693458638.000000,,3797130848.000000,3220046671.000000,,,,-19146903909.000000,,,,,,,-823371932.000000,,,,2740360316.000000,-53758922990.000000,,,,104128697419.000000,,,,-121445936103.000000,-25166027846.000000,-42483266530.000000,,-7349558160.000000,-3879016000.000000,-47082300.000000,,,,-53758922990.000000,,164535975094.000000,265018537191.000000,429554512285.000000
