Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Atas Penjualan Aset Tetap,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2011,925236734794.000000,-664393639610.000000,260843095184.000000,-169821905708.000000,-95583924202.000000,-74237981506.000000,-169821905708.000000,91021189476.000000,57665301420.000000,77858351936.000000,449842755.000000,-19101036371.000000,1579908.000000,-1543436808.000000,57665301420.000000,148686490896.000000,-19149325338.000000,-20579857000.000000,1430531662.000000,-19149325338.000000,129537165558.000000,,,,129537165558.000000,129537165558.000000,129382897212.000000,154268346.000000,129537165558.000000,129537165558.000000,129382897212.000000,154268346.000000,129537165558.000000
12M 2012,1119062225729.000000,-814421204708.000000,304641021021.000000,-189293889501.000000,-102170399182.000000,-87123490319.000000,-189293889501.000000,115347131520.000000,-9769673330.000000,6424349648.000000,772419925.000000,-25130168420.000000,-1409661130.000000,9573386647.000000,-9769673330.000000,105577458190.000000,-28275674637.000000,-27328437000.000000,-947237637.000000,-28275674637.000000,77301783553.000000,,,,77301783553.000000,77301783553.000000,77202260609.000000,99522944.000000,77301783553.000000,77301783553.000000,77202260609.000000,99522944.000000,77301783553.000000
12M 2013,1588022200150.0,-1118437306390.0,469584893760.0,-289383729382.0,-180046804506.0,-109336924876.0,-289383729382.0,180201164378.0,-5081874800.0,1221449039.0,10747151385.0,-14342096369.0,-3789402533.0,1081023678.0,-5081874800.0,175119289578.0,-42797081717.0,-43867960250.0,1070878533.0,-42797081717.0,132322207861.0,56775859.0,56775859.0,56775859.0,132378983720.0,132322207861.0,132148244665.0,173963196.0,132322207861.0,132378983720.0,132204944112.0,174039608.0,132378983720.0
12M 2014,1661533200316.0,-1177718564881.0,483814635435.0,-321527028656.0,-196416708398.0,-125110320258.0,-321527028656.0,162287606779.0,-12746074060.0,1963022828.0,4099662449.0,-20187863948.0,-535984684.0,1915089295.0,-12746074060.0,149541532719.0,-37236710659.0,-35921312750.0,-1315397909.0,-37236710659.0,112304822060.0,442683115.0,442683115.0,442683115.0,112747505175.0,112304822060.0,112154877117.0,149944943.0,112304822060.0,112747505175.0,112596973515.0,150531660.0,112747505175.0
12M 2015,1839419574956.0,-1279427333869.0,559992241087.0,-359272029421.0,-218127343903.0,-141144685518.0,-359272029421.0,200720211666.0,-22757269887.0,1668238653.0,2461424478.0,-18700322445.0,-1827527803.0,-6359082770.0,-22757269887.0,177962941779.0,-46881830192.0,-44876683000.0,-2005147192.0,-46881830192.0,131081111587.0,-5374835665.0,-5374835665.0,-5374835665.0,125706275922.0,131081111587.0,130904874355.0,176237232.0,131081111587.0,125706275922.0,125536724963.0,169550959.0,125706275922.0
12M 2016,1685795530617.0,-1176493799658.0,509301730959.0,-374918039897.0,-224031467807.0,-150886572090.0,-374918039897.0,134383691062.0,2279306190.0,3445809563.0,2085726759.0,-12260592973.0,-50585166.0,9058948007.0,2279306190.0,136662997252.0,-30372690384.0,-29182326250.0,-1190364134.0,-30372690384.0,106290306868.0,-6339646290.0,-6339646290.0,-6339646290.0,99950660578.0,106290306868.0,106159268686.0,131038182.0,106290306868.0,99950660578.0,99828723451.0,121937127.0,99950660578.0
12M 2017,1476427090781.0,-1043634733778.0,432792357003.0,-388619814013.0,-230132391333.0,-158487422680.0,-388619814013.0,44172542990.0,10318765222.0,1521487244.0,2096593602.0,-6188792476.0,144900583.0,12744576269.0,10318765222.0,54491308212.0,-13901517361.0,-11362605250.0,-2538912111.0,-13901517361.0,40589790851.0,-20998398820.0,-20998398820.0,-20998398820.0,19591392031.0,40589790851.0,40538522640.0,51268211.0,40589790851.0,19591392031.0,19568653078.0,22738953.0,19591392031.0
12M 2018,1405384153405.0,-963851587401.0,441532566004.0,-389346287885.0,-227987657468.0,-161358630417.0,-389346287885.0,52186278119.0,18544359600.0,2270366921.0,4009654451.0,-1191546500.0,-893291282.0,14349176010.0,18544359600.0,70730637719.0,-19587786800.0,-16799549250.0,-2788237550.0,-19587786800.0,51142850919.0,-23997409365.0,-23997409365.0,-23997409365.0,27145441554.0,51142850919.0,51087231805.0,55619114.0,51142850919.0,27145441554.0,27122708830.0,22732724.0,27145441554.0
12M 2019,1393574099760.0,-962040733573.0,431533366187.0,-402885126126.0,-230468898014.0,-172416228112.0,-402885126126.0,28648240061.0,14225927567.0,1468466998.0,10807481900.0,-5911547291.0,127063859.0,7734462101.0,14225927567.0,42874167628.0,-15546076147.0,-15287588500.0,-258487647.0,-15546076147.0,27328091481.0,5867734681.0,5867734681.0,5867734681.0,33195826162.0,27328091481.0,27273075178.0,55016303.0,27328091481.0,33195826162.0,33128090051.0,67736111.0,33195826162.0
12M 2020,1994066771177.0,-1368626457514.0,625440313663.0,-420569492780.0,-246554756871.0,-174014735909.0,-420569492780.0,204870820883.0,10343647703.0,1954787761.0,15654809833.0,-4078421400.0,-523929554.0,-2663598937.0,10343647703.0,215214468586.0,-42707905600.0,-40601234960.0,-2106670640.0,-42707905600.0,172506562986.0,-12428658494.0,-12428658494.0,-12428658494.0,160077904492.0,172506562986.0,172249860053.0,256702933.0,172506562986.0,160077904492.0,159836563792.0,241340700.0,160077904492.0
