Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Pendapatan Bersih Ventura Bersama,Laba Kotor Setelah Ventura Bersama,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Pendapatan Bersih Ventura Bersama,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Final,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Final,Others,Total Pajak Kini,Pajak Tangguhan,Others,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Pos Luar Biasa,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Pos Luar Biasa,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,6559077280000.000000,-6113046734000.000000,446030546000.000000,-3099025000.000000,442931521000.000000,-155001293000.000000,-2589810000.000000,-152411483000.000000,-155001293000.000000,287930228000.000000,-31515351000.000000,53743541000.000000,,26437634000.000000,4289126000.000000,-44024039000.000000,,,-71961613000.000000,-31515351000.000000,256414877000.000000,-81761560000.000000,,,-72726644000.000000,-72726644000.000000,-9034916000.000000,,-81761560000.000000,174653317000.000000,,-18618922000.000000,156034395000.000000,,,,,156034395000.000000,174653317000.000000,-18618922000.000000,,156034395000.000000,,,,
12M 2009,6590857284000.000000,-5967731531000.000000,623125753000.000000,22607657000.000000,645733410000.000000,-160782419000.000000,-2421380000.000000,-158361039000.000000,-160782419000.000000,484950991000.000000,-136841999000.000000,30417205000.000000,,1432768000.000000,-2000000.000000,-51764196000.000000,,,-116925776000.000000,-136841999000.000000,348108992000.000000,-141585048000.000000,,-123866051000.000000,-37459198000.000000,-161325249000.000000,19740201000.000000,,-141585048000.000000,206523944000.000000,,-17301869000.000000,189222075000.000000,,,,,189222075000.000000,206523944000.000000,-17301869000.000000,,189222075000.000000,,,,
12M 2010,6022921894000.000000,-5390011533000.000000,632910361000.000000,40157871000.000000,673068232000.000000,-195457021000.000000,-3527066000.000000,-191929955000.000000,-195457021000.000000,477611211000.000000,-4285177000.000000,28913365000.000000,,-4104954000.000000,57351000.000000,-9611427000.000000,,,-19539512000.000000,-4285177000.000000,473326034000.000000,-162084784000.000000,,-132424893000.000000,-38756677000.000000,-171181570000.000000,9096786000.000000,,-162084784000.000000,311241250000.000000,,-26319058000.000000,284922192000.000000,,,,,284922192000.000000,311241250000.000000,-26319058000.000000,,284922192000.000000,,,,
12M 2011,7741827272000.000000,-6978414331000.000000,763412941000.000000,101522034000.000000,864934975000.000000,-211193809000.000000,-3646075000.000000,-207547734000.000000,-211193809000.000000,653741166000.000000,-24134182000.000000,34324442000.000000,,22756746000.000000,105494000.000000,-15696279000.000000,,,-65624585000.000000,-24134182000.000000,629606984000.000000,-238660490000.000000,,-186630581000.000000,-62937828000.000000,-249568409000.000000,10907919000.000000,,-238660490000.000000,,,,390946494000.000000,10881434000.000000,10881434000.000000,10881434000.000000,401827928000.000000,390946495000.000000,354498793000.000000,36447702000.000000,,390946495000.000000,401827929000.000000,366374887000.000000,35453042000.000000,401827929000.000000
12M 2012,9816085895000.000000,-8902208955000.000000,913876940000.000000,197505039000.000000,1111381979000.000000,-265965358000.000000,-11386522000.000000,-254578836000.000000,-265965358000.000000,845416621000.000000,-37500827000.000000,36485663000.000000,,2556010000.000000,305950000.000000,-36228187000.000000,-5138607000.000000,,-35481656000.000000,-37500827000.000000,807915794000.000000,-302790832000.000000,,-241791643000.000000,-77117961000.000000,-318909604000.000000,16118772000.000000,,-302790832000.000000,,,,505124962000.000000,3638700000.000000,3638700000.000000,3638700000.000000,508763662000.000000,505124962000.000000,457857708000.000000,47267254000.000000,,505124962000.000000,508763662000.000000,461133994000.000000,47629668000.000000,508763662000.000000
12M 2013,11884667552000.000000,-10562234128000.000000,1322433424000.000000,261014273000.000000,1583447697000.000000,-367485780000.000000,-4775912000.000000,-362709868000.000000,-367485780000.000000,1215961917000.000000,-199271728000.000000,24107033000.000000,,-31253143000.000000,,-64027739000.000000,,,-128097879000.000000,-199271728000.000000,1016690189000.000000,-392318510000.000000,,-285421874000.000000,-105049422000.000000,-390471296000.000000,-1847214000.000000,,-392318510000.000000,,,,624371679000.000000,,,,624371679000.000000,624371679000.000000,569939958000.000000,54431721000.000000,,624371679000.000000,624371679000.000000,569939958000.000000,54431721000.000000,624371679000.000000
12M 2014,12463216288000.000000,-11038646789000.000000,1424569499000.000000,369757130000.000000,1794326629000.000000,-393407442000.000000,-6838756000.000000,-386568686000.000000,-393407442000.000000,1400919187000.000000,-255028950000.000000,73500762000.000000,,-2039829000.000000,,-197704174000.000000,-6627740000.000000,,-122157969000.000000,-255028950000.000000,1145890237000.000000,-395094418000.000000,,-286455956000.000000,-88868884000.000000,-375324840000.000000,-19769578000.000000,,-395094418000.000000,,,,750795819000.000000,,,,750795819000.000000,750795820000.000000,615181415000.000000,135614405000.000000,,750795820000.000000,750795820000.000000,615181415000.000000,135614405000.000000,750795820000.000000
12M 2015,13620101419000.000000,-11965441022000.000000,1654660397000.000000,288402591000.000000,1943062988000.000000,-429157646000.000000,-7695193000.000000,-421462453000.000000,-429157646000.000000,1513905342000.000000,-415823583000.000000,59686089000.000000,,28350510000.000000,,-431409359000.000000,-5514535000.000000,,-66936288000.000000,-415823583000.000000,1098081759000.000000,-395076705000.000000,,,,,,,-395076705000.000000,,,,703005054000.000000,6306290000.000000,6306290000.000000,6306290000.000000,709311344000.000000,703005054000.000000,625043905000.000000,77961149000.000000,,703005054000.000000,709311344000.000000,631350195000.000000,77961149000.000000,709311344000.000000
12M 2016,15668832513000.000000,-13441729089000.000000,2227103424000.000000,378836006000.000000,2605939430000.000000,-526935753000.000000,-9094812000.000000,-517840941000.000000,-526935753000.000000,2079003677000.000000,-848513362000.000000,50971372000.000000,,-5445321000.000000,,-435314128000.000000,-38190543000.000000,-365015329000.000000,-55519413000.000000,-848513362000.000000,1230490315000.000000,-83345393000.000000,,,,,,,-83345393000.000000,,,,1147144922000.000000,-18275656000.000000,-18275656000.000000,-18275656000.000000,1128869266000.000000,1147144922000.000000,1011827718000.000000,135317204000.000000,,1147144922000.000000,1128869266000.000000,993552062000.000000,135317204000.000000,1128869266000.000000
12M 2017,26176403026000.000000,-23300168938000.000000,2876234088000.000000,572700749000.000000,3448934837000.000000,-676672875000.000000,-9958720000.000000,-666714155000.000000,-676672875000.000000,2772261962000.000000,-1309870604000.000000,241823299000.000000,,766143000.000000,,-677973460000.000000,-123644382000.000000,-629479208000.000000,-121362996000.000000,-1309870604000.000000,1462391358000.000000,-106275869000.000000,,,,,,,-106275869000.000000,,,,1356115489000.000000,-47649429000.000000,-47649429000.000000,-47649429000.000000,1308466060000.000000,1356115489000.000000,1202069175000.000000,154046314000.000000,,1356115489000.000000,1308466060000.000000,1158684399000.000000,149781661000.000000,1308466060000.000000
12M 2018,31158193498000.000000,-27553466348000.000000,3604727150000.000000,533031374000.000000,4137758524000.000000,-785744845000.000000,-10445343000.000000,-775299502000.000000,-785744845000.000000,3352013679000.000000,-993384745000.000000,,,,,-972528679000.000000,-309628664000.000000,-726942503000.000000,1015715101000.000000,-993384745000.000000,2358628934000.000000,-285329070000.000000,,,,,,,-285329070000.000000,,,,2073299864000.000000,140243105000.000000,140243105000.000000,140243105000.000000,2213542969000.000000,2073299864000.000000,1730256243000.000000,343043621000.000000,,2073299864000.000000,2213542969000.000000,1860117752000.000000,353425217000.000000,2213542969000.000000
12M 2019,27212914210000.000000,-23732835386000.000000,3480078824000.000000,939112040000.000000,4419190864000.000000,-930543092000.000000,-13184924000.000000,-917358168000.000000,-930543092000.000000,3488647772000.000000,-699392084000.000000,,,,,-884252228000.000000,-263821072000.000000,-696177804000.000000,1144859020000.000000,-699392084000.000000,2789255688000.000000,-168240548000.000000,,,,,,,-168240548000.000000,,,,2621015140000.000000,-93096309000.000000,-93096309000.000000,-93096309000.000000,2527918831000.000000,2621015140000.000000,2285022038000.000000,335993102000.000000,,2621015140000.000000,2527918831000.000000,2190255385000.000000,337663446000.000000,2527918831000.000000
