Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,5.85 B,29.87,9.94,0.26,,3.03%,12.61%,26.77%,6.54
12M 2009,5.85 B,35.33,12.43,0.39,,3.62%,13.47%,21.96%,9.37
12M 2010,6.00 B,51.86,17.72,0.92,,4.95%,17.28%,19.46%,49.69
12M 2011,6.03 B,58.82,14.01,0.64,,4.26%,17.11%,22.39%,41.65
12M 2012,6.11 B,74.99,26.66,1.24,,4.18%,17.79%,22.21%,23.34
12M 2013,6.14 B,92.83,22.98,1.10,,4.53%,19.33%,25.04%,18.99
12M 2014,6.14 B,100.20,49.60,2.45,,3.87%,15.42%,22.00%,7.09
12M 2015,6.15 B,101.65,35.07,1.61,,3.19%,14.29%,18.41%,3.51
12M 2016,8.97 B,112.80,20.92,1.35,,3.25%,8.91%,16.31%,4.78
12M 2017,8.97 B,134.01,11.57,0.53,,2.63%,9.51%,15.32%,4.09
12M 2018,8.97 B,192.89,8.58,0.48,"3,643.72 B",2.92%,11.69%,13.23%,3.45
12M 2019,8.97 B,254.74,7.81,0.66,"4,008.80 B",3.68%,13.85%,11.12%,3.95
12M 2020,8.97 B,20.71,95.85,1.08,"1,661.03 B",0.27%,1.36%,3.96%,0.90
12M 2021,8.97 B,13.12,84.22,0.56,"2,015.15 B",0.17%,0.90%,5.60%,1.36
12M 2022,8.97 B,-6.64,-120.48,0.33,"2,375.02 B",-0.08%,-0.46%,5.00%,1.30
12M 2023,8.97 B,-794.68,-0.30,0.10,"1,274.58 B",-10.80%,-123.97%,2.22%,0.23
12M 2024,39.87 B,-56.85,-4.29,0.51,"1,048.14 B",-3.57%,-25.56%,-0.92%,-0.10
