Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2009,0.00,4021374.50,0.00,4021374.50,78 B,233 B,310 B,270 B,(10 B)
12M 2010,1.09,296.74,1.09,296.74,138 B,508 B,646 B,379 B,67 B
12M 2011,0.99,334.43,0.99,334.43,153 B,718 B,871 B,784 B,24 B
12M 2012,0.99,486.37,0.99,486.37,230 B,"1,091 B","1,321 B","1,154 B",110 B
12M 2013,1.14,601.63,1.14,601.63,427 B,"1,628 B","2,055 B","1,744 B",211 B
12M 2014,1.23,669.80,1.23,669.80,473 B,"2,084 B","2,557 B","2,187 B",196 B
12M 2015,0.23,722.61,0.23,722.61,471 B,"1,838 B","2,309 B","2,086 B",(191 B)
12M 2016,0.34,652.31,0.34,652.31,334 B,"1,568 B","1,901 B","1,694 B",(77 B)
12M 2017,0.52,566.48,0.52,566.48,352 B,"1,149 B","1,500 B","1,418 B",(234 B)
12M 2018,0.43,509.16,0.43,509.16,510 B,656 B,"1,166 B","1,102 B",(308 B)
12M 2019,0.27,445.17,0.27,445.17,630 B,396 B,"1,026 B",972 B,(345 B)
12M 2020,0.26,411.77,0.26,411.77,321 B,576 B,897 B,865 B,130 B
12M 2021,0.47,412.02,0.47,412.02,150 B,278 B,428 B,290 B,333 B
12M 2022,0.71,458.07,0.71,458.07,95 B,232 B,327 B,289 B,383 B
12M 2023,0.84,477.32,0.84,477.32,104 B,153 B,258 B,120 B,356 B
12M 2024,0.77,574.64,0.77,574.64,147 B,278 B,425 B,(74 B),786 B
