Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2009,,,,,,,,,,,,,-39.35,,0.93
12M 2010,86.88,0.38,98.9,-11.64,4.2,5.43,960.41,3049.64,0.66,0.99,0.45,0.64,9.97,9.97,1.14
12M 2011,95.24,0.12,101.95,-6.59,3.83,3.44,3151.24,4563.11,0.66,0.61,0.46,0.44,42.72,42.72,1.06
12M 2012,96.7,0.16,82.52,14.34,3.77,4.11,2271.3,1869.03,0.58,0.51,0.42,0.38,10.91,10.91,1.24
12M 2013,83.39,0.36,65.93,17.82,4.38,3.53,1003.96,669.89,0.75,0.65,0.54,0.47,10.79,10.79,1.25
12M 2014,110.43,0.52,76.24,34.71,3.31,3.41,698.76,749.93,0.52,0.47,0.39,0.35,11.26,11.26,1.23
12M 2015,132.25,0.44,64.62,68.07,2.76,3.45,838.31,727.54,0.27,0.26,0.22,0.21,-7.01,-7.01,0.75
12M 2016,102.81,0.39,65.27,37.93,3.55,3.34,933.97,831.43,0.25,0.27,0.21,0.22,-15.44,-15.44,0.89
12M 2017,140.24,0.43,83.35,57.32,2.6,2.82,857.87,722.48,0.2,0.21,0.17,0.17,-3.55,-3.55,0.65
12M 2018,129.46,0.51,75.59,54.38,2.82,2.43,710.22,663.81,0.26,0.26,0.21,0.21,-2.91,-2.91,0.62
12M 2019,158.13,0.56,74.74,83.95,2.31,2.22,655.57,985.86,0.27,0.29,0.21,0.22,-2.3,-2.3,0.59
12M 2020,193.39,0.23,77.23,116.39,1.89,1.73,1553.8,900.03,0.26,0.26,0.19,0.19,4.85,4.85,1.26
12M 2021,194.39,,78.4,115.99,1.88,1.85,,1930.1,0.29,0.31,0.2,0.21,1.81,1.81,2.21
12M 2022,150.73,,57.68,93.05,2.42,2.41,,,0.46,0.46,0.32,0.31,2.37,2.37,2.56
12M 2023,135.45,,67.46,67.99,2.69,2.71,,,0.55,0.55,0.37,0.37,3.11,3.11,2.14
12M 2024,112.76,0.35,62.25,50.86,3.24,3.11,1035.57,1035.57,0.62,0.63,0.39,0.36,1.66,1.66,3.32
