Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Piutang Retensi,Pihak Berelasi,Pihak Ketiga,Total Piutang Retensi,Persediaan,Tagihan Bruto Kepada Pemberi Kerja,Pihak Berelasi,Pihak Ketiga,Total Tagihan Bruto Kepada Pemberi Kerja,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Usaha,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Pihak Berelasi,Pihak Ketiga,Total Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Obligasi,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Pihak Berelasi,Pihak Ketiga,Total Utang Bank Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Obligasi,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Obligasi Konversi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2015,,,98185902017.000000,511946280467.000000,307141127058.000000,204805153409.000000,511946280467.000000,4953826430.000000,4952500000.000000,1326430.000000,4953826430.000000,,,,,54551293293.000000,,,,,334027716244.000000,1003665018451.000000,,2320143697504.000000,987351348015.000000,,21248946277.000000,3328743991796.000000,4332409010247.000000,,,2432181231103.000000,301784934720.000000,,,301784934720.000000,,1737110920.000000,728432018771.000000,730169129691.000000,,,,,208283828600.000000,77188251949.000000,,,,,,1114755086143.000000,2432181231103.000000,569401605792.000000,,,,,,459255313244.000000,,,459255313244.000000,,,110146292548.000000,569401605792.000000,3001582836895.000000,,835056000000.000000,-73554205952.000000,474674420502.000000,28060967099.000000,446613453403.000000,474674420502.000000,94649958802.000000,1330826173352.000000,4332409010247.000000,835056.000000
12M 2016,,,4205820405671.000000,3046134271737.000000,2903855436449.000000,142278835288.000000,3046134271737.000000,5491939678.000000,4958836000.000000,533103678.000000,5491939678.000000,,,,,231947161468.000000,,,,,643226911132.000000,8132620689686.000000,,3609829629344.000000,1932852161580.000000,2842627745.000000,56122376857.000000,5601646795526.000000,13734267485212.000000,,,4766317324109.000000,1907060780720.000000,,,1907060780720.000000,,31458652244.000000,1510392999453.000000,1541851651697.000000,,,,,161773118743.000000,83988866865.000000,,,,,,1071642906084.000000,4766317324109.000000,1562449119141.000000,,,,,,1448924225893.000000,,,1448924225893.000000,,,113524893248.000000,1562449119141.000000,6328766443250.000000,,2636115753400.000000,3944529408861.000000,730205920898.000000,94934884100.000000,635271036798.000000,730205920898.000000,94649958802.000000,7405501041961.000000,13734267485211.000000,26361157534.000000
12M 2017,,,1028345582018.000000,6627124256834.000000,6380369297908.000000,246754958926.000000,6627124256834.000000,3403163441.000000,,3403163441.000000,3403163441.000000,,,,,858693375039.000000,2090744276470.000000,,,2090744276470.000000,966634005138.000000,11574944658940.000000,,,3148700789918.000000,41963875696.000000,153939349201.000000,3344604014815.000000,14919548673755.000000,,,7593431366806.000000,3539084204116.000000,,,3539084204116.000000,,,2318209734966.000000,2318209734966.000000,,125677434404.000000,11397773566.000000,137075207970.000000,35133701861.000000,28492623220.000000,,1448924225894.000000,,,1448924225894.000000,86511668779.000000,7593431366806.000000,9461216530.000000,,,,,,,,,,,,9461216530.000000,9461216530.000000,7602892583336.000000,,2636115753400.000000,3944529408861.000000,1414387373383.000000,126675860344.000000,1287711513039.000000,1414387373383.000000,-678376445225.000000,7316656090419.000000,14919548673755.000000,26361157534.000000
12M 2018,,,1299204217422.000000,4254475723949.000000,3237304848633.000000,1017170875316.000000,4254475723949.000000,21222553866.000000,419040289.000000,20803513577.000000,21222553866.000000,,,,,2228092184118.000000,1242300599349.000000,,,1242300599349.000000,1190836877299.000000,10236132156003.000000,,,4726297844350.000000,,259958589461.000000,4986256433811.000000,15222388589814.000000,,,7327262600178.000000,5463099210444.000000,,,5463099210444.000000,,317690790.000000,1404603024996.000000,1404920715786.000000,,208022543176.000000,6726780244.000000,214749323420.000000,68133382865.000000,69870834521.000000,,,,,,106489133142.000000,7327262600178.000000,12812799172.000000,,,,,,,,,,2548991904.000000,,10263807268.000000,12812799172.000000,7340075399350.000000,,2636115753400.000000,3944529408861.000000,1770425860188.000000,176692367869.000000,1593733492319.000000,1770425860188.000000,-468757831985.000000,7882313190464.000000,15222388589814.000000,26361157534.000000
12M 2019,,,469333770150.000000,2502046837132.000000,1987268547519.000000,514778289613.000000,2502046837132.000000,5774451388.000000,,5774451388.000000,5774451388.000000,,,,,1536505202969.000000,4162887099401.000000,,,4162887099401.000000,1018807355558.000000,9695354716598.000000,,,5741675633194.000000,,712091334538.000000,6453766967732.000000,16149121684330.000000,,,5979916258397.000000,4091241225078.000000,,,4091241225078.000000,,33019205702.000000,1618539798870.000000,1651559004572.000000,,,1695533060.000000,1695533060.000000,44710759497.000000,121943115872.000000,,,,,,68766620318.000000,5979916258397.000000,2034654839578.000000,,,,,,,1990137292982.000000,,1990137292982.000000,25018339055.000000,,19499207541.000000,2034654839578.000000,8014571097975.000000,,2636115753400.000000,3944529408861.000000,2022663256079.000000,231866007278.000000,1790797248801.000000,2022663256079.000000,-468757831985.000000,8134550586355.000000,16149121684330.000000,26361157534.000000
12M 2020,,,244198852485.000000,1376762578072.000000,1330402490153.000000,46360087919.000000,1376762578072.000000,9070243242.000000,,9070243242.000000,9070243242.000000,,,,,963321978280.000000,1209539999759.000000,1077531584098.000000,132008415661.000000,1209539999759.000000,264295652496.000000,4067189304334.000000,,,4394677884022.000000,,127158566881.000000,4521836450903.000000,8589025755237.000000,,,7426948646675.000000,,1668939969460.000000,1999569305730.000000,3668509275190.000000,,32774417066.000000,3385104337821.000000,3417878754887.000000,,,68982369405.000000,68982369405.000000,44275479885.000000,182353156941.000000,,,,,,44949610367.000000,7426948646675.000000,2036180289713.000000,,,,,,,1993479934973.000000,32261738692.000000,2025741673665.000000,,,10438616048.000000,2036180289713.000000,9463128936388.000000,,2636115753400.000000,3944529408861.000000,-6928296287217.000000,272173444924.000000,-7200469732141.000000,-6928296287217.000000,-526452056195.000000,-874103181151.000000,8589025755237.000000,26361157534.000000
12M 2021,,,93663903876.000000,1355257478764.000000,887701892471.000000,467555586293.000000,1355257478764.000000,7084407572.000000,2167267266.000000,4917140306.000000,7084407572.000000,,,,,595242754827.000000,433535963211.000000,259793842490.000000,173742120721.000000,433535963211.000000,1703297932419.000000,4188082440669.000000,,,2574848019701.000000,,119146821789.000000,2693994841490.000000,6882077282159.000000,,,9627618926198.000000,,1765463374721.000000,2099767972594.000000,3865231347315.000000,,51575568070.000000,2983349311575.000000,3034924879645.000000,,70017420050.000000,7227355890.000000,77244775940.000000,53302816824.000000,570862935623.000000,,,1997171930923.000000,4075000000.000000,2001246930923.000000,24805239928.000000,9627618926198.000000,32987420961.000000,,,,,,,,13043044665.000000,13043044665.000000,,,19944376296.000000,32987420961.000000,9660606347159.000000,,2636115753400.000000,3944529408861.000000,-8871658725613.000000,272173444924.000000,-9143832170537.000000,-8871658725613.000000,-487515501648.000000,-2778529065000.000000,6882077282159.000000,26361157534.000000
12M 2022,,,238946856294.000000,833266141011.000000,621213457310.000000,212052683701.000000,833266141011.000000,25088893954.000000,17050686215.000000,8038207739.000000,25088893954.000000,,,,,346193304408.000000,693954287674.000000,514751692232.000000,179202595442.000000,693954287674.000000,96642480430.000000,2234091963771.000000,,,3680901556393.000000,,48664431714.000000,3729565988107.000000,5963657951878.000000,,,6522489968497.000000,,,671127052204.000000,671127052204.000000,,1303878419409.000000,1976494593793.000000,3280373013202.000000,,17951130090.000000,1051369710.000000,19002499800.000000,45882235407.000000,578761527449.000000,,,1850769921114.000000,2971809989.000000,1853741731103.000000,73601909332.000000,6522489968497.000000,1544376482805.000000,,677672349774.000000,630603301947.000000,1308275651721.000000,,,211745939370.000000,6982749773.000000,218728689143.000000,,,17372141941.000000,1544376482805.000000,8066866451302.000000,,2636115753400.000000,3944529408861.000000,-8190064169560.000000,272173444924.000000,-8462237614484.000000,-8190064169560.000000,-493789492125.000000,-2103208499424.000000,5963657951878.000000,26361157534.000000
12M 2023,,,120811660447.000000,594710168095.000000,509632549423.000000,85077618672.000000,594710168095.000000,92371068048.000000,1534172142.000000,90836895906.000000,92371068048.000000,215215120561.000000,207699952080.000000,7515168481.000000,215215120561.000000,250412830030.000000,317540931290.000000,246361011744.000000,71179919546.000000,317540931290.000000,87014965373.000000,1678076743844.000000,,,2752256841256.000000,,42812135402.000000,2795068976658.000000,4473145720502.000000,,,2646049116628.000000,,,671127052204.000000,671127052204.000000,,527138099167.000000,744035127605.000000,1271173226772.000000,,25154378568.000000,2844408276.000000,27998786844.000000,46354594135.000000,294732578506.000000,,,,4347202066.000000,4347202066.000000,330315676101.000000,2646049116628.000000,2491590695428.000000,,901878918016.000000,672637340678.000000,1574516258694.000000,,,228966761482.000000,5252449858.000000,234219211340.000000,,651812439998.000000,31042785396.000000,2491590695428.000000,5137639812056.000000,,4045843942950.000000,3967367005532.000000,-8183915547911.000000,272173444924.000000,-8456088992835.000000,-8183915547911.000000,-493789492125.000000,-664494091554.000000,4473145720502.000000,54555721325.000000
12M 2024,,,205754409914.000000,423536146007.000000,323288219031.000000,100247926976.000000,423536146007.000000,17594770842.000000,13724264409.000000,3870506433.000000,17594770842.000000,147235855685.000000,144970662033.000000,2265193652.000000,147235855685.000000,204660747845.000000,269546204541.000000,225246300359.000000,44299904182.000000,269546204541.000000,60505693741.000000,1328833828575.000000,,,2221654000209.000000,,68142827731.000000,2289796827940.000000,3618630656515.000000,,,2505964576180.000000,,,671127052204.000000,671127052204.000000,,482643871275.000000,674383146129.000000,1157027017404.000000,,16211087159.000000,6869224199.000000,23080311358.000000,58385381435.000000,267933831991.000000,,,,1338809772.000000,1338809772.000000,327072172016.000000,2505964576180.000000,2670479078942.000000,,951159265953.000000,713882943897.000000,1665042209850.000000,,,248133967027.000000,2354568658.000000,250488535685.000000,,727654656836.000000,27293676571.000000,2670479078942.000000,5176443655122.000000,,4072310311658.000000,3967795760697.000000,-9180584963385.000000,272173444924.000000,-9452758408309.000000,-9180584963385.000000,-417334107577.000000,-1557812998607.000000,3618630656515.000000,54555721325.000000
