Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Pihak Ketiga,Pembayaran Kepada Karyawan,Penerimaan Rekening Giro Dan Deposito Berjangka,Penerimaan Restitusi Pajak,Pembayaran Beban Pinjaman,Pembayaran Beban Keuangan,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dari Ventura Bersama,Aset Keuangan Dimiliki Hingga Jatuh Tempo,Penempatan Pada Ventura Bersama,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Perolehan Aset Tak Berwujud,Penempatan Investasi Pada Entitas Asosiasi,Pengurangan Penyertaan Pada Entitas Asosiasi,Pinjaman Diberikan Kepada Entitas Asosiasi,Penerimaan Penjualan Penyertaan Pada Entitas Asosiasi,Penerimaan Atas Peralihan Ruas Jalan Tol,Penerimaan Kompensasi,Penerimaan Penjualan Investasi Pada Entitas Asosiasi Dan Investasi Jangka Panjang Lainnya,Penerimaan Atas Pengembalian Pinjaman,Penerimaan Atas Pengembalian Pinjaman Dari Entitas Asosiasi,Penambahan Penyertaan Entitas Anak,Penerimaan Dividen Dari Entitas Anak,Penambahan Properti Investasi,Pencairan Investasi Jangka Pendek,Penempatan Investasi Jangka Pendek,Investasi Jangka Panjang Lainnya,Penempatan Deposito,Pencairan Deposito,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Obligasi,Pelunasan Utang Obligasi,Biaya Emisi Obligasi,Biaya Emisi Efek Saham,Biaya Emisi Sukuk Mudharabah,Penerimaan Penerbitan Sukuk Mudharabah,Penerimaan Pinjaman Bank,Jangka Pendek,Jangka Panjang,Total Penerimaan Pinjaman Bank,Pembayaran Pinjaman Bank,Jangka Pendek,Jangka Panjang,Total Pembayaran Pinjaman Bank,Penerimaan Modal Saham Dipesan,Penerimaan Setoran Modal Saham,Penerimaan Penerbitan Modal Saham,Biaya Emisi Penawaran Umum Saham,Penerimaan Setoran Dari Entitas Non Pengendali,Penerimaan Pendapatan Bunga,Pembayaran Beban Keuangan,Penerimaan Surat Utang Jangka Menengah,Pembayaran Surat Utang Jangka Menengah,Penerimaan Utang Lain-Lain Dari Pemegang Saham Non-Pengendali,Pembayaran Utang Lain Lain,Pengeluaran Ke Entitas Non-Pengendali,Perolehan Saham Treasuri,Penerimaan Rekening Giro Dan Deposito Berjangka,Penerimaan Tambahan Setoran Modal,Pembayaran Program Kemitraan Dan Bina Lingkungan,Penerimaan Pinjaman Lembaga Keuangan Non Bank Jangka Pendek,Pembayaran Pinjaman Lembaga Keuangan Non Bank,Pembayaran Dividen,Pembayaran Liabilitas Sewa,Penempatan Uang Jaminan Pelaksanaan,Penurunan Kas Yang Dibatasi Penggunaannya,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Efek Divestasi,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2011,-106104647392.000000,6562378494542.000000,-6140967715052.000000,-111116123818.000000,28348543593.000000,2626940054.000000,-157880108143.000000,,-289494678568.000000,-106104647392.000000,136601438061.000000,65477316597.000000,,-12050693397.000000,-63077519438.000000,150300000.000000,,-3250000000.000000,,,,,,8481000000.000000,,,,,,315871034299.000000,-175000000000.000000,,,,136601438061.000000,197765255190.000000,,,,,,,13269804704902.000000,,,13269804704902.000000,-13069615536840.000000,,,-13069615536840.000000,,,,,,,,,,,,,,,,-2423912872.000000,,,,,,,197765255190.000000,228262045859.000000,,,354926218027.000000,583188263886.000000
12M 2012,-186656011523.000000,7483968458803.000000,-7216587622717.000000,-157166437749.000000,31885098337.000000,136759385799.000000,-169585561829.000000,,-295929332167.000000,-186656011523.000000,-27667508524.000000,49124593108.000000,,-36900079236.000000,-81696574605.000000,81358081.000000,,,,,-76208000000.000000,,,117931194128.000000,,,,,,,,,,,-27667508524.000000,1814918354389.000000,750000000000.000000,,-2546160287.000000,-31910365455.000000,,,12238719830980.000000,,,12238719830980.000000,-12271834717630.000000,,,-12271834717630.000000,,308231500000.000000,,,,,,,,,,,,,831137834545.000000,-6879567764.000000,,,,,,,1814918354389.000000,1600594834342.000000,,,583188263886.000000,2183783098228.000000
12M 2013,-385212792510.000000,8527446848333.000000,-8291615452927.000000,-208694640645.000000,10083104850.000000,114753703161.000000,-96850836990.000000,,-440335518292.000000,-385212792510.000000,-378579647162.000000,30628463140.000000,,-146741269379.000000,-228927964687.000000,231278047.000000,,-19250000000.000000,,,,,,,,,,587204824.000000,-15107359107.000000,,,,,,-378579647162.000000,-317368203964.000000,,,,,,,15298731492298.000000,,,15298731492298.000000,-15595777192936.000000,,,-15595777192936.000000,,,,,,,,,,,,,,,,,,,-20322503326.000000,,,,-317368203964.000000,-1081160643636.000000,17071556134.000000,,2183783098228.000000,1119694010726.000000
12M 2014,-88710322099.000000,9086251090052.000000,-8599050752268.000000,-246993162142.000000,44669581253.000000,193004815427.000000,-183596366642.000000,,-382995527779.000000,-88710322099.000000,-1082452759692.000000,87067589420.000000,,-283325232158.000000,-328828488221.000000,,,-598099473502.000000,,,39583000000.000000,,,,,,,1149844769.000000,,,,,,,-1082452759692.000000,1727981842993.000000,500000000000.000000,,-3100233842.000000,,,,16276595683317.000000,,,16276595683317.000000,-14994273970004.000000,,,-14994273970004.000000,,9526820500.000000,,,,,,,,,,,,,49651537771.000000,,,,-110417994749.000000,,,,1727981842993.000000,556818761202.000000,-1229499897.000000,,1119694010726.000000,1675283272031.000000
12M 2015,917942066518.000000,11534113565372.000000,-10105028136892.000000,-290631919988.000000,66889149073.000000,296588055931.000000,-340008402044.000000,,-243980244934.000000,917942066518.000000,-1606521517990.000000,156256685561.000000,75000000000.000000,-567052896343.000000,-938317109390.000000,1071602182.000000,,-87122000000.000000,,,,,,,,,,,-259970000000.000000,13612200000.000000,,,,,-1606521517990.000000,4518572267816.000000,1500000000000.000000,-75000000000.000000,-2215000000.000000,-37328848508.000000,,,14705892175076.000000,,,14705892175076.000000,-17147021283915.000000,,,-17147021283915.000000,,384498910500.000000,,,,,,,,,,,,,5000757053714.000000,,289295363429.000000,,-100306102480.000000,,,,4518572267816.000000,3829992816344.000000,5911990403.000000,,1675283272031.000000,5511188078778.000000
12M 2016,-7762413775203.000000,9104677090845.000000,-14764975579132.000000,-427464463401.000000,186873566238.000000,437847439.000000,-982835623286.000000,,-879126613906.000000,-7762413775203.000000,-9554936586944.000000,75190986111.000000,100000000000.000000,-76477131755.000000,-611419778706.000000,,-5573411945777.000000,-170432046393.000000,,,,,,,,,,,,2003737051576.000000,,,-5302123722000.000000,,-9554936586944.000000,22459333440495.000000,2900000000000.000000,,-5833824947.000000,,,,29502304802747.000000,,,29502304802747.000000,-18398828576844.000000,,,-18398828576844.000000,,116124000.000000,,,5446745582011.000000,,,,,,,,,,640354345.000000,,3923736603545.000000,-700000000000.000000,-209547624362.000000,,,,22459333440495.000000,5141983078348.000000,609611060.000000,,5511188078778.000000,10653780768186.000000
12M 2017,-5959562435459.000000,28652992243831.000000,-31351560473458.000000,-837112171240.000000,333585011800.000000,182144320703.000000,-1844343948779.000000,,-1095267418316.000000,-5959562435459.000000,-19238718205754.000000,312071410669.000000,,-972402492799.000000,-2434808757933.000000,,-16719351093411.000000,-277388588000.000000,-133032046393.000000,,217000000000.000000,,,,,,-1619000000000.000000,,,,,,-2338430359887.000000,4726623722000.000000,-19238718205754.000000,20630919146126.000000,4657000000000.000000,-1175000000000.000000,-8389029542.000000,,,,50843979570492.000000,,,50843979570492.000000,-33815558933662.000000,,,-33815558933662.000000,,24805000.000000,,,3220697789861.000000,,,,,,,,-579682828561.000000,,136092013.000000,,2794746941680.000000,-4793057076137.000000,-513978185018.000000,,,,20630919146126.000000,-4567361495087.000000,327579903.000000,,10655996501931.000000,6088962586747.000000
12M 2018,3035139221324.000000,49153481633794.000000,-42146152132659.000000,-1034852971320.000000,636933783652.000000,,-2008140084700.000000,,-1566131007443.000000,3035139221324.000000,-18768151650463.000000,195521828745.000000,,-871698742646.000000,-2272636099368.000000,,-15181992508784.000000,-2801102344000.000000,-191396766625.000000,214527369072.000000,2857143347539.000000,,,,,,,484030710810.000000,-59733151815.000000,,,,-2962349807081.000000,1821534513690.000000,-18768151650463.000000,20667483706707.000000,5154250000000.000000,-350000000000.000000,-41953938572.000000,,,,92883247775045.000000,,,92883247775045.000000,-76733808263389.000000,,,-76733808263389.000000,,,,,1512726235858.000000,,,1144403604859.000000,-786371433625.000000,,,,,,,,879341822975.000000,-2218009712976.000000,-776342383468.000000,,,,20667483706707.000000,4934471277568.000000,11113410916.000000,-188869058030.000000,6088962586747.000000,10845678217201.000000
12M 2019,9014249440062.000000,53622470304152.000000,-39812397638626.000000,-786179050513.000000,,314435395994.000000,-1823812200163.000000,,-2500267370782.000000,9014249440062.000000,-14924743305937.000000,915660664958.000000,,-2860216608022.000000,-216255472785.000000,,-11963159274305.000000,-1597873534941.000000,,-32298146709.000000,1657200000000.000000,,,,,,,,-183866984995.000000,,,,-2742933949138.000000,2099000000000.000000,-14924743305937.000000,4334944286473.000000,3845750000000.000000,-2000000000000.000000,-42622479202.000000,,,,101597843065552.000000,,,101597843065552.000000,-96874491736591.000000,,,-96874491736591.000000,,,,,259302508934.000000,,-3642809954485.000000,700000000000.000000,-779207690987.000000,,,,,969702739827.000000,,,1292187578508.000000,,-990709745083.000000,,,,4334944286473.000000,-1575549579402.000000,-11818609407.000000,,10845678217201.000000,9258310028392.000000
12M 2020,411061644702.000000,23389464316405.000000,-18538392799234.000000,-1005254579798.000000,,1032006767009.000000,-4248301822137.000000,,-218460237543.000000,411061644702.000000,-1056077476415.000000,3569091183581.000000,,-679421911703.000000,,,-5943759055644.000000,-1043985936342.000000,,,550000000000.000000,,,,,1324275009702.000000,,,,,-230560425391.000000,,-905056615353.000000,2303340274735.000000,-1056077476415.000000,-7407070640982.000000,135500000000.000000,-3266000000000.000000,,,,,45019907484498.000000,,,45019907484498.000000,-48163241580359.000000,,,-48163241580359.000000,,,,,,,-2296045052019.000000,,-770998055556.000000,276557438875.000000,,-71507276040.000000,,750125330133.000000,,,1069855241147.000000,-14804126386.000000,-46907502471.000000,-29512542804.000000,,,-7407070640982.000000,-8052086472695.000000,17241152852.000000,-10026936683.000000,9258310028392.000000,1213437771866.000000
