Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Pajak,Beban Akrual,Utang Pembelian Aset Tetap,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Jangka Panjang Dari Pihak Berelasi,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2013,,,4069362019.000000,234638189055.000000,56823152960.000000,,56823152960.000000,56823152960.000000,196582636.000000,107767292568.000000,10548824862.000000,414043404100.000000,,560247400.000000,192525166868.000000,6749979315.000000,199835393583.000000,613878797683.000000,,,351973723283.000000,66928242387.000000,,3384690507.000000,10507721302.000000,13892411809.000000,188069396.000000,2315919723.000000,13206943638.000000,,19236502902.000000,19236502902.000000,236205633428.000000,351973723283.000000,91093685005.000000,,84681735820.000000,,84681735820.000000,6411949185.000000,91093685005.000000,443067408288.000000,,66800008900.000000,28054021637.000000,75957358858.000000,13000000000.000000,62957358858.000000,75957358858.000000,,170811389395.000000,613878797683.000000,668000089.000000
12M 2014,,,1252339405.000000,,59792567897.000000,,59792567897.000000,59792567897.000000,842464880.000000,66752673144.000000,1850548159.000000,130490593485.000000,,1075389968.000000,180149137587.000000,8779471921.000000,190003999476.000000,320494592961.000000,,,94377062611.000000,53087221791.000000,,1850722820.000000,12368395900.000000,14219118720.000000,1803782681.000000,2109535568.000000,1170659736.000000,,20309851951.000000,20309851951.000000,1676892164.000000,94377062611.000000,64238117672.000000,,56478877548.000000,,56478877548.000000,7759240124.000000,64238117672.000000,158615180283.000000,,66800008900.000000,28054021637.000000,67025382141.000000,14000000000.000000,53025382141.000000,67025382141.000000,,161879412678.000000,320494592961.000000,668000089.000000
12M 2015,,,4684383779.000000,,44615778193.000000,1283700000.000000,43332078193.000000,44615778193.000000,948598933.000000,49039022667.000000,4934239820.000000,104222023392.000000,,1782711570.000000,166690538767.000000,6494494858.000000,174967745195.000000,279189768587.000000,,,85097667841.000000,44195540583.000000,,4354168775.000000,7658786691.000000,12012955466.000000,42464450.000000,2175145384.000000,1197384074.000000,,23527186184.000000,23527186184.000000,1946991700.000000,85097667841.000000,43692580017.000000,,32951691364.000000,,32951691364.000000,10740888653.000000,43692580017.000000,128790247858.000000,,66800008900.000000,28054021637.000000,55545490192.000000,14000000000.000000,41545490192.000000,55545490192.000000,,150399520729.000000,279189768587.000000,668000089.000000
12M 2016,,,679775017.000000,,46690513376.000000,,46690513376.000000,46690513376.000000,710511898.000000,61770345901.000000,8257461625.000000,118108607817.000000,,1213642184.000000,153609623357.000000,7325791634.000000,162149057175.000000,280257664992.000000,,,121306029590.000000,81012408329.000000,,1698300000.000000,8255882546.000000,9954182546.000000,17021568.000000,2144999703.000000,1136917040.000000,,24188488184.000000,24188488184.000000,2852012220.000000,121306029590.000000,16950195991.000000,,8763203180.000000,,8763203180.000000,8186992811.000000,16950195991.000000,138256225581.000000,,66800008900.000000,28054021637.000000,47147408874.000000,14000000000.000000,33147408874.000000,47147408874.000000,,142001439411.000000,280257664992.000000,668000089.000000
12M 2017,,,1262433418.000000,,81141894695.000000,2948477950.000000,78193416745.000000,81141894695.000000,618092268.000000,58144354721.000000,7691160235.000000,148857935337.000000,,1746968513.000000,145775746645.000000,7162214038.000000,154684929196.000000,303542864533.000000,,,166371675360.000000,136814790988.000000,,759692700.000000,13810833834.000000,14570526534.000000,31477081.000000,1635531933.000000,1253974616.000000,,8763203180.000000,8763203180.000000,3302171028.000000,166371675360.000000,10078148508.000000,,,,,10078148508.000000,10078148508.000000,176449823868.000000,,66800008900.000000,28054021637.000000,32239010128.000000,14000000000.000000,18239010128.000000,32239010128.000000,,127093040665.000000,303542864533.000000,668000089.000000
12M 2018,,,1341895047.000000,,106592863205.000000,1895724520.000000,104697138685.000000,106592863205.000000,538314780.000000,73497324134.000000,7700504496.000000,189670901662.000000,,1976058518.000000,133239040745.000000,6069268551.000000,141284367814.000000,330955269476.000000,,,184166194553.000000,157500000000.000000,,14770800.000000,18742013782.000000,18756784582.000000,27802359.000000,3941158092.000000,154000000.000000,,,,3786449520.000000,184166194553.000000,28638378456.000000,,,18000000000.000000,18000000000.000000,10638378456.000000,28638378456.000000,212804573009.000000,,66800008900.000000,28054021637.000000,23296665930.000000,14000000000.000000,9296665930.000000,23296665930.000000,,118150696467.000000,330955269476.000000,668000089.000000
12M 2019,,,4720981472.000000,,87872885524.000000,830366313.000000,87042519211.000000,87872885524.000000,721970771.000000,50761676844.000000,2660152349.000000,146737666960.000000,,2662027885.000000,121253624964.000000,7583214962.000000,131498867811.000000,278236534771.000000,,,94274141595.000000,72559718023.000000,,721600000.000000,14103620137.000000,14825220137.000000,25524796.000000,3360454566.000000,,,,,3503224073.000000,94274141595.000000,62613265286.000000,,,50000000000.000000,50000000000.000000,12613265286.000000,62613265286.000000,156887406881.000000,,66800008900.000000,28054021637.000000,26495097353.000000,14000000000.000000,12495097353.000000,26495097353.000000,,121349127890.000000,278236534771.000000,668000089.000000
12M 2020,,,1273544313.000000,,84134400102.000000,43559100.000000,84090841002.000000,84134400102.000000,751751031.000000,60130750613.000000,13702536973.000000,159992983032.000000,,439302856.000000,109413447226.000000,5936439596.000000,115789189678.000000,275782172710.000000,,,91457880845.000000,75099771787.000000,,,8992000270.000000,8992000270.000000,147275668.000000,2832396410.000000,,,,,4386436710.000000,91457880845.000000,53027867445.000000,,,50000000000.000000,50000000000.000000,3027867445.000000,53027867445.000000,144485748290.000000,,66800008900.000000,28054021637.000000,36442393883.000000,14000000000.000000,22442393883.000000,36442393883.000000,,131296424420.000000,275782172710.000000,668000089.000000
12M 2021,,,758742879.000000,,78761147315.000000,2551267744.000000,76209879571.000000,78761147315.000000,988454638.000000,61624826883.000000,5163926754.000000,147297098469.000000,,637997153.000000,102609609656.000000,7617824253.000000,110865431062.000000,258162529531.000000,,,83711236334.000000,59763107885.000000,,206221125.000000,14055199797.000000,14261420922.000000,28607165.000000,3720492150.000000,,,,,5937608212.000000,83711236334.000000,52438185599.000000,,,50000000000.000000,50000000000.000000,2438185599.000000,52438185599.000000,136149421933.000000,,66800008900.000000,28054021637.000000,27159077061.000000,14000000000.000000,13159077061.000000,27159077061.000000,,122013107598.000000,258162529531.000000,668000089.000000
12M 2022,,,462059401.000000,,95529011075.000000,348477425.000000,95180533650.000000,95529011075.000000,2416342425.000000,65767928320.000000,4624430250.000000,168799771471.000000,,1140070514.000000,113746593588.000000,6813899662.000000,121700563764.000000,290500335235.000000,,,117202751263.000000,93375029020.000000,,949987109.000000,11050688396.000000,12000675505.000000,736072780.000000,4384816626.000000,,,,,6706157332.000000,117202751263.000000,52655101524.000000,,,50000000000.000000,50000000000.000000,2655101524.000000,52655101524.000000,169857852787.000000,,66800008900.000000,28054021637.000000,25788451911.000000,14000000000.000000,11788451911.000000,25788451911.000000,,120642482448.000000,290500335235.000000,668000089.000000
