Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2013,(7 B),(26 B),(34 B),-50.37
12M 2014,52 B,(2 B),50 B,75.07
12M 2015,34 B,(0 B),33 B,49.79
12M 2016,(17 B),(1 B),(17 B),-25.93
12M 2017,(27 B),(5 B),(33 B),-48.73
12M 2018,(31 B),(1 B),(32 B),-47.68
12M 2019,58 B,(2 B),56 B,84.11
12M 2020,(4 B),(2 B),(6 B),-9.19
12M 2021,27 B,(12 B),15 B,21.80
12M 2022,(12 B),(22 B),(34 B),-51.15
12M 2023,29 B,(5 B),24 B,36.48
12M 2024,(5 B),(12 B),(17 B),-25.29
